sigma_epsilon_over_sigma_phi,corr_median,corr_p16,corr_p84,positive_fraction,slope_median,slope_p16,slope_p84
0.0,-0.4099150498716859,-0.43697522896043406,-0.3778668866056595,0.0,-0.13613871032904779,-0.16054052124903537,-0.1212090045313202
0.125,-0.393288780067748,-0.43118389190161266,-0.3702121449705329,0.0,-0.13432705619642094,-0.15953078219626213,-0.11732601395485183
0.25,-0.3615141503381813,-0.39747070418409264,-0.34176238190168057,0.0,-0.1269105213173634,-0.14977061537186678,-0.10805401016874862
0.375,-0.3068877094538672,-0.3599694187190289,-0.2901919792480761,0.0,-0.10933119885678114,-0.13836631059602875,-0.09628962980262387
0.5,-0.2520329827706752,-0.3106200393482588,-0.2238668439490612,0.0,-0.08905186030561796,-0.12299492777686571,-0.07322863650371489
0.625,-0.19285368010304563,-0.2535055566006312,-0.14832825865297616,0.0,-0.06914009020261876,-0.10302122846506463,-0.05403338538872888
0.75,-0.13514102885523305,-0.19782235253441943,-0.0749505014154434,0.0,-0.048542508025733316,-0.08020215977938147,-0.02739981292272277
0.875,-0.08315742499381548,-0.14617670790057208,-0.004185586067265723,0.16666666666666666,-0.02926123659399829,-0.05619788992244655,-0.001403611252146095
1.0,-0.033222604658724925,-0.09486876086097495,0.062136422856285255,0.4166666666666667,-0.012016068276690307,-0.034096256249358955,0.02338628758441838
1.125,0.013771359709199665,-0.0441812581503763,0.12159498152513568,0.5,0.004919930570949875,-0.016362842378751654,0.04768650720016295
1.25,0.057530575734364514,0.005879650612451705,0.1740714003792431,0.9166666666666666,0.022883849904270632,0.0025131331974914185,0.06948079314562582
1.375,0.10128248974314402,0.05534696323331298,0.2199377190458825,1.0,0.04149210117226823,0.023599091757475963,0.08883551029428617
1.5,0.14121482160851132,0.10053159689676361,0.25854938344601075,1.0,0.058832276455278415,0.0434798998012917,0.10590121133490625
1.625,0.17743644420069632,0.14140590069615258,0.2899456285402557,1.0,0.0748331364774496,0.05775061640299662,0.12082105150747702
1.75,0.21014958882286183,0.17685317590618205,0.31710852475894713,1.0,0.09070525365407597,0.07063057188644124,0.13370877176795082
1.875,0.23960590980959584,0.20446504953921116,0.34070578004577046,1.0,0.10589694944168085,0.08232168558630337,0.14494040381074252
2.0,0.26607675502287575,0.2292257021762642,0.3612703194901997,1.0,0.11927479533821578,0.09287423901466281,0.15469984161621184
2.125,0.28983402633686045,0.25137943995657297,0.3792547562241236,1.0,0.13077996543618328,0.10235149450639464,0.16315216858842835
2.25,0.3111385921697309,0.271166302914825,0.39503942549865884,1.0,0.1390627538922954,0.11082393838230067,0.1704430071957606
2.375,0.3318608913577185,0.2888156082265611,0.4089419341114653,1.0,0.14600808803071819,0.11836518630577746,0.17669946953689725
2.5,0.3502721535438428,0.30454215397483847,0.4212267246858537,1.0,0.15175570973574687,0.12504909653608043,0.1820318904987852
