NGC4064	14812	38	15112	338	14962	188
NGC4189	11749	7057	12049	7357	11899	7207
NGC4192	11714	5025	12014	5325	11864	5175
NGC4216	11043	7447	11343	7747	11193	7597
NGC4222	10884	7232	11184	7532	11034	7382
NGC4254	10047	5715	10347	6015	10197	5865
NGC4293	9211	248	9511	548	9361	398
NGC4294	9254	9718	9554	10018	9404	9868
NGC4298	9139	5462	9439	5762	9289	5612
NGC4302	9086	5474	9386	5774	9236	5624
NGC4321	8674	3791	8974	4091	8824	3941
NGC4330	8584	9918	8884	10218	8734	10068
NGC4351	8330	8768	8630	9068	8480	8918
NGC4380	7888	11781	8188	12081	8038	11931
NGC4383	7840	2903	8140	3203	7990	3053
NGC4388	7738	8142	8038	8442	7888	8292
NGC4394	7668	493	7968	793	7818	643
NGC4396	7660	4004	7960	4304	7810	4154
NGC4405	7612	3303	7912	3603	7762	3453
NGC4402	7620	7523	7920	7823	7770	7673
NGC4419	7343	4864	7643	5164	7493	5014
NGC4424	7272	12604	7572	12904	7422	12754
NGC4450	6827	2057	7127	2357	6977	2207
IC3392	6752	4931	7052	5231	6902	5081
NGC4457	6663	20752	6963	21052	6813	20902
NGC4501	5666	5726	5966	6026	5816	5876
NGC4522	5074	12940	5374	13240	5224	13090
NGC4535	4836	14290	5136	14590	4986	14440
NGC4548	4516	5615	4816	5915	4666	5765
NGC4567	4115	10065	4415	10365	4265	10215
NGC4568	4106	10092	4406	10392	4256	10242
NGC4569	4039	7445	4339	7745	4189	7595
NGC4579	3723	9292	4023	9592	3873	9442
NGC4580	3618	18221	3918	18521	3768	18371
NGC4606	2635	9152	2935	9452	2785	9302
NGC4607	2551	9186	2851	9486	2701	9336
NGC4654	1653	7468	1953	7768	1803	7618
NGC4689	387	6569	687	6869	537	6719
NGC4694	149	10398	449	10698	299	10548
NGC4698	38	13850	338	14150	188	14000
M87	6047	8516	6347	8816	6197	8666
