component,oid,alias
NGC4064,1883583,2MASX J12041119+1826364
NGC4064,1883583,CAIRNS J120411.18+182636.4
NGC4064,1883583,[CHM2007] LDC  904 J120411.19+1826364
NGC4064,1883583,EVCC 93
NGC4064,1883583,IRAS 12016+1843
NGC4064,1883583,IRAS F12016+1843
NGC4064,1883583,LAMOST J120411.02+182638.1
NGC4064,1883583,LEDA   38167
NGC4064,1883583,[M98c] 120137.3+184316
NGC4064,1883583,MCG+03-31-033
NGC4064,1883583,NGC  4064
NGC4064,1883583,PSCz Q12016+1843
NGC4064,1883583,SDSS J120411.09+182640.4
NGC4064,1883583,SDSS J120411.39+182626.6
NGC4064,1883583,UGC  7054
NGC4064,1883583,UZC J120411.2+182637
NGC4064,1883583,[YOF95]   5
NGC4064,1883583,Z 1201.7+1843
NGC4064,1883583,Z  98-44
NGC4293,1909969,2MASX J12211289+1822566
NGC4293,1909969,CAIRNS J122112.83+182257.6
NGC4293,1909969,[CHM2007] HDC  720 J122112.89+1822566
NGC4293,1909969,[CHM2007] LDC  904 J122112.89+1822566
NGC4293,1909969,EVCC 401
NGC4293,1909969,IRAS 12186+1839
NGC4293,1909969,IRAS F12186+1839
NGC4293,1909969,ISOSS J12212+1823
NGC4293,1909969,LEDA   39907
NGC4293,1909969,MCG+03-32-006
NGC4293,1909969,NGC  4293
NGC4293,1909969,NVSS B121840+183934
NGC4293,1909969,PSCz Q12186+1839
NGC4293,1909969,SDSS J122112.82+182257.7
NGC4293,1909969,[SLK2000]  42
NGC4293,1909969,[SLK2004] 684
NGC4293,1909969,[TH2002]  10
NGC4293,1909969,UGC  7405
NGC4293,1909969,UZC J122112.6+182256
NGC4293,1909969,VCC  460
NGC4293,1909969,[YOF95]  83
NGC4293,1909969,Z 1218.7+1840
NGC4293,1909969,Z  99-23
NGC4302,1910116,2MASX J12214247+1435519
NGC4302,1910116,2MFGC 9724
NGC4302,1910116,ALFALFA 1-276
NGC4302,1910116,[BEC2010] HRS 113
