component,logMstar,logSFR,logMHI,logMH2,DMS,velocity,class,primary_mechanism,secondary_mechanism,hi_evidence,multiwavelength_evidence,event_sequence,timing,contradictions,history_confidence,gfmr_implication,mauve_tests,key_citations,stage,target_id,yoon_class,koppen_status,preferred_aliases,grade_hi,grade_co,grade_ionized_uv,grade_stars_dust,grade_radio,grade_xray,grade_dynamics,mention_links,unique_bibcodes
NGC4189,9.734349250793455,-0.3456504344940185,8.780265250927675,8.5520601272583,-0.060321569442749,1995,1.0,weak hydrodynamic perturbation or group tide,internal warp,The H I disk extends slightly beyond the optical disk and is broadly symmetric but warped; the southeastern side has locally enhanced H I.,"Halpha and radio emission are also enhanced to the southeast. VIVA notes its likely M-cloud/background location and nearby dwarf companions, so neither ICM compression nor a tidal origin is uniquely selected.",A largely gas-normal disk was mildly disturbed; no evidence establishes a completed stripping passage.,No published pericentric or quenching clock was found; only a present-day weak-disturbance state is defensible.,"Yoon class 0 and the absence of a Köppen entry agree that a strong stripping history is unproven, but do not distinguish tide, warp, or weak ram pressure.",low-moderate,"Any metallicity-SFR offset should be interpreted as a possible local gas-supply or compression effect, not as a calibrated infall-time sequence.",Use MUSE gas-star kinematic residuals and outer-disk abundance asymmetry; compare the southeastern sector to the opposite side and to resolved CO.,Chung2009;Yoon2017;Brown2021,pre-peak,NGC4189,0,not included,VCC 89; UGC 7235; IC 3050; NGC 4189,3,2,2,1,1,0,1,295,295
NGC4192,10.764348983764648,0.114349365234375,9.655332657810003,9.122060775756836,-0.280120849609375,-118,1.0,weak or incipient environmental processing,bar/warp and projection,"M98 has an extended, asymmetric southeastern H I distribution and a warp but is not strongly H I deficient in the adopted catalogue context.","The central gas field is bar-distorted. MAUVE-MUSE finds resolved ionized-gas/metallicity structure, but these data do not by themselves prove a stripping epoch.",An intrinsically warped barred disk may be experiencing low-level pressure; a severe completed event is not required by its current gas reservoir.,"No tailored clock. Köppen labels a low-deficiency active case, whereas Yoon class IV is morphology-based and MAUVE adopts pre-peak.","This is a formal reclassification audit: Yoon IV would normally map to a slow/post category, while Köppen places it among low-deficiency active strippers. The retained pre-peak label records the lack of strong present truncation, not certainty about first infall.",moderate for weak processing; low for orbital stage,"Because H I remains abundant, gas mass may still track inflow-like dilution more closely than SFR; bar-driven SFE changes and environmental gas removal are confounded.",Measure leading/trailing metallicity and DIG asymmetries; combine MUSE with H I/CO velocity residuals before assigning a direction of motion.,Chung2009;Yoon2017;Koppen2018;Brown2026;Huang2026,pre-peak,NGC4192,IV,active,M 98; VCC 92; UGC 7231; NGC 4192,3,2,3,2,1,0,2,505,505
NGC4222,9.434349060058594,-0.885650634765625,8.832038478282383,7.9320597648620605,-0.4023218154907226,225,1.0,none established; possible weak ram pressure,warp,"The extended, non-deficient H I disk is warped but lacks the bridge or one-sided truncation expected for a strong interaction with nearby NGC 4216.",The stellar disk is comparatively regular. Survey radio/X-ray coverage supplies measurements but no dedicated causal history.,"The galaxy is best treated as a minimally processed/weakly perturbed comparison object, with a possible early pressure signature left open.",No dedicated timing constraint.,Yoon class 0 conflicts mildly with Köppen's low-deficiency active assignment; both are low-leverage classifications for this object.,low,A near-normal gas reservoir makes this a useful control for separating ordinary resolved MZR/SFR structure from removal-driven offsets.,Search for faint one-sided ionized gas and compare outer-disk CO/H I truncation radii; do not use phase space alone as an orbit.,Chung2009;Yoon2017;Koppen2018;Brown2021,pre-peak,NGC4222,0,active,VCC 187; UGC 7291; IC 3087; NGC 4222,3,2,1,1,1,1,1,211,211
NGC4254,10.504349708557127,0.684349536895752,9.672950451534025,9.742060661315918,0.4614787101745605,2453,1.0,high-speed tidal encounter/harassment,weak ongoing ram pressure,M99 has a strongly asymmetric disk and an approximately 250 kpc star-poor H I stream. The main disk remains H I rich rather than classically truncated.,ALFALFA and numerical work connect the stream to a rapid fly-by; low-frequency radio asymmetry and VESTIGE Halpha knots in stripped gas indicate that ICM interaction may operate simultaneously.,A fast gravitational encounter generated the one-armed response and long tidal debris; subsequent/ongoing weak ram pressure modified diffuse gas and radio plasma without producing severe global deficiency.,"Tail models disagree in detail: a combined encounter model gives about 280 Myr since closest passage, whereas the VIRGOHI21 high-speed-tail model gives about 750 Myr. The difference is model-dependent, not a measurement error bar.","Pure RPS cannot readily explain the star-poor 250 kpc feature, while pure tide underpredicts some radio/edge signatures. The weight of evidence favours a compound history; the identity of the perturber remains uncertain.",high for a past fast encounter; moderate for current RPS,"Tidal gas rearrangement and weak stripping can change gas mass, SFE, and local dilution in different directions. A single pre-peak code is therefore insufficient for FMR interpretation.",Map abundance and SFE along the one-arm/tail-launch geometry; test whether compressed radio edges correspond to enhanced CO or merely aged cosmic rays.,Chung2009;Yoon2017;Haynes2007;Vollmer2005;DucBournaud2008;Kantharia2008,pre-peak,NGC4254,I,non-deficient,M 99; VCC 307; UGC 7345; NGC 4254,3,3,3,2,3,1,3,1019,1019
NGC4294,9.364349365234377,-0.4056506156921386,9.239790613793032,7.612060070037842,0.123878002166748,421,1.0,early ram pressure stripping,tidal interaction with NGC 4299,A roughly 27 kpc gas-only H I tail and lopsided disk identify recent removal of diffuse gas.,Nearby NGC 4299 and the disturbed stellar/gas geometry leave a tidal contribution plausible; large-scale radio work is consistent with an environmentally perturbed magnetized ISM.,"A mild gravitational perturbation may have loosened outer gas, followed by or concurrent with an ICM wind that formed the one-sided tail.",No tailored clock; the tail is a present/recent indicator rather than a quantified time to peak.,Yoon I and Köppen active agree on ongoing/early processing but cannot apportion tide and RPS.,moderate,"Gas loss can reduce H I before SFR responds, moving the galaxy off an H I-based gFMR while leaving the SFR-FMR temporarily less affected.",Compare tail-side Halpha/metallicity to the leading half; model the NGC4294/4299 relative orbit before attributing all asymmetry to pressure.,Chung2009;Yoon2017;Chung2007;Koppen2018;Vollmer2013,pre-peak,NGC4294,I,active,VCC 465; UGC 7407; NGC 4294; KPG 330; KPG 330b,3,2,2,1,2,0,2,321,321
NGC4321,10.781280517578123,0.6112806797027588,9.48574802436492,9.70206069946289,0.2056353092193603,1579,1.0,weak tidal perturbation,possible weak ram pressure,M100 is H I rich with a southwestern extension/warp and a faint bridge toward NGC 4323; there is no severe truncation.,Rich CO and star-formation data mostly diagnose internal bar/spiral physics. Environmental survey studies supply context but no dedicated stripping history.,A mild companion interaction and/or weak ICM contact perturbed outer atomic gas while leaving the molecular/star-forming disk broadly normal.,No event clock was found.,"Yoon 0 classifies no definite stripping, whereas Köppen's analytical selection lists it as low-deficiency active; the observations carry more weight than the analytical tag.",low-moderate,Internal bar/spiral SFE variations dominate many resolved relations; environmental interpretations require an outer-disk signature that is not yet isolated.,Use MAUVE to separate bar/arm/interarm metallicity structure from the southwest H I anomaly and possible companion bridge.,Chung2009;Yoon2017;Koppen2018;Brown2021,pre-peak,NGC4321,0,active,M 100; VCC 596; UGC 7450; NGC 4321,3,3,2,2,1,1,2,1977,1977
NGC4351,9.35434913635254,-0.9256505966186525,8.502617954147384,7.71205997467041,-0.3895215988159179,2388,1.0,active/early ram pressure stripping,possible gravitational perturbation,"A sharp H I cutoff and short one-sided tail, together with a compressed edge, indicate current pressure.",Radio compression supports an ICM wind; shell-like/offset stellar structure means gravity may also have disturbed the disk.,A galaxy on a high-velocity radial approach is losing its outer atomic gas now; a prior gravitational perturbation may explain the stellar asymmetry.,No tailored numerical time; the morphology constrains an active stage only.,"Yoon I indicates early stripping, while Köppen assigns a past-strip solution. The disagreement shows how analytical deficiency fits can conflict with direct present morphology.",moderate-high for active RPS; low for prior tide,"A leading-edge compression episode can transiently raise local SFR/SFE while global H I falls, so local and global FMR residuals need not share a sign.",Test shocked/DIG gas at the compressed edge and derive stellar-versus-gas kinematic asymmetry to isolate a gravitational component.,Chung2009;Yoon2017;Koppen2018,pre-peak,NGC4351,I,past,VCC 692; UGC 7476; NGC 4351; NGC 4354,3,2,2,2,2,0,2,241,241
NGC4383,9.424348831176758,-0.005650520324707,9.491804231846636,8.242059707641602,0.4842786788940429,1663,1.0,recent gas acquisition and starburst feedback,tidal perturbation,"The H I disk is exceptionally massive and extended, with irregular outer clouds rather than a stripped/truncated morphology.",MAUVE-MUSE resolves a roughly 6 kpc bipolar ionized outflow. The galaxy is a metallicity outlier below the ensemble rMZR; this is consistent with recent gas-supply disturbance but does not identify the donor or orbit.,"External gas acquisition or a tidal perturbation plausibly fuelled a central starburst, which launched the observed wind; direct Virgo ICM stripping is not the dominant observed process.",Outflow dynamical times are Myr-scale and source-dependent; no secure cluster-pericentre time exists. Do not equate the wind age with the interaction age.,"Yoon 0 and Köppen non-deficient agree against strong stripping. The accretion trigger is an inference from H I richness, morphology and metallicity, not a directly identified encounter.",high for feedback outflow; moderate for recent gas supply; low for orbital history,This is the clearest case where gas accretion/dilution and non-disk ionized emission can drive a gFMR/FMR residual independently of cluster stage; Halpha may not be a clean in-situ SFR proxy in the wind.,"Use CO/H I metallicity mixing maps, separate disk HII regions from outflow spaxels, and search deep imaging/kinematics for an accretion donor.",Chung2009;Yoon2017;Watts2024;Huang2026,pre-peak,NGC4383,0,non-deficient,VCC 801; UGC 7507; NGC 4383,3,3,3,2,1,1,2,279,279
NGC4396,9.344348907470703,-0.6856505870819092,8.962783151428534,7.922060012817383,-0.1429212093353271,-115,1.0,early ram pressure stripping,possible high-speed tide,A long northwestern H I tail and gas-free outer stellar disk favour removal of diffuse gas.,"The radio continuum does not show every expected wind diagnostic, so the tail geometry is not uniquely hydrodynamic; MAUVE ionized-gas data provide a current disk-state measurement.","Recent outer-disk gas loss is likely; a fast encounter may have contributed, but no perturber is securely tied to the event.",No tailored timing constraint.,"Yoon I and Köppen active support ongoing processing, while the incomplete radio signature lowers mechanism confidence.",moderate,Outer gas removal should first change gas fraction and resolved radial sampling; an integrated metallicity increase could reflect loss of low-metallicity outskirts rather than rapid enrichment.,"Measure tail-side gas excitation and metallicity, and compare gas/stellar residual fields for a tidal impulse.",Chung2009;Yoon2017;Koppen2018;Edler2024;Brown2026;Huang2026,pre-peak,NGC4396,I,active,VCC 865; UGC 7526; NGC 4396,3,2,3,1,2,0,2,209,209
NGC4535,10.527653694152832,0.347653865814209,9.54225709401326,9.282060623168944,0.1094021797180175,1973,1.0,weak ongoing ram pressure,internal spiral structure,The H I disk is extended and close to normal but has a cutoff on the M87-facing side and an extension on the opposite side.,Radio asymmetry offers weak support for pressure; abundant PHANGS/VERTICO measurements otherwise emphasize internal disk dynamics.,A low-level ICM wind is beginning to reshape outer atomic gas without wholesale depletion.,No tailored clock.,"Yoon I and Köppen active are consistent, but both evidence and effect size are modest.",moderate-low,This system tests the earliest regime where gas geometry changes before large SFR or metallicity offsets emerge.,"Target leading/trailing HII-region abundances and DIG, and compare CO/H I edge radii at matched sensitivity.",Chung2009;Yoon2017;Koppen2018;Brown2021,pre-peak,NGC4535,I,active,VCC 1555; UGC 7727; NGC 4535,3,3,2,2,2,1,2,690,690
