component,Rproj_Mpc,Rproj_R200,dv_sigma,theta_deg
NGC4189,1.2320136396675352,0.7948475094629259,1.5295109612141653,4.278132233666736
NGC4192,1.3927187568340107,0.8985282302154908,2.0337268128161887,4.8361761706239745
NGC4222,1.0478806422936173,0.6760520272862047,1.4553119730185498,3.6387356507201325
NGC4254,1.022734625687826,0.6598287907663394,2.30185497470489,3.5514168250790585
NGC4294,0.7172977130418687,0.4627727180915282,1.1247892074198989,2.4907958552536424
NGC4321,1.1318807947554197,0.7302456740357546,0.8279932546374368,3.9304237849332675
NGC4351,0.4811633805378192,0.3104279874437543,2.1922428330522767,1.6708261188523768
NGC4383,1.2334369508575924,0.7957657747468337,0.96964586846543,4.283074641189405
NGC4396,1.0034060846530277,0.6473587642922759,2.0286677908937607,3.4842990174766726
NGC4535,1.2329982687485226,0.7954827540313049,1.4924114671163575,4.281551330074398
NGC4567,0.5186691115557789,0.33462523326179283,1.897133220910624,1.8010637003603762
NGC4568,0.5236497813331704,0.3378385686020454,1.9763912310286678,1.8183589341417636
NGC4298,0.9103120346049565,0.5872980868419074,0.05733558178752108,3.1610325832018757
NGC4302,0.9005643954951802,0.5810092874162452,0.0387858347386172,3.127184184340855
NGC4330,0.607217594180555,0.3917532865681,0.8077571669477235,2.1085457813717197
NGC4388,0.36294042259720355,0.23415511135303455,2.4451939291736933,1.2603002684554119
NGC4402,0.3898644866493107,0.2515254752576198,1.5143338954468804,1.3537933131539353
NGC4424,0.8931058024089055,0.5761972918767132,1.0809443507588532,3.1012844325257642
NGC4501,0.5900063919008139,0.3806492850972993,1.7403035413153456,2.0487803722217137
NGC4522,0.9476942047914675,0.6114156159944951,2.097807757166948,3.2908411032459277
NGC4654,0.9452708225001782,0.609852143548502,0.0893760539629005,3.2824259773406173
NGC4694,1.293783342122248,0.8346989304014503,0.20741989881956155,4.492625764117277
NGC4064,2.5399780227893354,1.6386954985737647,0.14839797639123103,8.82000125829167
NGC4216,1.0698395335405277,0.6902190538971147,1.7841483979763912,3.714987274431328
NGC4293,1.849664304210481,1.1933318091680523,0.6256323777403036,6.422906554379548
NGC4380,0.7847937828918549,0.5063185696076483,0.2580101180438449,2.7251740332005765
NGC4394,1.7109356498617603,1.1038294515237164,0.5328836424957841,5.94117525791222
NGC4405,1.139676009279676,0.7352748446965651,1.118043844856661,3.957492445093205
NGC4419,0.8117230061135148,0.5236922620087192,2.219224283305228,2.8186849929682616
NGC4450,1.361435619445456,0.8783455609325522,1.6188870151770658,4.7275463680608185
IC3392,0.7653976302498583,0.49380492274184407,0.9949409780775716,2.657821446220096
NGC4457,2.5435021276988263,1.640969114644404,0.5902192242833052,8.832238612102286
NGC4548,0.6870577572666906,0.4432630692043165,0.9949409780775716,2.385788471097281
NGC4569,0.47669708099210845,0.3075465038658764,2.205733558178752,1.6553170210335633
NGC4579,0.5131773681244676,0.33108217298352743,0.9089376053962901,1.7819937778886892
NGC4580,2.082386147702684,1.3434749340017316,0.23440134907251264,7.2310265199921115
NGC4606,0.7265642759487179,0.46875114577336635,0.9527824620573356,2.5229737307175784
NGC4607,0.7451084256705541,0.4807151133358414,2.0168634064080946,2.5873677618521187
NGC4689,1.251578575251959,0.807470048549651,0.7318718381112985,4.346070914602058
NGC4698,1.6758827711689628,1.0812146910767502,0.09443507588532883,5.819455136161835
