component,query_name,main_id,oid,ra_deg,dec_deg,coordinate_bibcode,matched_id
NGC4189,NGC 4189,NGC  4189,1910847,183.44682534990997,13.424845859620001,2020yCat.1350....0G,NGC 4189
NGC4192,NGC 4192,M  98,1910559,183.45121278623998,14.900542632,2020yCat.1350....0G,NGC 4192
NGC4222,NGC 4222,NGC  4222,1910953,184.09384166666666,13.307072222222224,2006AJ....131.1163S,NGC 4222
NGC4254,NGC 4254,M  99,1910773,184.7067708333333,14.416488888888884,2006AJ....131.1163S,NGC 4254
NGC4294,NGC 4294,NGC  4294,1911458,185.32411249999996,11.511108333333334,2006AJ....131.1163S,NGC 4294
NGC4321,NGC 4321,M 100,1934257,185.72887499732997,15.822304516100004,2020yCat.1350....0G,NGC 4321
NGC4351,NGC 4351,NGC  4351,1934644,186.00649999999996,12.205025000000001,2006AJ....131.1163S,NGC 4351
NGC4383,NGC 4383,NGC  4383,1934432,186.35632304166666,16.470005,2006AJ....131.1163S,NGC 4383
NGC4396,NGC 4396,NGC  4396,1933773,186.4950083333333,15.67146666666667,2006AJ....131.1163S,NGC 4396
NGC4535,NGC 4535,NGC  4535,1963370,188.58476813196,8.19775235781,2020yCat.1350....0G,NGC 4535
NGC4567,NGC 4567,NGC  4567,1961459,189.13624164478,11.25797673963,2020yCat.1350....0G,NGC 4567
NGC4568,NGC 4568,NGC  4568,1961363,189.1428833333333,11.238630555555552,2006AJ....131.1163S,NGC 4568
NGC4298,NGC 4298,NGC  4298,1910117,185.38649117264998,14.60612463631,2020yCat.1350....0G,NGC 4298
NGC4302,NGC 4302,NGC  4302,1910116,185.42698749999997,14.597761111111117,2006AJ....131.1163S,NGC 4302
NGC4330,NGC 4330,NGC  4330,1934643,185.8218708333333,11.367980555555556,2006AJ....131.1163S,NGC 4330
NGC4388,NGC 4388,NGC  4388,1936424,186.4450833333333,12.662069444444445,2006AJ....131.1163S,NGC 4388
NGC4402,NGC 4402,NGC  4402,1936289,186.53188799999998,13.113316,2009ApJS..182..543A,NGC 4402
NGC4424,NGC 4424,NGC  4424,1937426,186.79822551483997,9.420647348250002,2020yCat.1350....0G,NGC 4424
NGC4501,NGC 4501,M  88,1934356,187.99646877602,14.420319158839998,2020yCat.1350....0G,NGC 4501
NGC4522,NGC 4522,NGC  4522,1937419,188.41523750000002,9.174872222222223,2006AJ....131.1163S,NGC 4522
NGC4654,NGC 4654,NGC  4654,1962108,190.98599166666665,13.126350000000002,2006AJ....131.1163S,NGC 4654
NGC4694,NGC 4694,NGC  4694,1992401,192.06287916666668,10.983624999999996,2006AJ....131.1163S,NGC 4694
NGC4064,NGC 4064,NGC  4064,1883583,181.04662916666663,18.44345,2006AJ....131.1163S,NGC 4064
NGC4216,NGC 4216,NGC  4216,1910956,183.97684999999998,13.1494,2006AJ....131.1163S,NGC 4216
NGC4293,NGC 4293,NGC  4293,1909969,185.3037125,18.3824,2006AJ....131.1163S,NGC 4293
NGC4380,NGC 4380,NGC  4380,1937718,186.34240833333328,10.016705555555555,2006AJ....131.1163S,NGC 4380
NGC4394,NGC 4394,NGC  4394,1933285,186.48181929703,18.21391964101,2020yCat.1350....0G,NGC 4394
NGC4405,NGC 4405,NGC  4405,1933748,186.52973839646998,16.18099488264,2020yCat.1350....0G,NGC 4405
NGC4419,NGC 4419,NGC  4419,1933772,186.73521054029996,15.04741356483,2020yCat.1350....0G,NGC 4419
NGC4450,NGC 4450,NGC  4450,1933418,187.12329610584,17.08499336445,2020yCat.1350....0G,NGC 4450
IC3392,IC 3392,IC 3392,1933770,187.18031864729997,14.999434250619998,2020yCat.1350....0G,IC 3392
NGC4457,NGC 4457,NGC  4457,1939556,187.24593853299996,3.57061543248,2020yCat.1350....0G,NGC 4457
NGC4548,NGC 4548,M  91,1961128,188.86018615054996,14.496322314930001,2020yCat.1350....0G,NGC 4548
NGC4569,NGC 4569,M  90,1961913,189.20750409994997,13.162923281399998,2020yCat.1350....0G,NGC 4569
NGC4579,NGC 4579,M  58,1961786,189.43165612500002,11.818090000000002,2006AJ....131.1163S,NGC 4579
NGC4580,NGC 4580,NGC  4580,1963425,189.45156440893,5.36850842101,2020yCat.1350....0G,NGC 4580
NGC4606,NGC 4606,NGC  4606,1961338,190.2398208333333,11.91218611111111,2006AJ....131.1163S,NGC 4606
NGC4607,NGC 4607,NGC  4607,1961337,190.30169583333335,11.886627777777777,2006AJ....131.1163S,NGC 4607
NGC4689,NGC 4689,NGC  4689,1991937,191.93982003684,13.762815524749998,2020yCat.1350....0G,NGC 4689
NGC4698,NGC 4698,NGC  4698,1992739,192.09545117940996,8.48740765341,2020yCat.1350....0G,NGC 4698
