key,family,year,title,authors,journal,volume,issue,page,doi,doi_url,type,publisher,inclusion_role,status,error
gunn_gott_1972,cold_disk_rps,1972,On the Infall of Matter Into Clusters of Galaxies and Some Effects on Their Evolution,"Gunn, James E.; Gott, J. Richard, III",The Astrophysical Journal,176,,1,10.1086/151605,https://doi.org/10.1086/151605,journal-article,American Astronomical Society,foundational restoring-force criterion,resolved,
cowie_songaila_1977,transport,1977,Thermal evaporation of gas within galaxies by a hot intergalactic medium,"Cowie, Lennox L.; Songaila, A.",Nature,266,5602,501-503,10.1038/266501a0,https://doi.org/10.1038/266501a0,journal-article,Springer Science and Business Media LLC,thermal evaporation of galactic gas,resolved,
cowie_mckee_1977,transport,1977,The evaporation of spherical clouds in a hot gas. I - Classical and saturated mass loss rates,"Cowie, L. L.; McKee, C. F.",The Astrophysical Journal,211,,135,10.1086/154911,https://doi.org/10.1086/154911,journal-article,American Astronomical Society,classical and saturated evaporation rates,resolved,
larson_tinsley_caldwell_1980,starvation,1980,The evolution of disk galaxies and the origin of S0 galaxies,"Larson, R. B.; Tinsley, B. M.; Caldwell, C. N.",The Astrophysical Journal,237,,692,10.1086/157917,https://doi.org/10.1086/157917,journal-article,American Astronomical Society,foundational gas-supply cutoff model for S0 evolution,resolved,
nulsen_1982,transport,1982,Transport processes and the stripping of cluster galaxies,"Nulsen, P. E. J.",Monthly Notices of the Royal Astronomical Society,198,4,1007-1016,10.1093/mnras/198.4.1007,https://doi.org/10.1093/mnras/198.4.1007,journal-article,Oxford University Press (OUP),viscous and turbulent stripping scalings,resolved,
merritt_1983,tides,1983,Relaxation and tidal stripping in rich clusters of galaxies. I - Evolution of the mass distribution,"Merritt, D.",The Astrophysical Journal,264,,24,10.1086/160571,https://doi.org/10.1086/160571,journal-article,American Astronomical Society,tidal truncation in rich clusters,resolved,
takeda_nulsen_fabian_1984,cold_disk_rps,1984,Ram pressure stripping in a changing environment,"Takeda, H.; Nulsen, P. E. J.; Fabian, A. C.",Monthly Notices of the Royal Astronomical Society,208,2,261-278,10.1093/mnras/208.2.261,https://doi.org/10.1093/mnras/208.2.261,journal-article,Oxford University Press (OUP),time-dependent ram-pressure regimes,resolved,
moore_etal_1996,tides,1996,Galaxy harassment and the evolution of clusters of galaxies,"Moore, Ben; Katz, Neal; Lake, George; Dressler, Alan; Oemler, Augustus",Nature,379,6566,613-616,10.1038/379613a0,https://doi.org/10.1038/379613a0,journal-article,Springer Science and Business Media LLC,galaxy-harassment framework,resolved,
nfw_1997,cluster_potential,1997,A Universal Density Profile from Hierarchical Clustering,"Navarro, Julio F.; Frenk, Carlos S.; White, Simon D. M.",The Astrophysical Journal,490,2,493-508,10.1086/304888,https://doi.org/10.1086/304888,journal-article,American Astronomical Society,analytic halo density and potential building block,resolved,
diaferio_1999,cluster_dynamics,1999,Mass estimation in the outer regions of galaxy clusters,"Diaferio, A.",Monthly Notices of the Royal Astronomical Society,309,3,610-622,10.1046/j.1365-8711.1999.02864.x,https://doi.org/10.1046/j.1365-8711.1999.02864.x,journal-article,Oxford University Press (OUP),caustic mass estimator for cluster phase space,resolved,
diaferio_geller_1997,cluster_dynamics,1997,Infall Regions of Galaxy Clusters,"Diaferio, Antonaldo; Geller, Margaret J.",The Astrophysical Journal,481,2,633-643,10.1086/304075,https://doi.org/10.1086/304075,journal-article,American Astronomical Society,foundational analytic caustic boundary for infall regions,resolved,
gnedin_2003,tides,2003,Tidal Effects in Clusters of Galaxies,"Gnedin, Oleg Y.",The Astrophysical Journal,582,1,141-161,10.1086/344636,https://doi.org/10.1086/344636,journal-article,American Astronomical Society,tidal-field histories and harassment limits,resolved,
fujita_nagashima_1999,star_formation_response,1999,Effects of Ram Pressure from the Intracluster Medium on the Star Formation Rate of Disk Galaxies in Clusters of Galaxies,"Fujita, Yutaka; Nagashima, Masahiro",The Astrophysical Journal,516,2,619-625,10.1086/307139,https://doi.org/10.1086/307139,journal-article,American Astronomical Society,analytic molecular-cloud and SFR response along cluster infall,resolved,
fujita_2004,preprocessing,2004,Pre-Processing of Galaxies before Entering a Cluster,"Fujita, Yutaka",Publications of the Astronomical Society of Japan,56,1,29-43,10.1093/pasj/56.1.29,https://doi.org/10.1093/pasj/56.1.29,journal-article,Oxford University Press (OUP),analytic hierarchical-cluster preprocessing model,resolved,
abadi_etal_1999,cold_disk_rps,1999,Ram pressure stripping of spiral galaxies in clusters,"Abadi, M. G.; Moore, B.; Bower, R. G.",Monthly Notices of the Royal Astronomical Society,308,4,947-954,10.1046/j.1365-8711.1999.02715.x,https://doi.org/10.1046/j.1365-8711.1999.02715.x,journal-article,Oxford University Press (OUP),hydrodynamic validation of analytic stripping radii,resolved,
mori_burkert_2000,cold_disk_rps,2000,Gas Stripping of Dwarf Galaxies in Clusters of Galaxies,"Mori, Masao; Burkert, Andreas",The Astrophysical Journal,538,2,559-568,10.1086/309140,https://doi.org/10.1086/309140,journal-article,American Astronomical Society,analytic plus hydrodynamic dwarf stripping threshold,resolved,
vollmer_etal_2001,individual_inversion,2001,Ram Pressure Stripping and Galaxy Orbits: The Case of the Virgo Cluster,"Vollmer, B.; Cayatte, V.; Balkowski, C.; Duschl, W. J.",The Astrophysical Journal,561,2,708-726,10.1086/323368,https://doi.org/10.1086/323368,journal-article,American Astronomical Society,time-varying Virgo ram pressure and orbital constraints,resolved,
roediger_hensler_2005,cold_disk_rps,2005,Ram pressure stripping of disk galaxies,"Roediger, E.; Hensler, G.",Astronomy &amp; Astrophysics,433,3,875-895,10.1051/0004-6361:20042131,https://doi.org/10.1051/0004-6361:20042131,journal-article,EDP Sciences,generalized restoring-force estimate and stripping phases,resolved,
roediger_brueggen_2006,cold_disk_rps,2006,Ram pressure stripping of disc galaxies: the role of the inclination angle,"Roediger, Elke; Brüggen, Marcus",Monthly Notices of the Royal Astronomical Society,369,2,567-580,10.1111/j.1365-2966.2006.10335.x,https://doi.org/10.1111/j.1365-2966.2006.10335.x,journal-article,Oxford University Press (OUP),inclination dependence and analytic extension,resolved,
roediger_brueggen_2007,cold_disk_rps,2007,Ram pressure stripping of disc galaxies orbiting in clusters – I. Mass and radius of the remaining gas disc,"Roediger, Elke; Brüggen, Marcus",Monthly Notices of the Royal Astronomical Society,380,4,1399-1408,10.1111/j.1365-2966.2007.12241.x,https://doi.org/10.1111/j.1365-2966.2007.12241.x,journal-article,Oxford University Press (OUP),orbit-dependent tests of stripping radius and mass loss,resolved,
hester_2006,cold_and_hot_rps,2006,Ram Pressure Stripping in Clusters and Groups,"Hester, J. A.",The Astrophysical Journal,647,2,910-921,10.1086/505614,https://doi.org/10.1086/505614,journal-article,American Astronomical Society,analytic cluster-group stripping susceptibility,resolved,
mccarthy_etal_2008,hot_halo_rps,2008,Ram pressure stripping the hot gaseous haloes of galaxies in groups and clusters,"McCarthy, I. G.; Frenk, C. S.; Font, A. S.; Lacey, C. G.; Bower, R. G.; Mitchell, N. L.; Balogh, M. L.; Theuns, T.",Monthly Notices of the Royal Astronomical Society,383,2,593-605,10.1111/j.1365-2966.2007.12577.x,https://doi.org/10.1111/j.1365-2966.2007.12577.x,journal-article,Oxford University Press (OUP),spherical hot-halo stripping prescription,resolved,
