b,SFR_Msun_per_yr,epsilon_per_Gyr,gas_to_stellar_mass,Z_mass_fraction,age_Gyr,inflow_Msun_per_yr
0.000000000000000000e+00,2.004748934509086311e+01,5.000000000000000000e-01,8.000000000000000444e-01,1.022494713567351568e-02,6.168443570231293194e+00,2.100897860299410524e+01
0.000000000000000000e+00,2.017357418373923394e+01,5.000000000000000000e-01,8.050314465408806575e-01,1.020476210857314096e-02,6.137177613333610893e+00,2.115709807321886871e+01
0.000000000000000000e+00,2.029965902238760123e+01,5.000000000000000000e-01,8.100628930817609374e-01,1.018460185929723205e-02,6.106262392107059789e+00,2.130551063503631681e+01
0.000000000000000000e+00,2.042574386103597206e+01,5.000000000000000000e-01,8.150943396226415505e-01,1.016446748326272666e-02,6.075691670490869889e+00,2.145421708046036358e+01
0.000000000000000000e+00,2.055182869968434289e+01,5.000000000000000000e-01,8.201257861635220525e-01,1.014436004069091228e-02,6.045459364070739028e+00,2.160321818820591133e+01
0.000000000000000000e+00,2.067791353833271373e+01,5.000000000000000000e-01,8.251572327044026656e-01,1.012428055751808144e-02,6.015559535428381288e+00,2.175251472395760288e+01
0.000000000000000000e+00,2.080399837698108456e+01,5.000000000000000000e-01,8.301886792452830566e-01,1.010423002628517246e-02,5.985986389662238061e+00,2.190210744063250203e+01
0.000000000000000000e+00,2.093008321562945184e+01,5.000000000000000000e-01,8.352201257861635586e-01,1.008420940700664736e-02,5.956734270071952331e+00,2.205199707863688019e+01
0.000000000000000000e+00,2.105616805427782268e+01,5.000000000000000000e-01,8.402515723270441717e-01,1.006421962801900237e-02,5.927797653999733463e+00,2.220218436611728308e+01
0.000000000000000000e+00,2.118225289292619351e+01,5.000000000000000000e-01,8.452830188679245627e-01,1.004426158680919723e-02,5.899171148821928945e+00,2.235267001920589536e+01
0.000000000000000000e+00,2.130833773157456434e+01,5.000000000000000000e-01,8.503144654088051757e-01,1.002433615082336769e-02,5.870849488084523671e+00,2.250345474226045894e+01
0.000000000000000000e+00,2.143442257022293518e+01,5.000000000000000000e-01,8.553459119496856777e-01,1.000444415825617328e-02,5.842827527776574215e+00,2.265453922809876985e+01
0.000000000000000000e+00,2.156050740887130246e+01,5.000000000000000000e-01,8.603773584905660687e-01,9.984586418821113363e-03,5.815100242735835145e+00,2.280592415822796326e+01
0.000000000000000000e+00,2.168659224751967329e+01,5.000000000000000000e-01,8.654088050314465708e-01,9.964763714502188063e-03,5.787662723181134616e+00,2.295761020306862932e+01
0.000000000000000000e+00,2.181267708616804413e+01,5.000000000000000000e-01,8.704402515723271838e-01,9.944976800287250868e-03,5.760510171366326482e+00,2.310959802217389836e+01
0.000000000000000000e+00,2.193876192481641496e+01,5.000000000000000000e-01,8.754716981132075748e-01,9.925226404883405115e-03,5.733637898350829154e+00,2.326188826444367663e+01
