stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,7.125,O,0.451148137427551,0.28835203896029593,0.6153406622007829,5,0.0037,0.0003
pre-peak,log_sigma_star,7.125,I,0.0034710917775587556,0.0019548396846548357,0.004886487478174709,4,0.0,0.004
pre-peak,log_sigma_star,7.125,T,0.0015659765902857198,0.00072289470238982,0.0023616533712885,5,0.0037,0.0003
pre-peak,log_sigma_star,7.125,F_SF,0.451148137427551,0.28835203896029593,0.6153406622007829,5,0.0037,0.0003
pre-peak,log_sigma_star,7.125,F_NSF,0.38695362701339486,0.2184807007430557,0.5479398054747947,5,0.0031,0.0003
pre-peak,log_sigma_star,7.125,I_NSF,1.883094963121542e+38,1.352967163828569e+38,2.3550293780679607e+38,4,0.0,0.0034
pre-peak,log_sigma_star,7.125,J_NSF,7.126556712235132e+37,4.023007468152718e+37,1.0061741697115656e+38,5,0.0031,0.0003
pre-peak,log_sigma_star,7.125,HA6562,2.6407301757748675e+38,1.5865397633059778e+38,3.6226787745641754e+38,4,0.0,0.0034
pre-peak,log_sigma_star,7.125,HB4861,9.233373034035084e+37,5.547443311973133e+37,1.2666810484204584e+38,4,0.0,0.0034
pre-peak,log_sigma_star,7.125,OIII5006,8.492633371168089e+37,5.579816760182288e+37,1.1340980671962114e+38,4,0.0,0.0034
pre-peak,log_sigma_star,7.125,NII6583,8.657297130154473e+37,3.519996688864486e+37,1.3394990102487604e+38,4,0.0,0.0034
pre-peak,log_sigma_star,7.125,SII_SUM,1.3842068231225818e+38,9.596427751665267e+37,1.796332077718732e+38,4,0.0,0.0034
pre-peak,log_sigma_star,7.125,F_ND,0.16189823555905417,0.012862318840579666,0.30511275974878327,5,0.024,0.0003
pre-peak,log_sigma_star,7.375,O,0.4280052611637158,0.33054670499787764,0.5267189840545412,8,0.0,0.0
pre-peak,log_sigma_star,7.375,I,0.006498600331772211,0.0048143660775927495,0.007930858949812141,7,0.0,0.0
pre-peak,log_sigma_star,7.375,T,0.002781435132198775,0.00182180195018795,0.0037257530560920625,8,0.0,0.0
pre-peak,log_sigma_star,7.375,F_SF,0.4280052611637158,0.33054670499787764,0.5267189840545412,8,0.0,0.0
pre-peak,log_sigma_star,7.375,F_NSF,0.261622886501937,0.1735954621996432,0.349815410677337,8,0.0,0.0
pre-peak,log_sigma_star,7.375,I_NSF,2.388569563485708e+38,2.106557054738083e+38,2.6776561232577582e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,J_NSF,7.037111869378549e+37,4.402384529727298e+37,9.720105790406196e+37,8,0.0,0.0
pre-peak,log_sigma_star,7.375,HA6562,3.433603295719311e+38,3.0318955646207583e+38,3.816357965627953e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,HB4861,1.2006707767119423e+38,1.060177978274779e+38,1.3345749784981847e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,OIII5006,1.0060500220032245e+38,8.544933914217604e+37,1.1607945123595933e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,NII6583,1.2304054602967751e+38,9.913709910231843e+37,1.4613833163566103e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,SII_SUM,1.8026018361390172e+38,1.610519560878476e+38,1.9927044577547268e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,F_ND,0.31037185233434716,0.18546175062459117,0.43163497030650344,8,0.0,0.0
pre-peak,log_sigma_star,7.625,O,0.46018492584640197,0.3741929920295089,0.5482579945885915,8,0.0,0.0
pre-peak,log_sigma_star,7.625,I,0.008832435401829703,0.007139350549275696,0.010267077208468287,8,0.0,0.0
pre-peak,log_sigma_star,7.625,T,0.0040645536304341374,0.0028592930837124126,0.005269911583534287,8,0.0,0.0
pre-peak,log_sigma_star,7.625,F_SF,0.46018492584640197,0.3741929920295089,0.5482579945885915,8,0.0,0.0
pre-peak,log_sigma_star,7.625,F_NSF,0.312445066165986,0.23279264343028422,0.3937709631551078,8,0.0,0.0
pre-peak,log_sigma_star,7.625,I_NSF,3.5935148224552144e+38,3.077428098561464e+38,4.128042165488066e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,J_NSF,1.1770916315846672e+38,8.228037915396077e+37,1.5313497551697827e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,HA6562,4.95624784918674e+38,4.417383769050028e+38,5.4991685150183835e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,HB4861,1.7335045193000115e+38,1.545182932825085e+38,1.923316311685245e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,OIII5006,1.567017379458599e+38,1.2640604064775698e+38,1.871781060497171e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,NII6583,1.9470054772914046e+38,1.6215635706008735e+38,2.2753355369123072e+38,8,0.0,0.0
