stage,variable,center,ratio,delta,lo,hi,n_target,n_pre
close-to-peak,log_sigma_star,7.125,[O III] / Hbeta,0.08613023221014698,0.05339840911764071,0.1027396195046606,1,4
close-to-peak,log_sigma_star,7.375,[O III] / Hbeta,0.07131772609073077,-0.027518877953110633,0.1597628669300249,4,7
close-to-peak,log_sigma_star,7.625,[O III] / Hbeta,0.022508470373323944,-0.051151574415823395,0.09689140363251623,5,8
close-to-peak,log_sigma_star,7.875,[O III] / Hbeta,-0.02402153820720078,-0.0910532811474539,0.04984159703789515,5,8
close-to-peak,log_sigma_star,8.125,[O III] / Hbeta,-0.07290589918549034,-0.13210330922374594,0.007574237987459751,5,8
close-to-peak,log_sigma_star,8.375,[O III] / Hbeta,-0.11730261810011136,-0.17464520371978837,-0.03722620828108604,5,8
close-to-peak,log_sigma_star,8.625,[O III] / Hbeta,-0.2831138472876173,-0.35890020753021673,-0.14528902053746037,5,6
close-to-peak,log_sigma_star,8.875,[O III] / Hbeta,-0.4411915444430144,-0.5262307208431397,-0.14873183820080216,4,6
close-to-peak,log_sigma_star,9.125,[O III] / Hbeta,-0.49486695899066957,-0.5956988047757338,-0.05891261915785442,4,6
close-to-peak,log_sigma_star,9.375,[O III] / Hbeta,0.37322619309617755,0.27890408517979637,0.9242921636076602,1,6
post-peak,log_sigma_star,7.125,[O III] / Hbeta,,,,0,4
post-peak,log_sigma_star,7.375,[O III] / Hbeta,0.597708766079956,0.19597484514976343,0.6857121664376891,2,7
post-peak,log_sigma_star,7.625,[O III] / Hbeta,0.23384502911822777,-0.0038937943605040428,0.40949594901861586,8,8
post-peak,log_sigma_star,7.875,[O III] / Hbeta,0.09390710851414537,0.03064942290120798,0.17223117901919693,12,8
post-peak,log_sigma_star,8.125,[O III] / Hbeta,0.09130411235976892,0.035039063089783724,0.16354587508466636,13,8
post-peak,log_sigma_star,8.375,[O III] / Hbeta,0.007825530339351044,-0.04257816120547232,0.08006797280279555,13,8
post-peak,log_sigma_star,8.625,[O III] / Hbeta,-0.07651197805199236,-0.13323092574925227,0.031445555615065915,13,6
post-peak,log_sigma_star,8.875,[O III] / Hbeta,-0.15046019698100876,-0.2514316519179894,0.13350910827985416,12,6
post-peak,log_sigma_star,9.125,[O III] / Hbeta,-0.20006798448233262,-0.3632978918109833,0.3293135527794234,10,6
post-peak,log_sigma_star,9.375,[O III] / Hbeta,0.29929308692460593,0.19407770910445266,0.8529531023924036,9,6
close-to-peak,log_sigma_star,7.125,[N II] / Halpha,0.06009520173762839,0.0060541862998420015,0.2200733324541133,1,4
close-to-peak,log_sigma_star,7.375,[N II] / Halpha,0.1530360764516584,0.08404412992623378,0.22544038865318156,4,7
close-to-peak,log_sigma_star,7.625,[N II] / Halpha,0.10708436480579309,0.05188146594295432,0.17816623411180585,5,8
close-to-peak,log_sigma_star,7.875,[N II] / Halpha,0.11879239223926463,0.05696488082148221,0.1857913391158297,5,8
close-to-peak,log_sigma_star,8.125,[N II] / Halpha,0.12846329435776904,0.05344141325510066,0.2000140948202133,5,8
close-to-peak,log_sigma_star,8.375,[N II] / Halpha,0.14703479614577297,0.03588249699079939,0.2303493793251002,5,8
close-to-peak,log_sigma_star,8.625,[N II] / Halpha,0.06837351680831133,-0.16707164870732327,0.18173979689478584,5,6
close-to-peak,log_sigma_star,8.875,[N II] / Halpha,0.09996549566474894,-0.14764582725370728,0.2294015240658345,4,6
close-to-peak,log_sigma_star,9.125,[N II] / Halpha,0.08126498505709695,-0.08374699670840499,0.18575968307062082,4,6
close-to-peak,log_sigma_star,9.375,[N II] / Halpha,0.6730508204463713,0.5084673742272869,0.7431956903245762,1,6
post-peak,log_sigma_star,7.125,[N II] / Halpha,,,,0,4
post-peak,log_sigma_star,7.375,[N II] / Halpha,0.42547999517324026,0.3488163983801954,0.47780052299439146,2,7
post-peak,log_sigma_star,7.625,[N II] / Halpha,0.24322806505371924,0.17330820308755934,0.32674391125194174,8,8
post-peak,log_sigma_star,7.875,[N II] / Halpha,0.25219780227865407,0.1899446751856627,0.3257247468689829,12,8
post-peak,log_sigma_star,8.125,[N II] / Halpha,0.2373410871346958,0.16285542350918378,0.3099686156302425,13,8
post-peak,log_sigma_star,8.375,[N II] / Halpha,0.21053343940258148,0.1030765374590996,0.29336508405174727,13,8
post-peak,log_sigma_star,8.625,[N II] / Halpha,0.18127364886372935,-0.05273714551969276,0.28955165906241714,13,6
post-peak,log_sigma_star,8.875,[N II] / Halpha,0.24731137226030758,0.00026829398706382945,0.38766773588109743,12,6
post-peak,log_sigma_star,9.125,[N II] / Halpha,0.22737620830347488,0.053674084993409976,0.5493271710360415,10,6
post-peak,log_sigma_star,9.375,[N II] / Halpha,0.6565135084704055,0.48848711458392585,0.7287068584902536,9,6
close-to-peak,log_sigma_star,7.125,[S II] / Halpha,0.07998412401870425,0.022197930527063647,0.10461010775807011,1,4
close-to-peak,log_sigma_star,7.375,[S II] / Halpha,0.04671662353592765,0.013559631894340217,0.07669940120171162,4,7
close-to-peak,log_sigma_star,7.625,[S II] / Halpha,0.06592267092326454,0.025107490089867502,0.12533223066756705,5,8
close-to-peak,log_sigma_star,7.875,[S II] / Halpha,0.05747495430886479,0.02411423001885169,0.10036375316471406,5,8
