stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,log_sigma_star,7.125,O,-0.6263783306497981,-1.1035867773144032,-0.33565553886436367,5,5,0.9866
close-to-peak,log_sigma_star,7.125,I,-0.06939882681086251,-0.22282683444903129,0.18262238507550244,3,4,0.9866
close-to-peak,log_sigma_star,7.125,T,-0.6957771574606606,-1.1707574023075549,-0.3247681719922766,5,5,0.9866
close-to-peak,log_sigma_star,7.125,F_SF,-0.6263783306497981,-1.1035867773144032,-0.33565553886436367,5,5,0.9866
close-to-peak,log_sigma_star,7.125,F_NSF,-0.6276911720867387,-0.8786626366869384,-0.3500675214791766,5,5,0.9963
close-to-peak,log_sigma_star,7.125,I_NSF,-0.30156790996062455,-0.4480616050672586,-0.1401009197923915,4,4,0.9963
close-to-peak,log_sigma_star,7.125,J_NSF,-0.9695370324537649,-1.2375262985754958,-0.69109439162939,5,5,0.9963
close-to-peak,log_sigma_star,7.125,HA6562,-0.252946797508919,-0.39025259587611316,-0.03167373058392542,1,4,0.6672
close-to-peak,log_sigma_star,7.125,HB4861,-0.2525986676085381,-0.3899055587809883,-0.031331158898169065,1,4,0.6672
close-to-peak,log_sigma_star,7.125,OIII5006,-0.16646843539838585,-0.2920766697857218,0.015954003456521093,1,4,0.6672
close-to-peak,log_sigma_star,7.125,NII6583,-0.19285159577128752,-0.38241166946944105,0.19798847262322283,1,4,0.6672
close-to-peak,log_sigma_star,7.125,SII_SUM,-0.17296267349021122,-0.2861483131373319,-0.013871285819369916,1,4,0.6672
close-to-peak,log_sigma_star,7.125,F_ND,0.6950192138221012,0.42298438378375425,1.7585372301224778,5,5,0.9757
close-to-peak,log_sigma_star,7.375,O,-0.4055311135153725,-0.6990334759885999,-0.19491920857754064,5,8,0.9906
close-to-peak,log_sigma_star,7.375,I,-0.17744002333527398,-0.27009042020634577,-0.05173173839251666,3,7,0.9906
close-to-peak,log_sigma_star,7.375,T,-0.5829711368506465,-0.9032444484536212,-0.32664580176247093,5,8,0.9906
close-to-peak,log_sigma_star,7.375,F_SF,-0.4055311135153725,-0.6990334759885999,-0.19491920857754064,5,8,0.9906
close-to-peak,log_sigma_star,7.375,F_NSF,-0.42647377425619115,-0.6633579533569459,-0.207041259151408,5,8,0.9997
close-to-peak,log_sigma_star,7.375,I_NSF,-0.2753241881620667,-0.36329369046019616,-0.19100436207380397,4,7,0.9997
close-to-peak,log_sigma_star,7.375,J_NSF,-0.7380976694905499,-1.0267931414256293,-0.48467754304306954,5,8,0.9997
close-to-peak,log_sigma_star,7.375,HA6562,-0.29063849055240354,-0.3574688111969326,-0.22483074464994304,4,7,0.9997
close-to-peak,log_sigma_star,7.375,HB4861,-0.2906165593124257,-0.3574487229345678,-0.22482404105385656,4,7,0.9997
close-to-peak,log_sigma_star,7.375,OIII5006,-0.21929883322169275,-0.33598468173075074,-0.1094934078943004,4,7,0.9997
close-to-peak,log_sigma_star,7.375,NII6583,-0.1376024141007477,-0.25090792355159636,-0.019314744823965994,4,7,0.9997
close-to-peak,log_sigma_star,7.375,SII_SUM,-0.2439218670164749,-0.3181143036316746,-0.1702958470492999,4,7,0.9997
close-to-peak,log_sigma_star,7.375,F_ND,0.373677508823703,0.21283440350032168,0.6003687551142097,5,8,1.0
close-to-peak,log_sigma_star,7.625,O,-0.2520989439023444,-0.5131993138363072,-0.07223329818426612,5,8,0.9997
close-to-peak,log_sigma_star,7.625,I,-0.10765098411439489,-0.20263668420237516,-0.009387524457398301,4,8,0.9997
close-to-peak,log_sigma_star,7.625,T,-0.35974992801673933,-0.6591898197160686,-0.1347502188816409,5,8,0.9997
close-to-peak,log_sigma_star,7.625,F_SF,-0.2520989439023444,-0.5131993138363072,-0.07223329818426612,5,8,0.9997
close-to-peak,log_sigma_star,7.625,F_NSF,-0.27551248000541206,-0.4185832700945085,-0.13029708764848336,5,8,1.0
close-to-peak,log_sigma_star,7.625,I_NSF,-0.3662576718577881,-0.4788896397954218,-0.2640875602420155,5,8,1.0
