variable,center,OIII_Ha,OIII_Hb,missed_delta_BD,stage
log_sigma_star,7.125,0.08647836211053017,0.08613023221014698,-0.00034812990038318725,close-to-peak
log_sigma_star,7.375,0.07133965733070585,0.07131772609073093,-2.193123997491775e-05,close-to-peak
log_sigma_star,7.625,0.02400539599749052,0.022508470373323944,-0.0014969256241665757,close-to-peak
log_sigma_star,7.875,-0.023032013199624113,-0.02402153820720078,-0.0009895250075766665,close-to-peak
log_sigma_star,8.125,-0.0722078572519872,-0.07290589918549048,-0.000698041933503285,close-to-peak
log_sigma_star,8.375,-0.11674147421522396,-0.11730261810011147,-0.0005611438848875105,close-to-peak
log_sigma_star,8.625,-0.2830535503309328,-0.28311384728761724,-6.0296956684413594e-05,close-to-peak
log_sigma_star,8.875,-0.441179650860108,-0.4411915444430144,-1.1893582906374878e-05,close-to-peak
log_sigma_star,9.125,-0.4948616638989274,-0.4948669589906695,-5.295091742130165e-06,close-to-peak
log_sigma_star,9.375,0.37386717880500014,0.3732261930961775,-0.00064098570882265,close-to-peak
radius_re,0.125,-0.27526023355135193,-0.27528487766539217,-2.4644114040239806e-05,close-to-peak
radius_re,0.375,-0.05044425255213547,-0.05087653637886832,-0.00043228382673284743,close-to-peak
radius_re,0.625,-0.09668521639994221,-0.09712025179373407,-0.0004350353937918605,close-to-peak
radius_re,0.875,-0.04992155509584828,-0.050748209173130485,-0.0008266540772822045,close-to-peak
radius_re,1.125,0.017110554247440235,0.016178282891150184,-0.0009322713562900514,close-to-peak
radius_re,1.375,0.1702462146670049,0.1697437434698184,-0.0005024711971864937,close-to-peak
radius_re,1.625,0.05563002781630827,0.05491930352879381,-0.0007107242875144595,close-to-peak
radius_re,1.875,-0.0233483197563214,-0.0328636514339055,-0.009515331677584102,close-to-peak
radius_re,2.125,0.1408829110815708,0.14091999208883124,3.7081007260436616e-05,close-to-peak
radius_re,2.375,0.03559604639667069,0.03580329306163356,0.0002072466649628707,close-to-peak
log_sigma_star,7.125,,,,post-peak
log_sigma_star,7.375,0.6037759680167285,0.5977087660799563,-0.006067201936772237,post-peak
log_sigma_star,7.625,0.23474732810936916,0.23384502911822777,-0.000902298991141387,post-peak
log_sigma_star,7.875,0.09706324083852919,0.09390710851414537,-0.0031561323243838174,post-peak
log_sigma_star,8.125,0.09372145381644442,0.09130411235976876,-0.002417341456675659,post-peak
log_sigma_star,8.375,0.008927157362343063,0.007825530339350989,-0.0011016270229920744,post-peak
log_sigma_star,8.625,-0.07561315085154896,-0.07651197805199231,-0.0008988272004433473,post-peak
log_sigma_star,8.875,-0.14982445573275316,-0.15046019698100868,-0.0006357412482555225,post-peak
log_sigma_star,9.125,-0.1996712043798603,-0.20006798448233254,-0.0003967801024722384,post-peak
log_sigma_star,9.375,0.3002438026787836,0.29929308692460577,-0.0009507157541778222,post-peak
radius_re,0.125,0.05349618949546536,0.053300563965105296,-0.00019562553036006625,post-peak
radius_re,0.375,0.109710926711096,0.10870394721336021,-0.0010069794977357882,post-peak
radius_re,0.625,0.08544674390579493,0.0841385687578041,-0.0013081751479908366,post-peak
radius_re,0.875,0.10705630145864731,0.10513789094636483,-0.0019184105122824757,post-peak
radius_re,1.125,0.1140685646846285,0.11208583702389648,-0.0019827276607320282,post-peak
radius_re,1.375,0.24432879136715369,0.2426930197810251,-0.0016357715861285982,post-peak
radius_re,1.625,0.32920446913171475,0.328422019387126,-0.0007824497445887424,post-peak
radius_re,1.875,0.21313569522819098,0.21129289727648043,-0.0018427979517105508,post-peak
radius_re,2.125,0.11913887845003224,0.11618653261756934,-0.0029523458324628993,post-peak
radius_re,2.375,0.2740319641553326,0.2649627499282294,-0.009069214227103217,post-peak
