GALID,components,stage,inclination_deg,N_valid,N_SF,sigma_min,sigma_max,radius_min,radius_max,wcs_separation_arcsec,QC_flag
NGC4298,NGC4298,close-to-peak,52.0,498540,144157,6.476231517588358,9.37281704393629,0.002597010638475787,2.9273094017113195,0.0,OK
NGC4424,NGC4424,close-to-peak,61.0,172561,8994,7.113861397971787,9.027294577204573,0.0027209513209040504,2.533258518339192,0.0,OK
NGC4501,NGC4501,close-to-peak,65.0,664236,251936,6.926827444228879,10.916400748514803,0.0024363369632383275,2.862774505922162,0.0,OK
NGC4654,NGC4654,close-to-peak,61.0,659231,345036,6.04368851680113,9.750619163581021,0.000636672950359372,2.8366301787072783,0.0,OK
NGC4694,NGC4694,close-to-peak,62.0,94538,1058,6.934593128201717,9.479633887241071,0.004544025414284658,3.7967717548344586,0.0,OK
IC3392,IC3392,post-peak,68.0,94575,13897,6.969275619135338,9.253758723204838,0.004326450361907475,3.0847325263596046,0.0,OK
NGC4064,NGC4064,post-peak,70.0,179882,3273,6.811374445117829,9.428892027898202,0.002944834784292219,1.9390605789894395,0.0,OK
NGC4293,NGC4293,post-peak,67.0,261523,471,7.2430911284532264,10.33657257266893,0.0016449723596034583,1.8425994011427393,0.0,OK
NGC4380,NGC4380,post-peak,61.0,502065,64097,6.694095123786137,10.14122636535315,0.0017546674984175827,2.9635342275612246,0.0,OK
NGC4394,NGC4394,post-peak,32.0,180654,31915,7.352379857607499,10.783340566288862,0.0019994706970345253,1.488715281564367,0.0,OK
NGC4405,NGC4405,post-peak,46.0,178518,13569,6.5724396858790834,9.50203512687586,0.005721662940063597,4.164959908205228,0.0,OK
NGC4419,NGC4419,post-peak,74.0,180692,5763,6.768426595793051,10.523779605356548,0.007011148669577742,5.772162407645336,0.0,OK
NGC4450,NGC4450,post-peak,51.0,501469,17186,7.27376756822375,11.00583408060979,0.0016948321405162398,2.370687075552378,0.0,OK
NGC4457,NGC4457,post-peak,37.0,338082,5604,7.144251609240511,10.937963969201395,0.005963523513058932,5.330092274853888,0.0,OK
NGC4548,NGC4548,post-peak,37.0,0,0,,,,,,missing_mass_product;missing_sfr_product;missing_ew_product;missing_mask_product;missing_sfh_product
NGC4569,NGC4569,post-peak,69.0,659174,45477,7.062332031322221,10.367210181771881,0.0014608243088943167,2.76039927257191,0.0,OK
NGC4579,NGC4579,post-peak,40.0,0,0,,,,,,missing_mass_product;missing_sfr_product;missing_ew_product;missing_mask_product;missing_sfh_product
NGC4580,NGC4580,post-peak,46.0,180321,22438,7.059521793823421,9.570877699916407,0.001790118446522094,3.020014863750213,0.0,OK
NGC4606,NGC4606,post-peak,69.0,94256,1752,6.857939939885201,9.252964168706212,0.003239988021490743,2.603370691018353,0.0,OK
NGC4689,NGC4689,post-peak,38.0,0,0,,,,,,missing_mass_product;missing_sfr_product;missing_ew_product;missing_mask_product;missing_sfh_product
NGC4698,NGC4698,post-peak,66.0,352547,6744,6.581043320394199,10.497614938418403,0.0031976310063557946,3.6856765418681063,0.0,OK
NGC4189,NGC4189,pre-peak,42.0,177204,96364,6.873473402628681,9.77454986685817,0.0017712630258011116,2.2705956697619296,0.0,OK
NGC4254,NGC4254,pre-peak,39.0,1043477,661963,6.261150935053865,10.597720047040845,0.0020385753973583324,4.06076585296335,0.0,OK
NGC4294,NGC4294,pre-peak,74.0,179355,68833,6.290771266522929,8.63042597097587,0.0039033782843711047,3.4043259797185317,0.0,OK
NGC4321,NGC4321,pre-peak,32.0,970159,454131,7.2317495938177565,10.817789921670398,0.0008697882780677145,1.5664399765909536,0.0,OK
NGC4351,NGC4351,pre-peak,48.0,180133,30711,6.496089587822424,8.842525115653974,0.0030384697375967994,2.9644923942666703,0.0,OK
NGC4383,NGC4383,pre-peak,56.0,227031,25212,5.982214573220395,9.708307661640418,0.004912290852990367,7.8214076929557725,0.0,OK
NGC4535,NGC4535,pre-peak,48.0,525101,187113,7.152424209781515,10.165787322037197,0.0012885463598106685,2.04160720753933,0.0,OK
NGC4567_8,"NGC4567,NGC4568",pre-peak,70.0,510118,222533,6.936767812745166,10.582494457756177,0.0026720354314844134,2.632646116307521,0.0,OK
