stage,variable,bin_left,bin_right,center,category,N_gal_stage,N_gal_usable,N_gal_category_support,N_spaxel_usable,N_spaxel_category,f_gal_usable,occupancy,mean_intensity,typical_median_log_intensity,in_fixed_reliable_range
close-to-peak,log_sigma_star,5.75,6.0,5.875,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,SF,5,1,1,2090,1655,0.2,0.7918660287081339,2.757599678594823e+38,37.984132350928355,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,NSF,5,1,0,2090,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,ND,5,1,1,2090,435,0.2,0.20813397129186603,3.538082173568861e+37,37.53978209051075,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,SF,5,1,1,17548,9943,0.2,0.5666172783223159,4.579678400919211e+38,38.36690109067162,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,NSF,5,1,1,17548,2190,0.2,0.12480054707089126,1.3102111959190388e+38,38.038749241024384,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,ND,5,1,1,17548,5415,0.2,0.30858217460679277,2.734946975364088e+37,37.45246053979227,False
close-to-peak,log_sigma_star,7.0,7.25,7.125,SF,5,5,3,86552,31713,1.0,0.10664508336560266,6.64234319048576e+38,38.36546377258046,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,NSF,5,5,4,86552,14673,1.0,0.09119431167590208,9.403820089483076e+37,37.93543302747974,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,ND,5,5,5,86552,40166,1.0,0.8021606049584953,1.6755394865529996e+37,37.11787694171438,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,SF,5,5,3,206230,73368,1.0,0.16823563588149676,8.380389276695204e+38,38.63774921560234,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,NSF,5,5,4,206230,37375,1.0,0.09799455806985564,1.2671082127836851e+38,38.07756338570291,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,ND,5,5,5,206230,95487,1.0,0.7337698060486476,1.8814355579942093e+37,37.11787694171438,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,SF,5,5,4,322823,119554,1.0,0.2575333306689192,1.0671522694114413e+39,38.77448604996688,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,NSF,5,5,5,322823,66971,1.0,0.16567660673826706,1.5461861142515059e+38,38.17125267514268,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,ND,5,5,5,322823,136298,1.0,0.5767900625928137,2.3896850966147373e+37,37.17207571258171,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,SF,5,5,4,359551,157800,1.0,0.35452590873035544,1.9397875993735408e+39,38.96378632880626,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,NSF,5,5,5,359551,97060,1.0,0.271081145800659,2.427094475411307e+38,38.28013457368559,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,ND,5,5,5,359551,104691,1.0,0.3743929454689855,3.244093037428115e+37,37.44345007874492,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,SF,5,5,5,296157,145663,1.0,0.4382007128787587,2.870458781664631e+39,39.09833164460989,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,NSF,5,5,5,296157,111969,1.0,0.3695368873994399,4.2472103595917334e+38,38.41653536086095,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,ND,5,5,5,296157,38525,1.0,0.1922623997218013,4.762125295342454e+37,37.58996610866125,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,SF,5,5,5,167826,94920,1.0,0.5425378502647471,5.73895947635444e+39,39.40247192559797,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,NSF,5,5,5,167826,63204,1.0,0.3689155721388322,7.99765024417425e+38,38.77643711236869,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,ND,5,5,3,167826,9702,1.0,0.08854657759642078,5.138362441931296e+37,37.72895778924786,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,SF,5,5,5,96323,57939,1.0,0.5948445435844572,9.864186418571138e+39,39.540341385985506,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,NSF,5,5,5,96323,37524,1.0,0.3782779689504885,2.0687640041568546e+39,39.01690632967523,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,ND,5,5,2,96323,860,1.0,0.0268774874650544,9.123217868341355e+37,37.932195384810626,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,SF,5,5,5,55579,26417,1.0,0.5424957419903219,1.9154395071354762e+40,40.00990077436211,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,NSF,5,5,4,55579,28917,1.0,0.45307793892316894,7.409063677428464e+39,39.3112245092219,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,ND,5,5,2,55579,245,1.0,0.004426319086509125,1.579502080643182e+38,38.178065058616255,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,SF,5,4,4,21244,1796,0.8,0.3344259120575398,3.5931446227473866e+40,40.356539500085624,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,NSF,5,4,4,21244,18411,0.8,0.6526548673315069,2.0803291640885524e+40,39.865737695218236,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,ND,5,4,1,21244,1037,0.8,0.012919220610953306,1.6376437378271679e+38,38.21064823260332,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,SF,5,1,1,6902,53,0.2,0.0076789336424224865,1.9150389690311207e+40,40.27755426641403,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,NSF,5,1,1,6902,5965,0.2,0.8642422486235873,1.4313046165481296e+39,38.94722784830374,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,ND,5,1,1,6902,884,0.2,0.12807881773399016,2.2716219705989474e+38,38.34625772620069,True
close-to-peak,log_sigma_star,9.5,9.75,9.625,SF,5,1,0,3104,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,NSF,5,1,1,3104,2774,0.2,0.8936855670103093,2.2097248736597365e+39,39.18829476048871,False
