stage,variable,bin_left,bin_right,center,N_gal_stage,N_gal_usable,N_gal_any_SF,N_gal_SF_support,N_spaxel_usable,N_spaxel_SF,f_gal_usable,f_gal_SF_support,occupancy,total_hii,survivor_intensity,in_fixed_reliable_range
close-to-peak,log_sigma_star,5.75,6.0,5.875,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,5,1,1,1,2090,1655,0.2,0.2,0.7918660287081339,0.0010882396569235585,0.0013742724368400224,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,5,1,1,1,17548,9943,0.2,0.2,0.5666172783223159,0.0012932021310792358,0.0022823203254730396,False
close-to-peak,log_sigma_star,7.0,7.25,7.125,5,5,3,3,86552,31713,1.0,0.6,0.10664508336560266,0.00031550635262841346,0.002958470683048638,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,5,5,3,3,206230,73368,1.0,0.6,0.16823563588149676,0.000726604024605091,0.0043189661976069235,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,5,5,4,4,322823,119554,1.0,0.8,0.2575333306689192,0.0017752639347412356,0.0068933366028006956,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,5,5,4,4,359551,157800,1.0,0.8,0.35452590873035544,0.004240627388789667,0.011961403339960113,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,5,5,5,5,296157,145663,1.0,1.0,0.4382007128787587,0.007744213990372166,0.017672755344227003,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,5,5,5,5,167826,94920,1.0,1.0,0.5425378502647471,0.016290830413758527,0.030027085494235918,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,5,5,5,5,96323,57939,1.0,1.0,0.5948445435844572,0.03716865597753879,0.062484654820174054,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,5,5,5,5,55579,26417,1.0,1.0,0.5424957419903219,0.06254447911993509,0.11529026733089248,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,5,4,4,4,21244,1796,0.8,0.8,0.3344259120575398,0.07091428398233898,0.21204781515296517,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,5,1,1,1,6902,53,0.2,0.2,0.0076789336424224865,0.0007328585295037398,0.09543753906858135,True
close-to-peak,log_sigma_star,9.5,9.75,9.625,5,1,0,0,3104,0,0.2,0.0,0.0,0.0,,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,5,1,0,0,1175,0,0.2,0.0,0.0,0.0,,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,5,1,0,0,420,0,0.2,0.0,0.0,0.0,,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,5,1,0,0,119,0,0.2,0.0,0.0,0.0,,False
close-to-peak,log_sigma_star,10.5,10.75,10.625,5,1,0,0,51,0,0.2,0.0,0.0,0.0,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,5,0,0,0,0,0,0.0,0.0,,,,False
