GALID,stage,theta_SF,gradient_magnitude,a_east,b_north,fit_ok,fit_status,direction_defined,R2,N_plus,N_minus,side_supported,local_plus,local_minus,A_local_at_SF,env_plus,env_minus,A_env_at_SF,z_plus,z_minus,A_z_at_SF,enh_plus,enh_minus,A_enh_at_SF,compass,pa_kind,caveat,pa_input_deg,pa_RPS_deg,half_width_deg,reference,delta_theta_deg,testable,aligned,environmental_state,exclusion_reason
IC3392,post-peak,128.30559327999183,0.3190667998063404,0.2503767792446997,-0.19777535527388188,True,OK,True,0.13424893854882736,6034,7834,True,0.05995777500550048,-0.07845040975757944,0.13840818476307992,-0.04954516887664795,-0.16939997673034668,0.11985480785369873,-0.10560930520296097,-0.36325210332870483,0.25764279812574387,0.06761683791846204,0.043783507786571356,0.023833330131890686,,,,,,,,,False,,less suppressed on SF-preferred side; still below control,no independent coarse H I direction
NGC4064,post-peak,216.38851397476378,0.12432754962806673,-0.07375825356850364,-0.10008526178735667,True,OK,True,0.007905484697287357,1818,1395,True,0.05650817049672607,-0.04265439229675483,0.0991625627934809,0.14241111278533936,0.06980633735656738,0.07260477542877197,0.2903270423412323,0.12979023158550262,0.16053681075572968,0.24917491749174916,0.15913978494623657,0.0900351325455126,,,,,,,,,False,,above control on SF-preferred side; positive environmental contrast,no independent coarse H I direction
NGC4189,pre-peak,145.70465203756936,0.026654817697502046,0.015018896215295084,-0.022020718947420026,True,OK,True,0.011123204705396073,45518,50839,True,0.032628230494083255,-0.020322814370501874,0.05295104486458513,0.022414445877075195,-0.020363330841064453,0.04277777671813965,0.05618179962038994,-0.04667425900697708,0.10285605862736702,0.21178434904872798,0.15598261177442516,0.05580173727430282,,,,,,,,,False,,above control on SF-preferred side; positive environmental contrast,no independent coarse H I direction
NGC4254,pre-peak,74.06070616186577,0.015730362681463265,0.015125580578027212,0.004319852111817964,True,OK,True,0.022125135701776433,455185,203688,True,0.01761141928341181,-0.052779844501742446,0.07039126378515426,0.2762291431427002,0.17339062690734863,0.10283851623535156,0.6751399636268616,0.3924676477909088,0.28267231583595276,0.3911442600261432,0.2989572287027218,0.09218703132342143,,,,,,,,,False,,above control on SF-preferred side; positive environmental contrast,no independent coarse H I direction
NGC4293,post-peak,159.56617069573517,0.8505774786020484,0.29695819267289497,-0.7970557564621598,True,OK,True,0.04334619212586899,305,5,False,,,,,,,,,,,,,,,,,,,,,False,,unavailable,no independent coarse H I direction
NGC4294,pre-peak,267.5337657111616,0.0734807467950464,-0.07341268554695156,-0.0031619219380199584,True,OK,True,0.0630450574340331,28080,40718,True,0.08807998698557595,-0.071482575319465,0.15956256230504096,0.21942353248596191,0.018721818923950195,0.20070171356201172,0.5569964647293091,0.048055972903966904,0.5089404918253422,0.32425213675213677,0.17464020826170243,0.14961192849043434,,,,,,,,,False,,above control on SF-preferred side; positive environmental contrast,no independent coarse H I direction
NGC4298,close-to-peak,108.4405597655876,0.015216732216469887,0.014435388403644774,-0.0048133669072355735,True,OK,True,0.010960150227793841,89901,54219,True,0.010809530640472076,-0.03686883386126305,0.047678364501735127,-0.1149282455444336,-0.17082476615905762,0.05589652061462402,-0.27067217230796814,-0.3849203586578369,0.11424818634986877,0.1164058241843806,0.07871779265571109,0.03768803152866951,SE,compression,Companion / tidal ambiguity,135.0,135.0,45.0,Chung et al. 2009 Appendix A; https://arxiv.org/pdf/0909.0781,26.55944023441242,True,True,less suppressed on SF-preferred side; still below control,
NGC4321,pre-peak,193.572464582625,0.012806806396448442,-0.003005437001116051,-0.012449162160902047,True,OK,True,0.012525902300514202,191634,262476,True,0.05602447078763362,-0.027637062066332874,0.08366153285396649,0.03409004211425781,-0.05285048484802246,0.08694052696228027,0.07706307619810104,-0.1203642264008522,0.19742730259895325,0.2119665612573969,0.16105853487556956,0.05090802638182734,,,,,,,,,False,,above control on SF-preferred side; positive environmental contrast,no independent coarse H I direction
NGC4351,pre-peak,29.217403077772826,0.08559553238283506,0.0417813003158537,0.07470554268471255,True,OK,True,0.06990344553171868,17413,13200,True,0.04985167151198722,-0.11855980777067998,0.1684114792826672,-0.12298107147216797,-0.2593824863433838,0.13640141487121582,-0.281881719827652,-0.6201986968517303,0.33831697702407837,0.08734853270544995,0.04984848484848485,0.037500047856965105,,,,,,,,,False,,less suppressed on SF-preferred side; still below control,no independent coarse H I direction
NGC4380,post-peak,70.39475842140386,0.024061520216481412,0.022666595949332385,0.008073548364743496,True,OK,True,0.011794552730194585,31539,30286,True,0.012927843489023871,-0.039435896803297954,0.052363740292321825,-0.5062975883483887,-0.5667970180511475,0.06049942970275879,-1.1315983533859253,-1.2831655740737915,0.1515672206878662,0.010431529217793842,0.01000462259790002,0.0004269066198938215,,,,,,,,,False,,less suppressed on SF-preferred side; still below control,no independent coarse H I direction
NGC4383,pre-peak,359.3483111905018,0.018028451892571913,-0.00020505327137059382,0.0180272857302113,True,OK,True,0.020207523340384337,17152,7922,True,0.004806893282989222,-0.03564547338294255,0.04045236666593177,0.0583491325378418,0.18304741382598877,-0.12469828128814697,0.15117786824703217,0.41697102785110474,-0.26579315960407257,0.12354244402985075,0.25006311537490533,-0.12652067134505457,,,,,,,,,False,,"above control, but not the environmentally stronger side",no independent coarse H I direction
