stage,center,observed_delta,p16,p84,sigma_boot,constant_prediction,linear_prediction,n_pre_usable,n_target_usable
close-to-peak,7.625,-0.10765098411439494,-0.20138101231190225,-0.0063970416901010735,0.12743990032871644,-0.14146871553230297,-0.11359337848138049,8,5
close-to-peak,7.875,-0.12148085326436628,-0.28348101632234673,-0.0059068495570616985,0.1300920234399882,-0.14146871553230297,-0.12570663031690343,8,5
close-to-peak,8.125,-0.1534400025922655,-0.27896994701475475,-0.04859630426626709,0.11110632971031478,-0.14146871553230297,-0.13781988215242638,8,5
close-to-peak,8.375,-0.13952293522061004,-0.2719944271839859,-0.018925021623574234,0.1233654643873726,-0.14146871553230297,-0.14993313398794933,8,5
close-to-peak,8.625,-0.16431919066897818,-0.4746042356875825,0.013760225980834234,0.2228710402642367,-0.14146871553230297,-0.1620463858234723,7,5
close-to-peak,8.875,-0.18904407154772487,-0.427080620003532,-0.008931149471229638,0.20831174717479417,-0.14146871553230297,-0.17415963765899525,6,5
close-to-peak,9.125,-0.17324865198045802,-0.34481448490563826,-8.246341126723815e-05,0.19167704545030873,-0.14146871553230297,-0.1862728894945182,6,4
post-peak,7.625,-0.42864105421529347,-0.522894286252525,-0.29058487970667,0.14443678075969824,-0.39001250776106827,-0.45676474777293774,8,13
post-peak,7.875,-0.603763844998759,-0.6946927001439208,-0.4598240263093015,0.13810154799775864,-0.39001250776106827,-0.4311751376550057,8,13
post-peak,8.125,-0.3360496223029589,-0.467931856509319,-0.20461394724398832,0.13458038458391747,-0.39001250776106827,-0.40558552753707366,8,13
post-peak,8.375,-0.28749910722495875,-0.38557562883885493,-0.1897886765014187,0.09800698471633844,-0.39001250776106827,-0.3799959174191416,8,13
post-peak,8.625,-0.4084085637513637,-0.5287452818209547,-0.26299728887549595,0.13207660296276155,-0.39001250776106827,-0.3544063073012096,7,13
post-peak,8.875,-0.36154919064793634,-0.5591750021951324,-0.1765003238310529,0.1910669503655516,-0.39001250776106827,-0.32881669718327755,6,13
post-peak,9.125,-0.40893737971658656,-0.6936375325812981,-0.188921833074825,0.24401226548955698,-0.39001250776106827,-0.3032270870653455,6,12
