target_stage,omitted_stage,GALID,constant_dex
close-to-peak,pre-peak,NGC4189,-0.15007056959954088
close-to-peak,pre-peak,NGC4254,-0.09714445266428402
close-to-peak,pre-peak,NGC4294,-0.14105121983251187
close-to-peak,pre-peak,NGC4321,-0.14291769057222295
close-to-peak,pre-peak,NGC4351,-0.17190549800616056
close-to-peak,pre-peak,NGC4383,-0.10326785242379781
close-to-peak,pre-peak,NGC4535,-0.15127130909962813
close-to-peak,pre-peak,NGC4567_8,-0.16080608602183374
close-to-peak,close-to-peak,NGC4298,-0.08633255267795244
close-to-peak,close-to-peak,NGC4424,-0.19516545674933178
close-to-peak,close-to-peak,NGC4501,-0.11043782944346293
close-to-peak,close-to-peak,NGC4654,-0.21732881760268977
close-to-peak,close-to-peak,NGC4694,-0.13905307826158278
post-peak,pre-peak,NGC4189,-0.39890961810100334
post-peak,pre-peak,NGC4254,-0.352329495055294
post-peak,pre-peak,NGC4294,-0.39356287987758815
post-peak,pre-peak,NGC4321,-0.3921737384052239
post-peak,pre-peak,NGC4351,-0.4199812807247675
post-peak,pre-peak,NGC4383,-0.33957628457152456
post-peak,pre-peak,NGC4535,-0.39871397705311834
post-peak,pre-peak,NGC4567_8,-0.41216409337329035
post-peak,post-peak,IC3392,-0.37411104110090293
post-peak,post-peak,NGC4064,-0.41837824313875177
post-peak,post-peak,NGC4293,-0.3899101198582638
post-peak,post-peak,NGC4380,-0.35011016718059396
post-peak,post-peak,NGC4394,-0.3743258101920951
post-peak,post-peak,NGC4405,-0.40932904530128855
post-peak,post-peak,NGC4419,-0.38756630770676803
post-peak,post-peak,NGC4450,-0.38606481530903325
post-peak,post-peak,NGC4457,-0.39264623930316356
post-peak,post-peak,NGC4569,-0.41476289668039285
post-peak,post-peak,NGC4580,-0.38871456351645284
post-peak,post-peak,NGC4606,-0.4020605159267364
post-peak,post-peak,NGC4698,-0.3826746062370309
