GALID,stage,category,footprint,n,n_raw_below_286
NGC4298,close-to-peak,sf,all_retained,138402,24
NGC4298,close-to-peak,sf,mass_window,138402,24
NGC4298,close-to-peak,sf,radial_window,138402,24
NGC4298,close-to-peak,sf,common_bpt_mass,77073,24
NGC4298,close-to-peak,sf,common_bpt_radius,77073,24
NGC4298,close-to-peak,nsf,all_retained,43104,2029
NGC4298,close-to-peak,nsf,mass_window,43104,2029
NGC4298,close-to-peak,nsf,radial_window,43104,2029
NGC4298,close-to-peak,nsf,common_bpt_mass,18427,168
NGC4298,close-to-peak,nsf,common_bpt_radius,18427,168
NGC4424,close-to-peak,sf,all_retained,8994,0
NGC4424,close-to-peak,sf,mass_window,8994,0
NGC4424,close-to-peak,sf,radial_window,8994,0
NGC4424,close-to-peak,sf,common_bpt_mass,8944,0
NGC4424,close-to-peak,sf,common_bpt_radius,8944,0
NGC4424,close-to-peak,nsf,all_retained,37811,10816
NGC4424,close-to-peak,nsf,mass_window,37811,10816
NGC4424,close-to-peak,nsf,radial_window,37811,10816
NGC4424,close-to-peak,nsf,common_bpt_mass,22231,3681
NGC4424,close-to-peak,nsf,common_bpt_radius,22231,3681
NGC4501,close-to-peak,sf,all_retained,251607,0
NGC4501,close-to-peak,sf,mass_window,251607,0
NGC4501,close-to-peak,sf,radial_window,251539,0
NGC4501,close-to-peak,sf,common_bpt_mass,217420,0
NGC4501,close-to-peak,sf,common_bpt_radius,217420,0
NGC4501,close-to-peak,nsf,all_retained,261968,9381
NGC4501,close-to-peak,nsf,mass_window,257420,9268
NGC4501,close-to-peak,nsf,radial_window,261742,9381
NGC4501,close-to-peak,nsf,common_bpt_mass,190624,3934
NGC4501,close-to-peak,nsf,common_bpt_radius,194978,4008
NGC4654,close-to-peak,sf,all_retained,320781,235
NGC4654,close-to-peak,sf,mass_window,309183,235
NGC4654,close-to-peak,sf,radial_window,320781,235
NGC4654,close-to-peak,sf,common_bpt_mass,271421,0
NGC4654,close-to-peak,sf,common_bpt_radius,278728,0
NGC4654,close-to-peak,nsf,all_retained,117845,5710
NGC4654,close-to-peak,nsf,mass_window,115649,5555
NGC4654,close-to-peak,nsf,radial_window,117845,5710
NGC4654,close-to-peak,nsf,common_bpt_mass,80986,1553
NGC4654,close-to-peak,nsf,common_bpt_radius,81925,1553
NGC4694,close-to-peak,sf,all_retained,1058,0
NGC4694,close-to-peak,sf,mass_window,1058,0
NGC4694,close-to-peak,sf,radial_window,1058,0
NGC4694,close-to-peak,sf,common_bpt_mass,1058,0
NGC4694,close-to-peak,sf,common_bpt_radius,1058,0
NGC4694,close-to-peak,nsf,all_retained,28137,7251
NGC4694,close-to-peak,nsf,mass_window,28137,7251
NGC4694,close-to-peak,nsf,radial_window,28137,7251
NGC4694,close-to-peak,nsf,common_bpt_mass,24222,4557
NGC4694,close-to-peak,nsf,common_bpt_radius,24222,4557
IC3392,post-peak,sf,all_retained,13888,0
IC3392,post-peak,sf,mass_window,13888,0
IC3392,post-peak,sf,radial_window,13888,0
IC3392,post-peak,sf,common_bpt_mass,12665,0
IC3392,post-peak,sf,common_bpt_radius,12665,0
IC3392,post-peak,nsf,all_retained,9123,1814
IC3392,post-peak,nsf,mass_window,9123,1814
IC3392,post-peak,nsf,radial_window,9123,1814
IC3392,post-peak,nsf,common_bpt_mass,4760,303
IC3392,post-peak,nsf,common_bpt_radius,4760,303
NGC4064,post-peak,sf,all_retained,3273,0
NGC4064,post-peak,sf,mass_window,3273,0
NGC4064,post-peak,sf,radial_window,3273,0
NGC4064,post-peak,sf,common_bpt_mass,3270,0
NGC4064,post-peak,sf,common_bpt_radius,3270,0
NGC4064,post-peak,nsf,all_retained,33921,10289
NGC4064,post-peak,nsf,mass_window,33921,10289
NGC4064,post-peak,nsf,radial_window,33921,10289
NGC4064,post-peak,nsf,common_bpt_mass,24756,4682
NGC4064,post-peak,nsf,common_bpt_radius,24756,4682
NGC4293,post-peak,sf,all_retained,471,0
NGC4293,post-peak,sf,mass_window,471,0
NGC4293,post-peak,sf,radial_window,471,0
NGC4293,post-peak,sf,common_bpt_mass,424,0
NGC4293,post-peak,sf,common_bpt_radius,424,0
NGC4293,post-peak,nsf,all_retained,63400,30378
NGC4293,post-peak,nsf,mass_window,63157,30378
NGC4293,post-peak,nsf,radial_window,63400,30378
NGC4293,post-peak,nsf,common_bpt_mass,35171,7997
NGC4293,post-peak,nsf,common_bpt_radius,35414,7997
NGC4380,post-peak,sf,all_retained,56075,0
NGC4380,post-peak,sf,mass_window,56075,0
NGC4380,post-peak,sf,radial_window,56075,0
NGC4380,post-peak,sf,common_bpt_mass,10768,0
