sigma_bin,sigma_center,Ngal,P16_delta_pre,P50_delta_pre,P84_delta_pre,sigma_pre,contributing_GALIDs
0,6.166666666666666,0,,,,,
1,6.5,3,-0.7193293571472168,0.09766077995300293,0.622882604598999,0.6711059808731079,"NGC4254,NGC4294,NGC4383"
2,6.833333333333334,3,-0.12935638427734375,0.062957763671875,0.5817854404449463,0.355570912361145,"NGC4254,NGC4294,NGC4383"
3,7.166666666666666,7,-0.40920376777648926,-0.15241503715515137,0.36272311210632324,0.38596343994140625,"NGC4189,NGC4254,NGC4294,NGC4321,NGC4351,NGC4383,NGC4535"
4,7.5,8,-0.3633999824523926,-0.029560327529907227,0.41576719284057617,0.3895835876464844,"NGC4189,NGC4254,NGC4294,NGC4321,NGC4351,NGC4383,NGC4535,NGC4567_8"
5,7.833333333333333,8,-0.3801536560058594,0.01318359375,0.4924185276031494,0.4362860918045044,"NGC4189,NGC4254,NGC4294,NGC4321,NGC4351,NGC4383,NGC4535,NGC4567_8"
6,8.166666666666666,8,-0.35702669620513916,0.06475663185119629,0.5506905317306519,0.4538586139678955,"NGC4189,NGC4254,NGC4294,NGC4321,NGC4351,NGC4383,NGC4535,NGC4567_8"
7,8.5,8,-0.41300201416015625,0.055136680603027344,0.5342084169387817,0.473605215549469,"NGC4189,NGC4254,NGC4294,NGC4321,NGC4351,NGC4383,NGC4535,NGC4567_8"
8,8.833333333333332,7,-0.5730445384979248,0.012378096580505371,0.6410897002290272,0.607067119363476,"NGC4189,NGC4254,NGC4321,NGC4351,NGC4383,NGC4535,NGC4567_8"
9,9.166666666666666,5,-0.4058235287666321,0.10243260860443115,0.5659352540969849,0.48587939143180847,"NGC4254,NGC4321,NGC4383,NGC4535,NGC4567_8"
10,9.5,4,-0.2720843062859102,0.028833760586916092,0.4037691254318093,0.33792671585885975,"NGC4254,NGC4321,NGC4535,NGC4567_8"
11,9.833333333333332,2,,,,,"NGC4254,NGC4567_8"
