stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,7.125,O,0.451148137427551,0.28835203896029593,0.6213664059362175,5,0.0046,0.0003
pre-peak,log_sigma_star,7.125,I,0.0034710917775587556,0.0019520540529546538,0.004956215697835684,4,0.0,0.0049
pre-peak,log_sigma_star,7.125,T,0.0015659765902857198,0.0007469526847688399,0.0023616533712885,5,0.0046,0.0003
pre-peak,log_sigma_star,7.125,F_SF,0.451148137427551,0.28835203896029593,0.6213664059362175,5,0.0046,0.0003
pre-peak,log_sigma_star,7.125,F_NSF,0.38695362701339486,0.21129175985129547,0.5495691211888891,5,0.0027,0.0003
pre-peak,log_sigma_star,7.125,I_NSF,1.883094963121542e+38,1.352967163828569e+38,2.3550293780679607e+38,4,0.0,0.003
pre-peak,log_sigma_star,7.125,J_NSF,7.126556712235132e+37,3.961057077018366e+37,1.0176448927965113e+38,5,0.0027,0.0003
pre-peak,log_sigma_star,7.125,HA6562,2.6407301757748675e+38,1.5865397633059776e+38,3.6226787745641754e+38,4,0.0,0.003
pre-peak,log_sigma_star,7.125,HB4861,9.233373034035084e+37,5.547443311973133e+37,1.2666810484204584e+38,4,0.0,0.003
pre-peak,log_sigma_star,7.125,OIII5006,8.492633371168089e+37,5.579816760182288e+37,1.1340980671962114e+38,4,0.0,0.003
pre-peak,log_sigma_star,7.125,NII6583,8.657297130154473e+37,3.519996688864486e+37,1.3394990102487604e+38,4,0.0,0.003
pre-peak,log_sigma_star,7.125,SII_SUM,1.3842068231225818e+38,9.596427751665265e+37,1.796332077718732e+38,4,0.0,0.003
pre-peak,log_sigma_star,7.125,F_ND,0.16189823555905417,0.012862318840579666,0.308666571955185,5,0.0234,0.0003
pre-peak,log_sigma_star,7.375,O,0.4280052611637158,0.33054670499787764,0.5254100625791276,8,0.0,0.0
pre-peak,log_sigma_star,7.375,I,0.006498600331772211,0.004824317201599146,0.007967963311790218,7,0.0,0.0
pre-peak,log_sigma_star,7.375,T,0.002781435132198775,0.0018256521509831748,0.003744595079281017,8,0.0,0.0
pre-peak,log_sigma_star,7.375,F_SF,0.4280052611637158,0.33054670499787764,0.5254100625791276,8,0.0,0.0
pre-peak,log_sigma_star,7.375,F_NSF,0.261622886501937,0.17162737870090217,0.35152242101354675,8,0.0,0.0
pre-peak,log_sigma_star,7.375,I_NSF,2.388569563485708e+38,2.104606989598147e+38,2.6745000639234393e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,J_NSF,7.037111869378549e+37,4.365440387149787e+37,9.768422000045191e+37,8,0.0,0.0
pre-peak,log_sigma_star,7.375,HA6562,3.433603295719311e+38,3.037691402019295e+38,3.820553709032302e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,HB4861,1.2006707767119423e+38,1.0622196519783835e+38,1.3359789489695481e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,OIII5006,1.0060500220032245e+38,8.552252414923319e+37,1.154460740675778e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,NII6583,1.2304054602967751e+38,1.0000303848924153e+38,1.4668578814158951e+38,7,0.0,0.0
