stage,variable,center,ratio,delta,lo,hi,n_target,n_pre
close-to-peak,log_sigma_star,7.125,[O III] / Hbeta,0.08613023221014698,0.05382466051128176,0.1027396195046606,1,4
close-to-peak,log_sigma_star,7.375,[O III] / Hbeta,0.07131772609073077,-0.024293157061689774,0.15844162958655517,4,7
close-to-peak,log_sigma_star,7.625,[O III] / Hbeta,0.022508470373323944,-0.048726444139315095,0.09679309725308456,5,8
close-to-peak,log_sigma_star,7.875,[O III] / Hbeta,-0.02402153820720078,-0.08929707804328785,0.04882690824804228,5,8
close-to-peak,log_sigma_star,8.125,[O III] / Hbeta,-0.07290589918549034,-0.13194640053239368,0.009664258850071095,5,8
close-to-peak,log_sigma_star,8.375,[O III] / Hbeta,-0.11730261810011136,-0.1764222336423268,-0.03537991930307727,5,8
close-to-peak,log_sigma_star,8.625,[O III] / Hbeta,-0.2831138472876173,-0.36075445305776327,-0.1454690301377468,5,6
close-to-peak,log_sigma_star,8.875,[O III] / Hbeta,-0.4411915444430144,-0.529725719171278,-0.15205612760804005,4,6
close-to-peak,log_sigma_star,9.125,[O III] / Hbeta,-0.49486695899066957,-0.5966643646622671,-0.06471196739324546,4,6
close-to-peak,log_sigma_star,9.375,[O III] / Hbeta,0.37322619309617755,0.27821379111638433,0.925443287915698,1,6
post-peak,log_sigma_star,7.125,[O III] / Hbeta,,,,0,4
post-peak,log_sigma_star,7.375,[O III] / Hbeta,0.597708766079956,0.19921047510332102,0.6817394371543557,2,7
post-peak,log_sigma_star,7.625,[O III] / Hbeta,0.23384502911822777,-0.0051143012228859665,0.40913955116379414,8,8
post-peak,log_sigma_star,7.875,[O III] / Hbeta,0.09390710851414537,0.032382904015937866,0.17174859029946846,12,8
post-peak,log_sigma_star,8.125,[O III] / Hbeta,0.09130411235976892,0.034346675659294036,0.16646676164489574,13,8
post-peak,log_sigma_star,8.375,[O III] / Hbeta,0.007825530339351044,-0.04297525097949119,0.08172375912410587,13,8
post-peak,log_sigma_star,8.625,[O III] / Hbeta,-0.07651197805199236,-0.13325987205464743,0.03413072182385008,13,6
post-peak,log_sigma_star,8.875,[O III] / Hbeta,-0.15046019698100876,-0.25621783993972685,0.1376840719247437,12,6
post-peak,log_sigma_star,9.125,[O III] / Hbeta,-0.20006798448233262,-0.3710721686922042,0.32869393732789914,10,6
post-peak,log_sigma_star,9.375,[O III] / Hbeta,0.29929308692460593,0.1929014598998228,0.8558664969747898,9,6
close-to-peak,log_sigma_star,7.125,[N II] / Halpha,0.06009520173762839,0.0060541862998420015,0.2200733324541133,1,4
close-to-peak,log_sigma_star,7.375,[N II] / Halpha,0.1530360764516584,0.08343581418772829,0.2199471136691494,4,7
close-to-peak,log_sigma_star,7.625,[N II] / Halpha,0.10708436480579309,0.05094324010015242,0.17771464761577077,5,8
close-to-peak,log_sigma_star,7.875,[N II] / Halpha,0.11879239223926463,0.05620599197667304,0.18379969582853475,5,8
close-to-peak,log_sigma_star,8.125,[N II] / Halpha,0.12846329435776904,0.05206769573023508,0.19888347526299185,5,8
close-to-peak,log_sigma_star,8.375,[N II] / Halpha,0.14703479614577297,0.034327903206045396,0.2290541714926948,5,8
close-to-peak,log_sigma_star,8.625,[N II] / Halpha,0.06837351680831133,-0.16829508100560786,0.18290181939651742,5,6
close-to-peak,log_sigma_star,8.875,[N II] / Halpha,0.09996549566474894,-0.14805782423693217,0.22695664520924508,4,6
close-to-peak,log_sigma_star,9.125,[N II] / Halpha,0.08126498505709695,-0.08639655796697128,0.1855984496499553,4,6
close-to-peak,log_sigma_star,9.375,[N II] / Halpha,0.6730508204463713,0.5085954487983884,0.7431956903245762,1,6
post-peak,log_sigma_star,7.125,[N II] / Halpha,,,,0,4
post-peak,log_sigma_star,7.375,[N II] / Halpha,0.42547999517324026,0.34942297568064473,0.475915098868704,2,7
post-peak,log_sigma_star,7.625,[N II] / Halpha,0.24322806505371924,0.17300882110201116,0.32488403442118285,8,8
post-peak,log_sigma_star,7.875,[N II] / Halpha,0.25219780227865407,0.18976861872557435,0.3235400669161797,12,8
post-peak,log_sigma_star,8.125,[N II] / Halpha,0.2373410871346958,0.16128250217283124,0.3082352066251991,13,8
post-peak,log_sigma_star,8.375,[N II] / Halpha,0.21053343940258148,0.10064854446579148,0.2926322706782292,13,8
post-peak,log_sigma_star,8.625,[N II] / Halpha,0.18127364886372935,-0.05303596641641377,0.2883957090245693,13,6
post-peak,log_sigma_star,8.875,[N II] / Halpha,0.24731137226030758,0.0016312816437465537,0.38721612697118474,12,6
post-peak,log_sigma_star,9.125,[N II] / Halpha,0.22737620830347488,0.054144819365846544,0.5472786862325765,10,6
post-peak,log_sigma_star,9.375,[N II] / Halpha,0.6565135084704055,0.4883043164949726,0.7278398860266526,9,6
close-to-peak,log_sigma_star,7.125,[S II] / Halpha,0.07998412401870425,0.022472285248611,0.10461010775807011,1,4
close-to-peak,log_sigma_star,7.375,[S II] / Halpha,0.04671662353592765,0.013014866425712058,0.07683847986013914,4,7
close-to-peak,log_sigma_star,7.625,[S II] / Halpha,0.06592267092326454,0.025698437443189736,0.12501128053971086,5,8
close-to-peak,log_sigma_star,7.875,[S II] / Halpha,0.05747495430886479,0.02551535582007432,0.09901119364689948,5,8
close-to-peak,log_sigma_star,8.125,[S II] / Halpha,0.0522423757209024,0.014272524063901813,0.094891802087337,5,8
close-to-peak,log_sigma_star,8.375,[S II] / Halpha,0.046112761236484834,0.002022473669766783,0.08756565566989594,5,8
close-to-peak,log_sigma_star,8.625,[S II] / Halpha,0.009574242908702457,-0.03909093979656745,0.05828879771368577,5,6
close-to-peak,log_sigma_star,8.875,[S II] / Halpha,-0.002179768401528115,-0.06591186633094054,0.15787591464833692,4,6
close-to-peak,log_sigma_star,9.125,[S II] / Halpha,0.04860822902714734,-0.009733847244301617,0.16147908667459057,4,6
close-to-peak,log_sigma_star,9.375,[S II] / Halpha,0.47047967395799783,0.42060729505574557,0.49150143244096967,1,6
post-peak,log_sigma_star,7.125,[S II] / Halpha,,,,0,4
post-peak,log_sigma_star,7.375,[S II] / Halpha,0.022031420611306474,-0.010492783855809762,0.0996953348809157,2,7
post-peak,log_sigma_star,7.625,[S II] / Halpha,0.005788765937546347,-0.027838714246487366,0.0378425181268247,8,8
post-peak,log_sigma_star,7.875,[S II] / Halpha,0.04047138078270324,0.0076682492385418775,0.07495840388178408,12,8
post-peak,log_sigma_star,8.125,[S II] / Halpha,0.028593866691925485,-0.012306721818072219,0.06912648847877051,13,8
post-peak,log_sigma_star,8.375,[S II] / Halpha,-0.0014104199158374575,-0.04843091666859692,0.043090361801230014,13,8
post-peak,log_sigma_star,8.625,[S II] / Halpha,0.04328070821519897,0.0024822343184877182,0.0736314879799724,13,6
post-peak,log_sigma_star,8.875,[S II] / Halpha,0.11192049902883733,0.0448376202823934,0.2181946637671561,12,6
post-peak,log_sigma_star,9.125,[S II] / Halpha,0.14205934889255373,0.060786229163353765,0.42087971314858436,10,6
post-peak,log_sigma_star,9.375,[S II] / Halpha,0.577722188310977,0.5258018735194645,0.606533496425051,9,6
close-to-peak,radius_re,0.125,[O III] / Hbeta,-0.2752848776653923,-0.5036376568259189,0.14652043184807723,5,8
close-to-peak,radius_re,0.375,[O III] / Hbeta,-0.05087653637886827,-0.13797456072830214,0.11601502292382236,5,8
close-to-peak,radius_re,0.625,[O III] / Hbeta,-0.0971202517937341,-0.1437520583249767,0.05555321539695228,5,8
close-to-peak,radius_re,0.875,[O III] / Hbeta,-0.050748209173130554,-0.10028238849130758,0.059739813534748124,5,8
close-to-peak,radius_re,1.125,[O III] / Hbeta,0.016178282891150073,-0.04935659163717872,0.1040137109866066,5,8
close-to-peak,radius_re,1.375,[O III] / Hbeta,0.1697437434698184,0.07637896756725211,0.2377514377740951,5,8
close-to-peak,radius_re,1.625,[O III] / Hbeta,0.05491930352879374,-0.008083647212963854,0.1555187303410164,4,6
close-to-peak,radius_re,1.875,[O III] / Hbeta,-0.0328636514339055,-0.12504232756943792,0.09658770422559115,3,4
close-to-peak,radius_re,2.125,[O III] / Hbeta,0.14091999208883135,-0.02902881051247391,0.24732990660325527,2,4
close-to-peak,radius_re,2.375,[O III] / Hbeta,0.03580329306163349,-0.05902763500731112,0.07549229960811488,1,2
post-peak,radius_re,0.125,[O III] / Hbeta,0.05330056396510521,-0.017968913952449837,0.4830856839588182,13,8
post-peak,radius_re,0.375,[O III] / Hbeta,0.10870394721336027,0.02917336037934974,0.270089329314354,13,8
post-peak,radius_re,0.625,[O III] / Hbeta,0.08413856875780423,0.022021106000808296,0.23124299688975353,13,8
post-peak,radius_re,0.875,[O III] / Hbeta,0.10513789094636489,0.05622370466821735,0.1982526970117584,13,8
post-peak,radius_re,1.125,[O III] / Hbeta,0.11208583702389636,0.05018626641896305,0.2061934412118643,12,8
post-peak,radius_re,1.375,[O III] / Hbeta,0.24269301978102517,0.08824170880875272,0.3848511072480156,8,8
post-peak,radius_re,1.625,[O III] / Hbeta,0.32842201938712573,0.11628198134718361,0.4920705799668386,5,6
post-peak,radius_re,1.875,[O III] / Hbeta,0.2112928972764803,0.04247906131724222,0.34569894289467634,4,4
post-peak,radius_re,2.125,[O III] / Hbeta,0.11618653261756949,-0.03048312423783983,0.2835775033785697,3,4
post-peak,radius_re,2.375,[O III] / Hbeta,0.2649627499282293,0.1764874099817817,0.31075769177094514,2,2
close-to-peak,radius_re,0.125,[N II] / Halpha,0.30177896531135034,0.03580099324650292,0.42177289216187686,5,8
close-to-peak,radius_re,0.375,[N II] / Halpha,0.39917167595019387,0.07900231667518427,0.4721369544629988,5,8
close-to-peak,radius_re,0.625,[N II] / Halpha,0.32102110639053516,0.03190200023534062,0.3912216068426093,5,8
close-to-peak,radius_re,0.875,[N II] / Halpha,0.21789109547996968,0.052473098445964025,0.29939981239354124,5,8
close-to-peak,radius_re,1.125,[N II] / Halpha,0.1678843349361306,0.059305035499436096,0.25149802708747954,5,8
close-to-peak,radius_re,1.375,[N II] / Halpha,0.11348111042536352,0.040424279495547354,0.20072038470443232,5,8
close-to-peak,radius_re,1.625,[N II] / Halpha,0.16722847575979705,0.08583078244689261,0.24105527436518626,4,6
close-to-peak,radius_re,1.875,[N II] / Halpha,0.0917125857024998,-0.040143372662102196,0.22176649085395184,3,4
close-to-peak,radius_re,2.125,[N II] / Halpha,0.057320657337387226,-0.07520485131542642,0.17949902768509926,2,4
close-to-peak,radius_re,2.375,[N II] / Halpha,0.207810144165537,0.16434841869262584,0.359026365648603,1,2
post-peak,radius_re,0.125,[N II] / Halpha,0.6001829734899543,0.35393016212983414,0.6691864863963468,13,8
post-peak,radius_re,0.375,[N II] / Halpha,0.5259066276569111,0.20543652467517406,0.588888787907621,13,8
post-peak,radius_re,0.625,[N II] / Halpha,0.4281334396286808,0.14342957671641046,0.5034654181225483,13,8
post-peak,radius_re,0.875,[N II] / Halpha,0.32422799971440686,0.1630342771041933,0.4099044670147589,13,8
post-peak,radius_re,1.125,[N II] / Halpha,0.2583078026090426,0.15831497404812608,0.3521337707849645,12,8
post-peak,radius_re,1.375,[N II] / Halpha,0.2712804920848343,0.20150484266010948,0.34545932160608317,8,8
post-peak,radius_re,1.625,[N II] / Halpha,0.31597937286524636,0.2370088173714487,0.3955203812391361,5,6
post-peak,radius_re,1.875,[N II] / Halpha,0.34991991408902934,0.2469350617398618,0.4674313142577759,4,4
post-peak,radius_re,2.125,[N II] / Halpha,0.28922421314284175,0.22421481078111413,0.43426060170341796,3,4
post-peak,radius_re,2.375,[N II] / Halpha,0.4381580272945485,0.38598144245769106,0.5893742487776095,2,2
close-to-peak,radius_re,0.125,[S II] / Halpha,0.2597506078275003,0.15661307943611008,0.33870876832045127,5,8
close-to-peak,radius_re,0.375,[S II] / Halpha,0.26546026477665086,0.17893287475667363,0.29922159392746833,5,8
close-to-peak,radius_re,0.625,[S II] / Halpha,0.12826014431811533,0.026965283872785347,0.2024885354386285,5,8
close-to-peak,radius_re,0.875,[S II] / Halpha,0.048581618863179576,-0.007566512387629412,0.13743873557974523,5,8
close-to-peak,radius_re,1.125,[S II] / Halpha,0.06521671275065627,0.017057806566512856,0.13725666883928908,5,8
close-to-peak,radius_re,1.375,[S II] / Halpha,0.07653521164511101,0.035697921167657964,0.1465353641035807,5,8
close-to-peak,radius_re,1.625,[S II] / Halpha,0.07306491833568085,0.023913887004461287,0.13000869006243845,4,6
close-to-peak,radius_re,1.875,[S II] / Halpha,0.028641604371970553,-0.005615415164122339,0.08245361022787279,3,4
close-to-peak,radius_re,2.125,[S II] / Halpha,0.08456343469007305,0.031954260331851,0.11336789065749286,2,4
close-to-peak,radius_re,2.375,[S II] / Halpha,0.0022468194597623503,-0.08772455873881313,0.039592700376140044,1,2
post-peak,radius_re,0.125,[S II] / Halpha,0.4783200341300988,0.3754632600965209,0.5642453238708185,13,8
post-peak,radius_re,0.375,[S II] / Halpha,0.29782958831578443,0.1906481996007949,0.3283833353883716,13,8
post-peak,radius_re,0.625,[S II] / Halpha,0.18424000268061258,0.07610281066750077,0.2192136743593167,13,8
post-peak,radius_re,0.875,[S II] / Halpha,0.08587622470942985,0.04288121320463034,0.11044364201088683,13,8
post-peak,radius_re,1.125,[S II] / Halpha,0.03903908466531736,-0.004964880198712362,0.081945601933526,12,8
post-peak,radius_re,1.375,[S II] / Halpha,0.0900062735890736,0.05430519730598093,0.12032178085086996,8,8
post-peak,radius_re,1.625,[S II] / Halpha,0.059184797347981266,-0.006552611765779659,0.09552294614801668,5,6
post-peak,radius_re,1.875,[S II] / Halpha,0.04153293980614148,-0.03801597034733277,0.09526283471774377,4,4
post-peak,radius_re,2.125,[S II] / Halpha,0.013306778933472097,-0.13531267919086076,0.1822351461623697,3,4
post-peak,radius_re,2.375,[S II] / Halpha,0.2157620659822106,0.12623325985478573,0.25310794689858795,2,2
