stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,log_sigma_star,7.125,O,-0.6263783306497981,-1.107442046073097,-0.3414401368494826,5,5,0.9834
close-to-peak,log_sigma_star,7.125,I,-0.06939882681086251,-0.22609123201305126,0.18257892807639042,3,4,0.9834
close-to-peak,log_sigma_star,7.125,T,-0.6957771574606606,-1.1627500462233553,-0.3299494348244219,5,5,0.9834
close-to-peak,log_sigma_star,7.125,F_SF,-0.6263783306497981,-1.107442046073097,-0.3414401368494826,5,5,0.9834
close-to-peak,log_sigma_star,7.125,F_NSF,-0.6276911720867387,-0.8818779222183164,-0.3403379851647321,5,5,0.9967
close-to-peak,log_sigma_star,7.125,I_NSF,-0.30156790996062455,-0.4439390185804797,-0.13939350625150693,4,4,0.9967
close-to-peak,log_sigma_star,7.125,J_NSF,-0.9695370324537649,-1.2340558050735444,-0.6845264741648182,5,5,0.9967
close-to-peak,log_sigma_star,7.125,HA6562,-0.252946797508919,-0.39025259587611316,-0.03167373058392542,1,4,0.6779
close-to-peak,log_sigma_star,7.125,HB4861,-0.2525986676085381,-0.3899055587809883,-0.031331158898169065,1,4,0.6779
close-to-peak,log_sigma_star,7.125,OIII5006,-0.16646843539838585,-0.2920766697857218,0.015954003456521093,1,4,0.6779
close-to-peak,log_sigma_star,7.125,NII6583,-0.19285159577128752,-0.38241166946944105,0.19504345141334056,1,4,0.6779
close-to-peak,log_sigma_star,7.125,SII_SUM,-0.17296267349021122,-0.2861483131373319,-0.013871285819369916,1,4,0.6779
close-to-peak,log_sigma_star,7.125,F_ND,0.6950192138221012,0.4158969225932626,1.752039042498875,5,5,0.9763
close-to-peak,log_sigma_star,7.375,O,-0.4055311135153725,-0.699829394728734,-0.19524796440495207,5,8,0.9882
close-to-peak,log_sigma_star,7.375,I,-0.17744002333527398,-0.27227851848152973,-0.05258552744188005,3,7,0.9882
close-to-peak,log_sigma_star,7.375,T,-0.5829711368506465,-0.8997652383953914,-0.32702063911422474,5,8,0.9882
close-to-peak,log_sigma_star,7.375,F_SF,-0.4055311135153725,-0.699829394728734,-0.19524796440495207,5,8,0.9882
close-to-peak,log_sigma_star,7.375,F_NSF,-0.42647377425619115,-0.660233739910875,-0.2008554351455219,5,8,0.9997
close-to-peak,log_sigma_star,7.375,I_NSF,-0.2753241881620667,-0.36249682775805353,-0.19118808230123965,4,7,0.9997
close-to-peak,log_sigma_star,7.375,J_NSF,-0.7380976694905499,-1.026070383726416,-0.47179799553062596,5,8,0.9997
