GALID,stage,N_delta,N_z,P16,M,P84,W,f_enh,f_sup,f_strong_enh,f_strong_sup,F_tail,A_tail,S_asym,eligible_primary
IC3392,post-peak,13897,13897,-0.4064701795578003,-0.11516046524047852,0.24824190139770508,0.3273560404777527,0.054616104195150034,0.10908829243721667,0.0005037058357918975,0.0,0.1637043966323667,-0.054472188242066635,0.11011352076419265,True
NGC4064,post-peak,3273,3273,-0.3981834697723389,0.1054697036743164,0.6350787830352783,0.5166311264038086,0.2071494042163153,0.11274060494958753,0.0333027803238619,0.006721662083715246,0.3198900091659028,0.09440879926672778,0.02512034659524066,True
NGC4189,pre-peak,96364,96364,-0.3527252674102783,0.002397298812866211,0.44347190856933594,0.39809858798980713,0.18235025528205553,0.10274583869494833,0.03721306712050143,0.0,0.28509609397700386,0.07960441658710721,0.10795321325722199,True
NGC4254,pre-peak,658991,658873,-0.1858358383178711,0.2453618049621582,0.7686346769332886,0.47723525762557983,0.362645001388735,0.042771520459936894,0.13625539367981387,0.001147413841514222,0.4054165218486719,0.31987348092879814,0.09646733683216224,True
NGC4293,post-peak,471,471,-0.6773624420166016,-0.37304258346557617,0.3370628356933594,0.5072126388549805,0.08492569002123142,0.46496815286624205,0.0,0.0,0.5498938428874734,-0.38004246284501064,0.4000152298294071,True
NGC4294,pre-peak,68833,68833,-0.23261117935180664,0.09950709342956543,0.5369141101837158,0.38476264476776123,0.23565731553179434,0.06999549634622929,0.057225458718928424,0.0,0.3056528118780236,0.16566181918556505,0.13682298087477998,True
NGC4298,close-to-peak,144157,144157,-0.4639005661010742,-0.1384875774383545,0.303369402885437,0.3836349844932556,0.10236062071214024,0.17800037459159113,0.01519870696532253,0.0027608787641252245,0.2803609953037314,-0.07563975387945089,0.15176404182074651,True
NGC4321,pre-peak,454129,454110,-0.39008450508117676,-0.015256166458129883,0.4902482032775879,0.4401663541793823,0.18254167492457773,0.12267292065799036,0.04915328885071899,0.0036268745458148907,0.3052145955825681,0.05986875426658737,0.14843936828871762,True
NGC4351,pre-peak,30711,30711,-0.4950377941131592,-0.1816117763519287,0.20294368267059326,0.3489907383918762,0.07098433785939891,0.22711731952720524,0.003939956367425353,0.009019569535345641,0.29810165738660416,-0.15613298166780631,0.10190734801308877,True
NGC4380,post-peak,64097,64097,-0.7909703254699707,-0.5363998413085938,-0.1794741153717041,0.3057481050491333,0.011607407522972995,0.6097165233942307,0.001310513752593725,0.09747726102625708,0.6213239309172036,-0.5981091158712577,0.16738491602272457,True
