GALID,stage,inclination,N_Q3_mass_range,N_env,N_local,N_joint,joint_fraction_of_env,N_local_supported_bins,multiple_centres,N_env_colour_clipped,N_local_colour_clipped
IC3392,post-peak,68,13897,13897,13868,13868,0.9979132186802907,5,False,99,143
NGC4064,post-peak,70,3273,3273,3213,3213,0.9816681943171403,4,False,396,287
NGC4189,pre-peak,42,96364,96364,96357,96357,0.9999273587646839,6,False,4539,4823
NGC4254,pre-peak,39,661963,658873,658991,658873,1.0,11,False,96842,52759
NGC4293,post-peak,67,471,471,310,310,0.6581740976645435,2,False,4,11
NGC4294,pre-peak,74,68833,68833,68798,68798,0.9994915229613702,7,False,3982,2476
NGC4298,close-to-peak,52,144157,144157,144120,144120,0.9997433353912748,7,False,4504,5808
NGC4321,pre-peak,32,454131,454110,454129,454110,1.0,9,False,33236,34168
NGC4351,pre-peak,48,30711,30711,30613,30613,0.9968089609586142,6,False,552,320
NGC4380,post-peak,61,64097,64097,61825,61825,0.9645537232631792,5,False,9723,1436
NGC4383,pre-peak,56,25212,25211,25074,25074,0.9945658641069375,9,False,1525,375
NGC4394,post-peak,32,31915,31915,31915,31915,1.0,4,False,3503,918
NGC4405,post-peak,46,13569,13569,13489,13489,0.9941042081214533,5,False,458,406
NGC4419,post-peak,74,5763,5763,5556,5556,0.9640812077043207,4,False,266,148
NGC4424,close-to-peak,61,8994,8994,8868,8868,0.9859906604402935,4,False,904,777
NGC4450,post-peak,51,17186,17186,17186,17186,1.0,6,False,2443,712
NGC4457,post-peak,37,5604,5604,5530,5530,0.9867951463240543,4,False,239,156
NGC4501,close-to-peak,65,251936,251936,251898,251898,0.9998491680426775,8,False,10659,8513
NGC4535,pre-peak,48,187113,187112,186716,186716,0.9978836205053657,8,False,17951,17938
NGC4567_8,pre-peak,70,222512,222421,222475,222421,1.0,8,True,8816,8942
NGC4569,post-peak,69,45477,45477,45320,45320,0.9965477054335159,6,False,3463,3289
NGC4580,post-peak,46,22438,22438,22429,22429,0.9995988947321508,5,False,888,364
NGC4606,post-peak,69,1752,1752,1694,1694,0.9668949771689498,4,False,81,89
NGC4654,close-to-peak,61,345036,342929,342926,342926,0.9999912518334699,9,False,21154,22056
NGC4694,close-to-peak,62,1058,1058,963,963,0.9102079395085066,4,False,30,9
NGC4698,post-peak,66,6744,6744,6690,6690,0.9919928825622776,4,False,1711,97
