sigma_bin,sigma_center,reference,galaxy_p16,galaxy_p84,Ngal,supported
0,6.166666666666666,,,,0,False
1,6.5,-2.754312515258789,-3.3472429943084716,-2.413424558639526,3,True
2,6.833333333333334,-3.065042495727539,-3.0989077377319334,-2.7127231311798097,3,True
3,7.166666666666666,-2.849043607711792,-3.0868352603912355,-2.570242109298706,7,True
4,7.5,-2.555173873901367,-2.6359792232513426,-2.4005019760131834,8,True
5,7.833333333333333,-2.212693929672241,-2.379244842529297,-2.03547966003418,8,True
6,8.166666666666666,-1.9551008343696594,-2.0838621139526365,-1.7096157741546631,8,True
7,8.5,-1.6088736653327942,-1.9524304246902466,-1.4159346580505372,8,True
8,8.833333333333332,-1.1996923685073853,-1.8707473754882813,-0.7965502667427063,7,True
9,9.166666666666666,-0.7841830849647522,-1.0539631032943726,-0.45881805300712586,5,True
10,9.5,-0.539214700460434,-0.6906167984008789,-0.456310430765152,4,True
11,9.833333333333332,-0.5000529289245605,-0.5545328855514526,-0.10709511995315554,3,True
