GALID,stage,variable,bin_left,bin_right,center,N_usable,N_SF,eligible_usable,survivor_support,f_SF,sum_Sigma_SFR_SF,mean_Sigma_SFR_SF_galaxy,mean_Sigma_SFR_all_HII_galaxy
NGC4298,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,6.75,7.0,6.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,7.0,7.25,7.125,2265,232,True,True,0.10242825607064018,0.5317897289067408,0.0022921971073566415,0.00023478575227670677
NGC4298,close-to-peak,log_sigma_star,7.25,7.5,7.375,23880,7226,True,True,0.3025963149078727,29.63578534344775,0.004101271151874862,0.0012410295369952994
NGC4298,close-to-peak,log_sigma_star,7.5,7.75,7.625,62892,30689,True,True,0.48796349297207914,164.42295016157087,0.0053577161250471135,0.002614369874730822
NGC4298,close-to-peak,log_sigma_star,7.75,8.0,7.875,72593,47274,True,True,0.6512198145826733,396.1251638312766,0.0083793451755992,0.005456795611577929
NGC4298,close-to-peak,log_sigma_star,8.0,8.25,8.125,43490,32884,True,True,0.75612784548172,458.59352645839067,0.013945795111859588,0.010544804011459892
NGC4298,close-to-peak,log_sigma_star,8.25,8.5,8.375,18714,14639,True,True,0.7822485839478466,303.2000324685573,0.020711799471859915,0.016201775807874175
NGC4298,close-to-peak,log_sigma_star,8.5,8.75,8.625,6293,4254,True,True,0.6759891943429207,99.29355562963977,0.023341221351584337,0.015778413416437275
NGC4298,close-to-peak,log_sigma_star,8.75,9.0,8.875,2184,1072,True,True,0.4908424908424908,45.537316770270635,0.042478840270774844,0.020850419766607432
NGC4298,close-to-peak,log_sigma_star,9.0,9.25,9.125,395,130,True,True,0.3291139240506329,18.314575487789988,0.1408813499060768,0.046366013893139206
NGC4298,close-to-peak,log_sigma_star,9.25,9.5,9.375,14,2,False,False,,0.1747511860197557,0.08737559300987785,
NGC4298,close-to-peak,log_sigma_star,9.5,9.75,9.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,9.75,10.0,9.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,False,False,,0.0,,
NGC4298,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,False,False,,0.0,,
NGC4298,close-to-peak,radius_re,0.0,0.25,0.125,6475,3880,True,True,0.5992277992277992,131.8652442221412,0.03398588768611887,0.02036528868295617
NGC4298,close-to-peak,radius_re,0.25,0.5,0.375,19279,15048,True,True,0.7805384096685513,258.07146859388786,0.01714988494111429,0.013386143917935986
NGC4298,close-to-peak,radius_re,0.5,0.75,0.625,32355,24736,True,True,0.7645186215422655,407.333496927554,0.01646723386673488,0.01258950693641026
