stage,variable,bin_left,bin_right,center,category,line,N_gal_support,mean_line_surface,in_fixed_reliable_range
close-to-peak,log_sigma_star,5.75,6.0,5.875,SF,HA6562,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,SF,NII6583,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,SF,HB4861,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,NSF,HA6562,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,NSF,OIII5006,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,NSF,NII6583,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,NSF,SII_SUM,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,NSF,HB4861,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,SF,HA6562,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,SF,NII6583,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,SF,HB4861,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,NSF,HA6562,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,NSF,OIII5006,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,NSF,NII6583,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,NSF,SII_SUM,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,NSF,HB4861,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,SF,HA6562,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,SF,NII6583,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,SF,HB4861,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,NSF,HA6562,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,NSF,OIII5006,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,NSF,NII6583,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,NSF,SII_SUM,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,NSF,HB4861,0,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,SF,HA6562,1,5.876881279962507e+38,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,SF,OIII5006,1,1.076820214495228e+38,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,SF,NII6583,1,1.5677372784620558e+38,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,SF,SII_SUM,1,2.667433538262227e+38,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,SF,HB4861,1,2.054853594392482e+38,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,NSF,HA6562,0,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,NSF,OIII5006,0,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,NSF,NII6583,0,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,NSF,SII_SUM,0,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,NSF,HB4861,0,,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,SF,HA6562,1,5.9764914247524334e+38,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,SF,OIII5006,1,1.4776185190675677e+38,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,SF,NII6583,1,1.5454655265440039e+38,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,SF,SII_SUM,1,2.2534617260942986e+38,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,SF,HB4861,1,2.0896823163470023e+38,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,NSF,HA6562,1,1.9444518128716515e+38,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,NSF,OIII5006,1,7.804724359840985e+37,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,NSF,NII6583,1,7.232195465395168e+37,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,NSF,SII_SUM,1,1.1808017249032073e+38,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,NSF,HB4861,1,6.7987825624882845e+37,False
close-to-peak,log_sigma_star,7.0,7.25,7.125,SF,HA6562,3,1.3072144529221378e+39,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,SF,OIII5006,3,1.7151329313503878e+38,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,SF,NII6583,3,4.102688964068001e+38,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,SF,SII_SUM,3,4.154499249365197e+38,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,SF,HB4861,3,4.5706799053221546e+38,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,NSF,HA6562,1,1.4749497706050257e+38,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,NSF,OIII5006,1,5.788605334558662e+37,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,NSF,NII6583,1,5.553039050685211e+37,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,NSF,SII_SUM,1,9.29476282158803e+37,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,NSF,HB4861,1,5.161331029511142e+37,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,SF,HA6562,3,1.2647790502263624e+39,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,SF,OIII5006,3,1.6756401627653222e+38,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,SF,NII6583,3,3.8313395267077326e+38,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,SF,SII_SUM,3,3.7462533411141186e+38,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,SF,HB4861,3,4.422304371420842e+38,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,NSF,HA6562,4,1.7583755106418528e+38,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,NSF,OIII5006,4,6.071845911087216e+37,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,NSF,NII6583,4,8.962843962092126e+37,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,NSF,SII_SUM,4,1.027964086280757e+38,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,NSF,HB4861,4,6.149040890915153e+37,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,SF,HA6562,4,1.407825593892963e+39,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,SF,OIII5006,4,1.619192041291712e+38,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,SF,NII6583,4,4.352460222127351e+38,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,SF,SII_SUM,4,4.248234763487933e+38,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,SF,HB4861,4,4.9224671115138494e+38,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,NSF,HA6562,5,2.6123631562970947e+38,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,NSF,OIII5006,5,8.728904518820842e+37,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,NSF,NII6583,5,1.313203621999558e+38,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,NSF,SII_SUM,5,1.5020077004743694e+38,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,NSF,HB4861,5,9.168587577059065e+37,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,SF,HA6562,4,2.2522771418230634e+39,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,SF,OIII5006,4,2.3643909640062783e+38,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,SF,NII6583,4,6.984805593102342e+38,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,SF,SII_SUM,4,6.50111173210471e+38,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,SF,HB4861,4,7.875094901479235e+38,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,NSF,HA6562,5,3.2124852947540417e+38,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,NSF,OIII5006,5,9.006069689169778e+37,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,NSF,NII6583,5,1.6910005638064321e+38,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,NSF,SII_SUM,5,1.8067340191994534e+38,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,NSF,HB4861,5,1.1259768048754968e+38,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,SF,HA6562,5,3.01741318062995e+39,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,SF,OIII5006,5,2.9279982992072915e+38,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,SF,NII6583,5,9.467028504569657e+38,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,SF,SII_SUM,5,8.485063715334416e+38,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,SF,HB4861,5,1.0550398902030173e+39,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,NSF,HA6562,5,4.720466260335703e+38,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,NSF,OIII5006,5,1.1348210435947517e+38,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,NSF,NII6583,5,2.523453342578738e+38,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,NSF,SII_SUM,5,2.533591417469533e+38,True
close-to-peak,log_sigma_star,8.0,8.25,8.125,NSF,HB4861,5,1.6534493996622288e+38,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,SF,HA6562,5,5.798329105413897e+39,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,SF,OIII5006,5,5.2858435335273584e+38,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,SF,NII6583,5,1.8159950321591124e+39,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,SF,SII_SUM,5,1.5251055269578567e+39,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,SF,HB4861,5,2.0273953533883574e+39,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,NSF,HA6562,5,8.396688704509503e+38,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,NSF,OIII5006,5,1.94802527588708e+38,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,NSF,NII6583,5,4.458260589037421e+38,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,NSF,SII_SUM,5,4.17754457095272e+38,True
close-to-peak,log_sigma_star,8.25,8.5,8.375,NSF,HB4861,5,2.940356543361121e+38,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,SF,HA6562,5,9.892378077292832e+39,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,SF,OIII5006,5,8.67081808646253e+38,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,SF,NII6583,5,3.135794681316722e+39,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,SF,SII_SUM,5,2.549841813217415e+39,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,SF,HB4861,5,3.4588734535988886e+39,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,NSF,HA6562,5,2.0774799980076462e+39,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,NSF,OIII5006,5,3.39915258120489e+38,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,NSF,NII6583,5,9.071701132232553e+38,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,NSF,SII_SUM,5,8.013007299642155e+38,True
close-to-peak,log_sigma_star,8.5,8.75,8.625,NSF,HB4861,5,7.266293742593623e+38,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,SF,HA6562,5,1.915521549159116e+40,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,SF,OIII5006,5,1.5803397691929436e+39,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,SF,NII6583,5,5.900023621234535e+39,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,SF,SII_SUM,5,4.865524082039982e+39,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,SF,HB4861,5,6.697627794262634e+39,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,NSF,HA6562,4,7.497118004210505e+39,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,NSF,OIII5006,4,8.26188192933519e+38,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,NSF,NII6583,4,2.771119698379118e+39,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,NSF,SII_SUM,4,2.141672763121821e+39,True
close-to-peak,log_sigma_star,8.75,9.0,8.875,NSF,HB4861,4,2.6215303403579984e+39,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,SF,HA6562,4,3.5931446227473866e+40,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,SF,OIII5006,4,2.4786740714870232e+39,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,SF,NII6583,4,1.0400608109800668e+40,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,SF,SII_SUM,4,8.349535276801391e+39,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,SF,HB4861,4,1.256344273687896e+40,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,NSF,HA6562,4,2.0805794451031364e+40,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,NSF,OIII5006,4,1.8806825733991553e+39,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,NSF,NII6583,4,6.839314816611257e+39,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,NSF,SII_SUM,4,5.3062533513950083e+39,True
close-to-peak,log_sigma_star,9.0,9.25,9.125,NSF,HB4861,4,7.274842698662261e+39,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,SF,HA6562,1,1.9150389690311207e+40,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,SF,OIII5006,1,2.5819265632034726e+39,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,SF,NII6583,1,7.227970883797642e+39,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,SF,SII_SUM,1,2.9823986643403225e+39,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,SF,HB4861,1,6.695940451157756e+39,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,NSF,HA6562,1,1.4270298306386756e+39,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,NSF,OIII5006,1,1.0564256151686299e+39,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,NSF,NII6583,1,1.7512270813614315e+39,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,NSF,SII_SUM,1,8.026136643553472e+38,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,NSF,HB4861,1,4.996984522597682e+38,True
close-to-peak,log_sigma_star,9.5,9.75,9.625,SF,HA6562,0,,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,SF,NII6583,0,,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,SF,HB4861,0,,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,NSF,HA6562,1,2.285798777433889e+39,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,NSF,OIII5006,1,1.975004414201084e+39,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,NSF,NII6583,1,3.249732250685001e+39,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,NSF,SII_SUM,1,1.495361050161268e+39,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,NSF,HB4861,1,7.996234758116843e+38,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,SF,HA6562,0,,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,SF,NII6583,0,,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,SF,HB4861,0,,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,NSF,HA6562,1,3.819409055960431e+39,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,NSF,OIII5006,1,3.397475501278883e+39,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,NSF,NII6583,1,6.979393908041288e+39,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,NSF,SII_SUM,1,3.3511067631590055e+39,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,NSF,HB4861,1,1.3355142178499936e+39,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,SF,HA6562,0,,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,SF,NII6583,0,,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,SF,HB4861,0,,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,NSF,HA6562,1,8.110123055122874e+39,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,NSF,OIII5006,1,8.186011810326156e+39,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,NSF,NII6583,1,1.6093229065578468e+40,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,NSF,SII_SUM,1,7.955257824967216e+39,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,NSF,HB4861,1,2.835707361931071e+39,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,SF,HA6562,0,,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,SF,NII6583,0,,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,SF,SII_SUM,0,,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,SF,HB4861,0,,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,NSF,HA6562,1,1.5543417817993577e+40,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,NSF,OIII5006,1,2.4555219213938574e+40,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,NSF,NII6583,1,3.047510613591052e+40,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,NSF,SII_SUM,1,1.3902273215929225e+40,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,NSF,HB4861,1,5.434761474822922e+39,False
close-to-peak,log_sigma_star,10.5,10.75,10.625,SF,HA6562,0,,False
close-to-peak,log_sigma_star,10.5,10.75,10.625,SF,OIII5006,0,,False
close-to-peak,log_sigma_star,10.5,10.75,10.625,SF,NII6583,0,,False
