stage,variable,bin_left,bin_right,center,category,N_gal_usable,j_mean,in_fixed_reliable_range
close-to-peak,log_sigma_star,5.75,6.0,5.875,SF,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,NSF,0,,False
close-to-peak,log_sigma_star,5.75,6.0,5.875,ND,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,SF,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,NSF,0,,False
close-to-peak,log_sigma_star,6.0,6.25,6.125,ND,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,SF,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,NSF,0,,False
close-to-peak,log_sigma_star,6.25,6.5,6.375,ND,0,,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,SF,1,2.183649506255709e+38,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,NSF,1,0.0,False
close-to-peak,log_sigma_star,6.5,6.75,6.625,ND,1,7.363950935418442e+36,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,SF,1,2.5949249111203393e+38,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,NSF,1,1.6351507402910274e+37,False
close-to-peak,log_sigma_star,6.75,7.0,6.875,ND,1,8.439558850921207e+36,False
close-to-peak,log_sigma_star,7.0,7.25,7.125,SF,5,6.330915132106489e+37,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,NSF,5,7.644387841939279e+36,True
close-to-peak,log_sigma_star,7.0,7.25,7.125,ND,5,1.2422689813031518e+37,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,SF,5,1.4579954971111353e+38,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,NSF,5,1.2861652917284798e+37,True
close-to-peak,log_sigma_star,7.25,7.5,7.375,ND,5,1.2582455799688197e+37,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,SF,5,3.5622247267943105e+38,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,NSF,5,2.8391536436527056e+37,True
close-to-peak,log_sigma_star,7.5,7.75,7.625,ND,5,1.1562670138125512e+37,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,SF,5,8.509195419254446e+38,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,NSF,5,6.169505423444022e+37,True
close-to-peak,log_sigma_star,7.75,8.0,7.875,ND,5,9.524260204010759e+36,True
