Data for cavity 00096
Generation time: 20-Oct-2010, 08:40:14.001 UTC
Flight maneuver: day2para09
Measured gravity: 0.036±0.005g
High-speed camera settings: 1e5 fps, 370ns shutter

time radius
0.0099 1.0006
0.0282 1.0003
0.0465 0.9997
0.0645 0.9987
0.0829 0.9973
0.1012 0.9956
0.1195 0.9933
0.1378 0.9907
0.1558 0.9877
0.1742 0.9844
0.1925 0.9808
0.2108 0.9769
0.2291 0.9726
0.2471 0.9683
0.2654 0.9635
0.2838 0.9584
0.3021 0.9528
0.3201 0.9468
0.3384 0.9404
0.3567 0.9335
0.3751 0.9262
0.3934 0.9182
0.4114 0.91
0.4297 0.9011
0.448 0.8917
0.4664 0.8817
0.4847 0.8712
0.5027 0.8605
0.521 0.8491
0.5393 0.8369
0.5576 0.8244
0.576 0.8109
0.594 0.7969
0.6123 0.7819
0.6306 0.7656
0.6489 0.7486
0.6669 0.7305
0.6853 0.7111
0.7036 0.69
0.7219 0.6676
0.7402 0.6438
0.7582 0.6185
0.7765 0.5902
0.7949 0.5594
0.8132 0.5251
0.8315 0.4862
0.8495 0.4423
0.8678 0.3882
0.8862 0.328
0.9045 0.2136
