"L" "DL" "Minus_dDL" "Plus_dDL"
"1" 2 225.895 132.369 533.062
"2" 3 936.92 450.471 1212.308
"3" 4 692.238 294.111 666.469
"4" 5 1501.705 574.432 1155.804
"5" 6 557.611 201.242 375.763
"6" 7 1152.643 381.584 670.824
"7" 8 615.846 191.997 323.446
"8" 9 697.821 214.638 349.581
"9" 10 803.658 232.846 367.945
"10" 11 869.58 240.26 371.043
"11" 12 764.074 204.951 310.576
"12" 13 599.003 158.593 235.581
"13" 14 808.139 199.37 290.751
"14" 15 1022.111 243.487 349.7
"15" 16 621.292 150.977 215.798
"16" 17 1035.378 236.167 332.095
"17" 18 674.593 156.341 216.872
"18" 19 951.642 211.554 290.997
"19" 20 659.863 144.78 197.637
"20" 21 601.924 136.05 185.258
"21" 22 605.295 131.698 177.041
"22" 23 748.519 155.938 208.7
"23" 24 850.496 175.6 233.216
"24" 25 814.268 169.433 224.306
"25" 26 823.803 164.398 215.355
"26" 27 1004.022 190.293 247.879
"27" 28 1149.889 215.09 279.078
"28" 29 979.567 183.071 236.655
"29" 30 1102.80565 274.694273 274.694273
"30" 31 764.235896 273.96774 273.96774
"31" 32 1543.85108 273.449299 273.449299
"32" 33 1077.26738 273.099875 273.099875
"33" 34 979.159409 272.915809 272.915809
"34" 35 739.911555 272.870601 272.870601
"35" 36 1122.51626 272.952096 272.952096
"36" 37 1523.72049 273.164601 273.164601
"37" 38 1285.91266 273.491129 273.491129
"38" 39 1243.83149 273.908448 273.908448
"39" 40 1715.07099 274.432309 274.432309
"40" 41 1427.08779 275.039792 275.039792
"41" 42 1391.08758 275.714328 275.714328
"42" 43 1235.15157 276.448251 276.448251
"43" 44 1399.71962 277.240421 277.240421
"44" 45 1050.22476 278.11521 278.11521
"45" 46 1148.97828 279.028999 279.028999
"46" 47 1939.3329 279.951311 279.951311
"47" 48 984.32799 280.912792 280.912792
"48" 49 1720.0661 281.925451 281.925451
"49" 50 1707.30702 282.956791 282.956791
"50" 51 1039.42852 283.993098 283.993098
"51" 52 1603.6105 285.044233 285.044233
"52" 53 1118.55429 286.14826 286.14826
"53" 54 1173.86271 287.267431 287.267431
"54" 55 1609.06096 288.393097 288.393097
"55" 56 1523.29448 289.556623 289.556623
"56" 57 1715.71938 290.769662 290.769662
"57" 58 1742.61858 292.02198 292.02198
"58" 59 1467.14325 293.295447 293.295447
"59" 60 1790.4516 294.592236 294.592236
"60" 61 1359.15415 295.952922 295.952922
"61" 62 2165.2271 297.353776 297.353776
"62" 63 1742.10583 298.829576 298.829576
"63" 64 1242.4852 300.347925 300.347925
"64" 65 1853.0615 301.918465 301.918465
"65" 66 1626.61637 303.531851 303.531851
"66" 67 1659.98919 305.191672 305.191672
"67" 68 1766.42864 306.883106 306.883106
"68" 69 2277.66406 308.612177 308.612177
"69" 70 1860.80088 310.378689 310.378689
"70" 71 1783.70715 312.174729 312.174729
"71" 72 1511.90025 314.003729 314.003729
"72" 73 2701.12709 315.856436 315.856436
"73" 74 2013.69273 317.743906 317.743906
"74" 75 1879.90931 319.649616 319.649616
