Table 1 
Main Properties of the 38 VERTICO Galaxies Analyzed in This Work


Name	H I-Class	$\mathrm{log}({M}_{\mathrm{mol}}/{M}_{\odot })$	$\mathrm{log}({M}_{\star }/{M}_{\odot })$	l _mol (kpc)	l _sstarf (kpc)	R _e,mol (kpc)	R _e,sstarf (kpc)	
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	
IC 3392	III	8.41 +or- 0.15	9.81 +or- 0.06	0.71 +or- 0.28	2.09 +or- 0.28	1.42 +or- 0.55	3.56 +or- 0.55	
NGC 4064	III	8.44 +or- 0.19	10.01 +or- 0.09	0.67 +or- 0.54	2.50 +or- 0.53	1.17 +or- 1.05	4.27 +or- 1.05	
NGC 4189	0	8.68 +or- 0.13	9.66 +or- 0.09	1.32 +or- 0.38	1.27 +or- 0.37	2.49 +or- 0.71	3.02 +or- 0.73	
NGC 4254	I	9.87 +or- 0.10	10.41 +or- 0.08	2.36 +or- 0.65	2.48 +or- 0.65	4.09 +or- 1.29	4.22 +or- 1.33	
NGC 4293	III	8.70 +or- 0.17	10.51 +or- 0.07	0.65 +or- 0.68	4.07 +or- 0.68	1.67 +or- 1.35	6.67 +or- 1.36	
NGC 4294	I	7.91 +or- 0.07	9.57 +or- 0.05	2.26 +or- 0.45	3.88 +or- 0.41	2.69 +or- 0.81	6.58 +or- 0.79	
NGC 4298	II	9.09 +or- 0.11	10.02 +or- 0.07	1.51 +or- 0.41	2.31 +or- 0.39	2.88 +or- 0.78	3.91 +or- 0.78	
NGC 4299	I	7.53 +or- 0.17	9.27 +or- 0.08	cdots	cdots	1.31 +or- 0.43	2.7 +or- 0.44	
NGC 4321	I	9.85 +or- 0.11	10.82 +or- 0.05	4.10 +or- 0.91	6.65 +or- 1.04	5.05 +or- 1.79	10.98 +or- 1.86	
NGC 4351	I	7.81 +or- 0.16	9.36 +or- 0.12	0.86 +or- 0.38	1.43 +or- 0.37	1.53 +or- 0.74	2.64 +or- 0.74	
NGC 4380	IV	8.58 +or- 0.11	10.17 +or- 0.07	2.39 +or- 0.60	3.15 +or- 0.52	3.54 +or- 1.08	5.22 +or- 1.04	
NGC 4383	0	8.42 +or- 0.14	9.58 +or- 0.07	1.13 +or- 0.37	1.74 +or- 0.36	1.34 +or- 0.71	2.12 +or- 0.71	
NGC 4394	IV	7.81 +or- 0.23	10.32 +or- 0.14	cdots	cdots	2.97 +or- 1.62	3.34 +or- 1.60	
NGC 4405	III	8.30 +or- 0.17	9.62 +or- 0.11	0.51 +or- 0.29	1.03 +or- 0.28	0.94 +or- 0.56	1.98 +or- 0.56	
NGC 4419	III	9.01 +or- 0.15	10.23 +or- 0.08	0.86 +or- 0.41	2.18 +or- 0.43	1.39 +or- 0.79	3.69 +or- 0.83	
NGC 4424	II	8.36 +or- 0.15	9.93 +or- 0.06	0.98 +or- 0.45	2.97 +or- 0.45	1.42 +or- 0.88	4.97 +or- 0.88	
NGC 4450	IV	8.65 +or- 0.11	10.69 +or- 0.07	1.79 +or- 0.64	3.13 +or- 0.64	2.24 +or- 1.27	4.42 +or- 1.27	
NGC 4457	III	9.02 +or- 0.13	10.36 +or- 0.08	0.79 +or- 0.32	1.49 +or- 0.33	1.26 +or- 0.65	1.92 +or- 0.65	
NGC 4501	II	9.69 +or- 0.12	10.99 +or- 0.08	3.44 +or- 0.84	3.68 +or- 0.83	4.78 +or- 1.67	5.69 +or- 1.67	
NGC 4532	0	8.29 +or- 0.08	9.51 +or- 0.07	1.16 +or- 0.34	1.87 +or- 0.34	2.04 +or- 0.68	2.89 +or- 0.68	
NGC 4535	I	9.46 +or- 0.13	10.58 +or- 0.06	5.72 +or- 1.42	6.34 +or- 0.96	6.14 +or- 2.05	10.48 +or- 1.76	
NGC 4536	0	9.35 +or- 0.11	10.35 +or- 0.06	3.45 +or- 0.94	5.81 +or- 0.94	2.57 +or- 1.84	8.09 +or- 1.85	
NGC 4548	IV	8.96 +or- 0.15	10.68 +or- 0.06	5.82 +or- 1.98	3.76 +or- 0.68	5.77 +or- 2.28	5.62 +or- 1.31	
NGC 4561	0	7.31 +or- 0.13	9.33 +or- 0.07	cdots	cdots	1.57 +or- 1.91	1.58 +or- 0.37	
NGC 4567	0	8.74 +or- 0.12	10.13 +or- 0.06	1.46 +or- 0.38	2.99 +or- 0.38	1.72 +or- 0.72	4.45 +or- 0.72	
NGC 4568	0	9.43 +or- 0.12	10.38 +or- 0.06	1.59 +or- 0.55	3.85 +or- 0.57	2.51 +or- 1.10	6.35 +or- 1.11	
NGC 4569	III	9.53 +or- 0.09	10.74 +or- 0.05	1.93 +or- 0.52	4.66 +or- 0.54	2.84 +or- 1.03	7.85 +or- 1.05	
NGC 4579	IV	9.31 +or- 0.14	10.89 +or- 0.07	3.12 +or- 0.94	3.33 +or- 0.74	4.43 +or- 1.55	4.46 +or- 1.43	
NGC 4580	III	8.58 +or- 0.15	9.94 +or- 0.07	0.66 +or- 0.27	1.65 +or- 0.25	1.41 +or- 0.51	2.84 +or- 0.51	
NGC 4606	III	8.20 +or- 0.14	9.85 +or- 0.06	0.64 +or- 0.39	2.96 +or- 0.44	1.15 +or- 0.78	5.06 +or- 0.79	
NGC 4651	0	8.77 +or- 0.16	10.27 +or- 0.11	1.17 +or- 0.63	2.26 +or- 0.64	2.12 +or- 1.26	2.99 +or- 1.26	
