target,selected_redshift,redshift_uncertainty,selected_velocity_km_s,reference_frame,qualifiers,comments,refcode,heliocentric_matches,total_measurements,status,query_url
NGC 4064,0.003025,0.000009,907,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Arecibo data.,2005ApJS..160..149S,24,25,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4064&search_type=Redshifts&of=xml_main
NGC 4189,0.006997,0.000011,2098,Heliocentric velocity or redshift,"From new, raw data",,2005SDSS4.C...0000:,42,43,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4189&search_type=Redshifts&of=xml_main
NGC 4192,-0.000474,0.000013,-141,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,40,41,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4192&search_type=Redshifts&of=xml_main
NGC 4216,0.000437,0.000013,131,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,37,38,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4216&search_type=Redshifts&of=xml_main
NGC 4222,0.000767,0.000002,230,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Arecibo data.,2005ApJS..160..149S,36,37,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4222&search_type=Redshifts&of=xml_main
NGC 4254,0.008026,0.000002,2406,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.,2005ApJS..160..149S,58,59,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4254&search_type=Redshifts&of=xml_main
NGC 4293,0.003072,0.000021,921,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Arecibo data.,2005ApJS..160..149S,29,30,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4293&search_type=Redshifts&of=xml_main
NGC 4294,0.001077,0.000005,323,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.,2005ApJS..160..149S,44,45,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4294&search_type=Redshifts&of=xml_main
NGC 4298,0.003740,0.000014,1121,Heliocentric velocity or redshift,"From new, raw data",,2006SDSS5.C...0000:,42,43,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4298&search_type=Redshifts&of=xml_main
NGC 4302,0.003696,0.000017,1108,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,40,41,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4302&search_type=Redshifts&of=xml_main
NGC 4321,0.005250,0.000005,1574,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.,2005ApJS..160..149S,77,78,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4321&search_type=Redshifts&of=xml_main
NGC 4330,0.005234,0.000023,1569,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,40,41,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4330&search_type=Redshifts&of=xml_main
NGC 4351,0.007755,0.000002,2325,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Arecibo data.,2005ApJS..160..149S,36,37,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4351&search_type=Redshifts&of=xml_main
NGC 4380,0.003236,0.000017,970,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,43,44,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4380&search_type=Redshifts&of=xml_main
NGC 4383,0.005704,0.000013,1710,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,38,39,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4383&search_type=Redshifts&of=xml_main
NGC 4388,0.008396,0.000013,2517,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,152,153,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4388&search_type=Redshifts&of=xml_main
NGC 4394,0.003075,0.000013,922,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,27,28,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4394&search_type=Redshifts&of=xml_main
NGC 4396,-0.000417,0.000002,-124,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Arecibo data.,2005ApJS..160..149S,33,34,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4396&search_type=Redshifts&of=xml_main
NGC 4405,0.005801,0.000019,1739,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Arecibo data.,2005ApJS..160..149S,33,34,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4405&search_type=Redshifts&of=xml_main
NGC 4402,0.000791,0.000002,237,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Arecibo data.,2005ApJS..160..149S,47,48,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4402&search_type=Redshifts&of=xml_main
NGC 4419,-0.000871,0.000017,-260,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,39,40,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4419&search_type=Redshifts&of=xml_main
NGC 4424,0.001464,0.000013,439,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,56,57,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4424&search_type=Redshifts&of=xml_main
NGC 4450,0.006525,0.000017,1956,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,40,41,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4450&search_type=Redshifts&of=xml_main
IC 3392,0.005604,0.000017,1680,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Arecibo data.,2005ApJS..160..149S,39,40,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=IC+3392&search_type=Redshifts&of=xml_main
NGC 4457,0.002942,0.000020,882,Heliocentric velocity or redshift,Homogenized from new and previously published data,,1991RC3.9.C...0000d,43,44,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4457&search_type=Redshifts&of=xml_main
NGC 4501,0.007619,0.000005,2284,Heliocentric velocity or redshift,From reprocessed raw data,'Quality' Good.  Green Bank 42-m data.,2005ApJS..160..149S,59,60,ok,https://ned.ipac.caltech.edu/cgi-bin/datasearch?objname=NGC+4501&search_type=Redshifts&of=xml_main
