GALID,stage,delta_outer_minus_inner_SF,delta_outer_minus_inner_ND,delta_outer_minus_inner_NSF
IC3392,post-peak,-0.5295104468506939,0.7251950123173911,-0.1956845654666972
NGC4064,post-peak,-0.03802321123619001,0.39226706754189566,-0.3542438563057056
NGC4189,pre-peak,0.2219387299821023,0.01794366448259089,-0.23988239446469317
NGC4254,pre-peak,-0.04191375324999358,0.01680048503255271,0.025113268217440837
NGC4293,post-peak,-0.0025671492107787563,0.2466261595159649,-0.2440590103051862
NGC4294,pre-peak,-0.15554823499842108,0.02161224567311953,0.13393598932530149
NGC4298,close-to-peak,-0.2105951662759621,0.3570492287349389,-0.14645406245897674
NGC4321,pre-peak,0.20085650646937436,-0.02886815766938912,-0.1719883487999853
NGC4351,pre-peak,-0.42989579789123145,0.6352033407094034,-0.205307542818172
NGC4380,post-peak,-0.06740030196630345,0.36335051791118983,-0.2959502159448863
NGC4383,pre-peak,-0.256554386682604,0.0,0.25655438668260394
NGC4394,post-peak,0.1490878688965729,0.010862566385489436,-0.15995043528206226
NGC4405,post-peak,-0.7108677830703076,0.8402947154053453,-0.12942693233503771
NGC4419,post-peak,-0.017358616016377587,0.1000457060442665,-0.08268709002788888
NGC4424,close-to-peak,-0.19140649939347507,0.6265886102199039,-0.4351821108264289
NGC4450,post-peak,0.016640074007480393,0.4395875764941207,-0.4562276505016011
NGC4457,post-peak,0.006013043426872457,0.08552181166268333,-0.09153485508955583
NGC4501,close-to-peak,0.019411280925849872,0.1265195043885731,-0.14593078531442294
NGC4535,pre-peak,0.32270964541622227,-0.04504579821266633,-0.2776638472035559
NGC4567_8,pre-peak,-0.3443276771478132,0.37129137049769195,-0.026963693349878665
NGC4569,post-peak,-0.16917668962464466,0.6547423631484672,-0.48556567352382257
NGC4580,post-peak,-0.4743321276730757,0.7911918477335669,-0.31685972006049107
NGC4606,post-peak,-0.04595048258497692,0.2727219385618518,-0.2267714559768749
NGC4654,close-to-peak,-0.2692497920516288,0.24477064216017466,0.02447914989145411
NGC4694,close-to-peak,-0.05161243974224801,0.4915705357997414,-0.4399580960574935
NGC4698,post-peak,0.037673772344729774,0.41942127350063235,-0.45709504584536204
