GALID,stage,zone,N_valid,N_SF,N_ND,N_NSF,f_SF,f_ND,f_NSF
IC3392,post-peak,inner_0_1Re,26228,13888,5372,6968,0.5295104468506939,0.20481927710843373,0.26567027604087234
IC3392,post-peak,outer_1_2Re,30792,0,28637,2155,0.0,0.9300142894258249,0.06998571057417512
NGC4064,post-peak,inner_0_1Re,86079,3273,50015,32791,0.03802321123619001,0.5810360250467593,0.3809407637170506
NGC4064,post-peak,outer_1_2Re,42327,0,41197,1130,0.0,0.973303092588655,0.026696907411345006
NGC4189,pre-peak,inner_0_1Re,71629,41308,3169,27152,0.5766937972050427,0.044241857348280726,0.3790643454466766
NGC4189,pre-peak,outer_1_2Re,49288,39363,3065,6860,0.798632527187145,0.062185521830871615,0.13918195098198344
NGC4254,pre-peak,inner_0_1Re,142402,107346,0,35056,0.7538236822516537,0.0,0.24617631774834622
NGC4254,pre-peak,outer_1_2Re,352966,251280,5930,95756,0.7119099290016602,0.01680048503255271,0.27128958596578706
NGC4293,post-peak,inner_0_1Re,183472,471,124761,58240,0.0025671492107787563,0.6800002180169181,0.31743263277230316
NGC4293,post-peak,outer_1_2Re,70325,0,65165,5160,0.0,0.926626377532883,0.07337362246711696
NGC4294,pre-peak,inner_0_1Re,30031,21374,0,8657,0.7117312110818821,0.0,0.28826878891811797
NGC4294,pre-peak,outer_1_2Re,78983,43929,1707,33347,0.556182976083461,0.02161224567311953,0.42220477824341945
NGC4298,close-to-peak,inner_0_1Re,103187,73468,2194,27525,0.7119889133321058,0.021262368321590897,0.2667487183463033
NGC4298,close-to-peak,outer_1_2Re,129507,64934,48994,15579,0.5013937470561437,0.3783115970565298,0.12029465588732656
NGC4321,pre-peak,inner_0_1Re,692986,312273,76842,303871,0.45061949303449134,0.11088535699133893,0.4384951499741698
NGC4321,pre-peak,outer_1_2Re,96748,63029,7935,25784,0.6514759995038657,0.08201719932194981,0.26650680117418446
NGC4351,pre-peak,inner_0_1Re,44297,25091,5818,13388,0.566426620312888,0.1313407228480484,0.3022326568390636
NGC4351,pre-peak,outer_1_2Re,33985,4640,26051,3294,0.13653082242165662,0.7665440635574519,0.09692511402089157
NGC4380,post-peak,inner_0_1Re,123556,33572,45686,44298,0.2717148499465829,0.3697594612969018,0.35852568875651525
NGC4380,post-peak,outer_1_2Re,110139,22503,80744,6892,0.20431454798027945,0.7331099792080916,0.06257547281162894
NGC4383,pre-peak,inner_0_1Re,8543,4959,0,3584,0.5804752428889149,0.0,0.4195247571110851
NGC4383,pre-peak,outer_1_2Re,25321,8202,0,17119,0.32392085620631095,0.0,0.676079143793689
NGC4394,post-peak,inner_0_1Re,129440,17542,72977,38921,0.1355222496909765,0.563790173053152,0.3006875772558714
NGC4394,post-peak,outer_1_2Re,45283,12888,26022,6373,0.2846101185875494,0.5746527394386415,0.14073714197380915
NGC4405,post-peak,inner_0_1Re,18575,13299,599,4677,0.7159623149394347,0.03224764468371467,0.2517900403768506
NGC4405,post-peak,outer_1_2Re,52998,270,46243,6485,0.005094531869127137,0.8725423600890599,0.1223631080418129
NGC4419,post-peak,inner_0_1Re,12683,1599,216,10868,0.12607427264842702,0.01703067097689821,0.8568950563746748
NGC4419,post-peak,outer_1_2Re,38035,4135,4453,29447,0.10871565663204943,0.11707637702116472,0.7742079663467859
NGC4424,close-to-peak,inner_0_1Re,46989,8994,11789,26206,0.19140649939347507,0.2508885058205112,0.5577049947860138
NGC4424,close-to-peak,outer_1_2Re,94717,0,83112,11605,0.0,0.8774771160404151,0.12252288395958487
NGC4450,post-peak,inner_0_1Re,176929,4664,73373,98892,0.026360856614800286,0.4147030729840784,0.5589360704011214
NGC4450,post-peak,outer_1_2Re,291203,12522,248772,29909,0.04300093062228068,0.8542906494781991,0.10270841989952026
NGC4457,post-peak,inner_0_1Re,23831,1250,782,21799,0.0524526876757165,0.032814401409928244,0.9147329109143553
NGC4457,post-peak,outer_1_2Re,71187,4162,8424,58601,0.05846573110258896,0.11833621307261158,0.8231980558247994
NGC4501,close-to-peak,inner_0_1Re,143161,60769,2506,79886,0.4244801307618695,0.01750476735982565,0.5580151018783048
NGC4501,close-to-peak,outer_1_2Re,403432,179080,58104,166248,0.4438914116877194,0.14402427174839874,0.4120843165638819
NGC4535,pre-peak,inner_0_1Re,286123,64148,71787,150188,0.22419728578268786,0.2508955938529933,0.5249071203643189
NGC4535,pre-peak,outer_1_2Re,187904,102766,38680,46458,0.5469069311989101,0.205849795640327,0.24724327316076294
NGC4567_8,pre-peak,inner_0_1Re,232166,156659,17695,57812,0.6747714997027988,0.07621701713429184,0.2490114831629093
NGC4567_8,pre-peak,outer_1_2Re,190459,62936,85232,42291,0.3304438225549856,0.4475083876319838,0.22204778981303064
NGC4569,post-peak,inner_0_1Re,202125,37900,45226,118999,0.18750773036487323,0.2237526283240569,0.5887396413110699
NGC4569,post-peak,outer_1_2Re,412197,7556,362113,42528,0.01833104074022858,0.8784949914725241,0.10317396778724736
