GALID,stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF
NGC4298,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,6.75,7.0,6.875,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,7.0,7.25,7.125,2265,232,1621,412
NGC4298,close-to-peak,log_sigma_star,7.25,7.5,7.375,23880,7226,15828,826
NGC4298,close-to-peak,log_sigma_star,7.5,7.75,7.625,62892,30689,24472,7731
NGC4298,close-to-peak,log_sigma_star,7.75,8.0,7.875,72593,47274,8629,16690
NGC4298,close-to-peak,log_sigma_star,8.0,8.25,8.125,43490,32884,664,9942
NGC4298,close-to-peak,log_sigma_star,8.25,8.5,8.375,18714,14639,0,4075
NGC4298,close-to-peak,log_sigma_star,8.5,8.75,8.625,6293,4254,0,2039
NGC4298,close-to-peak,log_sigma_star,8.75,9.0,8.875,2184,1072,0,1112
NGC4298,close-to-peak,log_sigma_star,9.0,9.25,9.125,395,130,0,265
NGC4298,close-to-peak,log_sigma_star,9.25,9.5,9.375,14,2,0,12
NGC4298,close-to-peak,log_sigma_star,9.5,9.75,9.625,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,9.75,10.0,9.875,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
NGC4298,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
NGC4298,close-to-peak,radius_re,0.0,0.25,0.125,6475,3880,0,2595
NGC4298,close-to-peak,radius_re,0.25,0.5,0.375,19279,15048,0,4231
NGC4298,close-to-peak,radius_re,0.5,0.75,0.625,32355,24736,53,7566
NGC4298,close-to-peak,radius_re,0.75,1.0,0.875,45078,29804,2141,13133
NGC4298,close-to-peak,radius_re,1.0,1.25,1.125,55395,34260,10545,10590
NGC4298,close-to-peak,radius_re,1.25,1.5,1.375,44824,22272,18381,4171
NGC4298,close-to-peak,radius_re,1.5,1.75,1.625,20485,7606,12424,455
NGC4298,close-to-peak,radius_re,1.75,2.0,1.875,8803,796,7644,363
NGC4298,close-to-peak,radius_re,2.0,2.25,2.125,26,0,26,0
NGC4298,close-to-peak,radius_re,2.25,2.5,2.375,0,0,0,0
NGC4298,close-to-peak,radius_re,2.5,2.75,2.625,0,0,0,0
NGC4298,close-to-peak,radius_re,2.75,3.0,2.875,0,0,0,0
NGC4298,close-to-peak,radius_re,3.0,3.25,3.125,0,0,0,0
