curve_set,variable,kind,category,stage_or_transition,N_bins,pivot,value_at_pivot,slope,rmse,uniform_delta,uniform_rmse,multiplicative_scale,multiplicative_rmse
uncut_equal,radius_re,stage_profile,SF,pre-peak,10,1.0,0.46987036967237145,-0.18850892116853987,0.06096858751431595,,,,
uncut_equal,radius_re,stage_profile,SF,close-to-peak,10,1.0,0.34698867304509795,-0.23444131708339908,0.028319781006510926,,,,
uncut_equal,radius_re,stage_profile,SF,post-peak,10,1.0,0.13754507079665818,-0.1324355297373698,0.034510201923267814,,,,
uncut_equal,radius_re,stage_difference_second_minus_first,SF,close-to-peak minus pre-peak,10,1.0,-0.12288169662727336,-0.045932395914859245,0.04928107358908354,-0.13436479560598819,0.05929993340528381,0.7259849603128828,0.08060440476258371
uncut_equal,radius_re,stage_difference_second_minus_first,SF,post-peak minus close-to-peak,10,1.0,-0.20944360224843975,0.10200578734602926,0.05121210936023356,-0.1839421554119325,0.08937478066465394,0.40792394541294313,0.04953647348758992
uncut_equal,radius_re,stage_difference_second_minus_first,SF,post-peak minus pre-peak,10,1.0,-0.33232529887571316,0.05607339143116996,0.07766217776994462,-0.3183069510179207,0.08747945466469602,0.28124633250710285,0.07254050263744363
uncut_equal,radius_re,stage_profile,ND,pre-peak,10,1.0,0.21009777496229087,0.277299073000164,0.0460324995772339,,,,
uncut_equal,radius_re,stage_profile,ND,close-to-peak,10,1.0,0.308352730304178,0.4773615536040003,0.06255025847908334,,,,
uncut_equal,radius_re,stage_profile,ND,post-peak,10,1.0,0.4752526675971486,0.40083707806261487,0.07572046578737743,,,,
uncut_equal,radius_re,stage_difference_second_minus_first,ND,close-to-peak minus pre-peak,10,1.0,0.09825495534188713,0.20006248060383627,0.04837623528578293,0.14827057549284622,0.15158545041618232,1.5821043004953348,0.06598064275810846
uncut_equal,radius_re,stage_difference_second_minus_first,ND,post-peak minus close-to-peak,10,1.0,0.16689993729297048,-0.07652447554138542,0.11733641264824382,0.14776881840762418,0.12956593433095104,1.1261473665498882,0.18379357934330942
uncut_equal,radius_re,stage_difference_second_minus_first,ND,post-peak minus pre-peak,10,1.0,0.2651548926348576,0.12353800506245091,0.08920161505925153,0.2960393939004704,0.12580226779033185,1.81949866213523,0.15159282180337566
uncut_equal,radius_re,stage_profile,NSF,pre-peak,10,1.0,0.3200318553653375,-0.08879015183162396,0.04411464584259033,,,,
uncut_equal,radius_re,stage_profile,NSF,close-to-peak,10,1.0,0.3446585966507237,-0.24292023652060088,0.04620938234311816,,,,
uncut_equal,radius_re,stage_profile,NSF,post-peak,10,1.0,0.3872022616061931,-0.2684015483252449,0.05050589829137292,,,,
uncut_equal,radius_re,stage_difference_second_minus_first,NSF,close-to-peak minus pre-peak,10,1.0,0.024626741285386243,-0.15413008468897696,0.0765964227740732,-0.013905779886857983,0.13459659089989068,1.0008016208934565,0.1353127936735554
uncut_equal,radius_re,stage_difference_second_minus_first,NSF,post-peak minus close-to-peak,10,1.0,0.04254366495546927,-0.02548131180464388,0.08133322660286402,0.03617333700430832,0.08336598613839402,1.09155981874642,0.08549622874244019
