curve_set,subset,N_galaxies,f_SF,f_ND,f_NSF,max_abs_profile_change
uncut,all_pre,8,0.38802274717867297,0.31191140170735027,0.3000658511139768,
uncut,without_NGC4383,7,0.42759015195393096,0.3154052967770742,0.2570045512689948,
snr25,all_pre,8,0.49358426498162356,0.13738277570930188,0.3690329593090746,
snr25,without_NGC4383,7,0.523854424789456,0.15700888652491643,0.3191366886856275,
uncut,radial_profile_without_minus_all_SF,7,0.005804676750204146,,,0.0303726972772404
uncut,radial_profile_without_minus_all_ND,7,,0.04841999255840833,,0.14720577055746398
uncut,radial_profile_without_minus_all_NSF,7,,,-0.05422466930861245,0.16128253021604083
snr25,radial_profile_without_minus_all_SF,7,0.017575209798080124,,,0.06312256114199932
snr25,radial_profile_without_minus_all_ND,7,,0.040143636238685255,,0.10216577772391777
snr25,radial_profile_without_minus_all_NSF,7,,,-0.05771884603676538,0.15563655199830817
