GALID,stage,N_valid,N_SF,N_ND,N_NSF,f_SF,f_ND,f_NSF
IC3392,post-peak,57030,13888,34019,9123,0.24352095388392075,0.5965106084516921,0.15996843766438718
NGC4064,post-peak,128406,3273,91212,33921,0.025489463109200503,0.7103406382879305,0.26416989860286905
NGC4189,pre-peak,120917,80671,6234,34012,0.667160118097538,0.05155602603438723,0.2812838558680748
NGC4254,pre-peak,637876,466023,8495,163358,0.7305855683549781,0.01331763540249202,0.2560967962425299
NGC4293,post-peak,253797,471,189926,63400,0.0018558138985094387,0.7483382388286701,0.2498059472728204
NGC4294,pre-peak,123446,67512,4508,51426,0.5468949986228796,0.036517991672472175,0.4165870097046482
NGC4298,close-to-peak,232720,138402,51214,43104,0.5947146785837057,0.22006703334479202,0.18521828807150223
NGC4321,pre-peak,789734,375302,84777,329655,0.47522583553449643,0.10734880352118562,0.417425360944318
NGC4351,pre-peak,78282,29731,31869,16682,0.37979356684806215,0.40710508162796044,0.2131013515239774
NGC4380,post-peak,233695,56075,126430,51190,0.23994950683583302,0.5410043004771176,0.21904619268704936
NGC4383,pre-peak,51549,14521,0,37028,0.2816931463267959,0.0,0.7183068536732041
NGC4394,post-peak,174723,30430,98999,45294,0.1741613868809487,0.5666054268756833,0.25923318624336805
NGC4405,post-peak,78676,13569,53716,11391,0.1724668259698002,0.6827495042961005,0.14478366973409934
NGC4419,post-peak,133904,5763,64807,63334,0.043038296092723145,0.4839810610586689,0.47298064284860797
NGC4424,close-to-peak,144521,8994,97716,37811,0.062233170265912914,0.6761370319884308,0.26162979774565637
NGC4450,post-peak,471652,17186,325665,128801,0.03643788216736068,0.6904773010609517,0.2730848167716876
NGC4457,post-peak,251217,5604,130151,115462,0.022307407540094817,0.5180819769362742,0.45961061552363097
NGC4501,close-to-peak,650576,251607,137001,261968,0.3867449767590566,0.21058415926809473,0.4026708639728487
NGC4535,pre-peak,474027,166914,110467,196646,0.35211918308450785,0.2330394682159455,0.41484134869954664
NGC4567_8,pre-peak,427485,220241,106947,100297,0.5152017029837305,0.25017719919997194,0.23462109781629764
NGC4569,post-peak,639853,45456,432870,161527,0.07104131730256794,0.6765147619843933,0.2524439207130388
NGC4580,post-peak,98705,22425,56421,19859,0.22719213818955472,0.5716123803252114,0.20119548148523378
NGC4606,post-peak,79757,1752,69155,8850,0.021966723923918904,0.8670712288576551,0.11096204721842597
NGC4654,close-to-peak,532883,320781,94257,117845,0.6019726656695747,0.176881229087811,0.22114610524261424
NGC4694,close-to-peak,83090,1058,53895,28137,0.012733180888193526,0.6486340113130341,0.3386328077987724
NGC4698,post-peak,223744,6535,113474,103735,0.029207487128146453,0.5071599685354691,0.46363254433638446
