GALID,stage,N_valid_original,N_removed_snr_postfit_lt_25_or_nonfinite,N_valid_retained,retained_fraction
NGC4298,close-to-peak,498540,265820,232720,0.466803064949653
NGC4424,close-to-peak,172561,28040,144521,0.8375067367481644
NGC4501,close-to-peak,664236,13660,650576,0.9794350200832235
NGC4654,close-to-peak,659231,126348,532883,0.8083403238015202
NGC4694,close-to-peak,94538,11448,83090,0.8789058368063636
IC3392,post-peak,94575,37545,57030,0.6030134813639968
NGC4064,post-peak,179882,51476,128406,0.7138346249207814
NGC4293,post-peak,261523,7726,253797,0.9704576652913893
NGC4380,post-peak,502065,268370,233695,0.465467618734626
NGC4394,post-peak,180654,5931,174723,0.9671692849314159
NGC4405,post-peak,178518,99842,78676,0.4407174626648293
NGC4419,post-peak,180692,46788,133904,0.741062138888274
NGC4450,post-peak,501469,29817,471652,0.9405406914485243
NGC4457,post-peak,338082,86865,251217,0.7430652918522725
NGC4569,post-peak,659174,19321,639853,0.9706890745083999
NGC4580,post-peak,180321,81616,98705,0.5473849412991276
NGC4606,post-peak,94256,14499,79757,0.8461742488541844
NGC4698,post-peak,352547,128803,223744,0.6346501317554822
NGC4189,pre-peak,177204,56287,120917,0.6823604433308503
NGC4254,pre-peak,1043477,405601,637876,0.6112985719857745
NGC4294,pre-peak,179355,55909,123446,0.6882774385994257
NGC4321,pre-peak,970159,180425,789734,0.8140253298686092
NGC4351,pre-peak,180133,101851,78282,0.4345788944835205
NGC4383,pre-peak,227031,175482,51549,0.22705709792935766
NGC4535,pre-peak,525101,51074,474027,0.9027349024282948
NGC4567_8,pre-peak,510118,82633,427485,0.8380119893828487
