stage,variable,bin_left,bin_right,center,N_galaxies,N_valid,f_SF,f_ND,f_NSF
close-to-peak,log_sigma_star,7.0,7.25,7.125,5,86552,0.10664508336560266,0.8021606049584953,0.09119431167590208
close-to-peak,log_sigma_star,7.25,7.5,7.375,5,206230,0.16823563588149676,0.7337698060486476,0.09799455806985564
close-to-peak,log_sigma_star,7.5,7.75,7.625,5,322823,0.2575333306689192,0.5767900625928137,0.16567660673826706
close-to-peak,log_sigma_star,7.75,8.0,7.875,5,359551,0.35452590873035544,0.3743929454689855,0.271081145800659
close-to-peak,log_sigma_star,8.0,8.25,8.125,5,296157,0.4382007128787587,0.1922623997218013,0.3695368873994399
close-to-peak,log_sigma_star,8.25,8.5,8.375,5,167826,0.5425378502647471,0.08854657759642078,0.3689155721388322
close-to-peak,log_sigma_star,8.5,8.75,8.625,5,96323,0.5948445435844572,0.0268774874650544,0.3782779689504885
close-to-peak,log_sigma_star,8.75,9.0,8.875,5,55579,0.5424957419903219,0.004426319086509125,0.45307793892316894
close-to-peak,log_sigma_star,9.0,9.25,9.125,4,21244,0.3344259120575398,0.012919220610953306,0.6526548673315069
close-to-peak,radius_re,0.0,0.25,0.125,5,29687,0.5298090953708646,0.018791196514355936,0.4513997081147794
close-to-peak,radius_re,0.25,0.5,0.375,5,88933,0.4448531673058227,0.020826132485706132,0.5343207002084711
close-to-peak,radius_re,0.5,0.75,0.625,5,148427,0.4687551841198016,0.05795722562227464,0.4732875902579236
close-to-peak,radius_re,0.75,1.0,0.875,5,207553,0.39177351887927314,0.17422952167172648,0.4339969594490004
close-to-peak,radius_re,1.0,1.25,1.125,5,264050,0.36901817277274873,0.28460206961340606,0.3463797576138452
close-to-peak,radius_re,1.25,1.5,1.375,5,296484,0.30209463687896543,0.42921928874341975,0.2686860743776148
close-to-peak,radius_re,1.5,1.75,1.625,5,279961,0.2409637919394489,0.5862396204596048,0.17279658760094632
close-to-peak,radius_re,1.75,2.0,1.875,5,194038,0.17521095740772696,0.7278159934087458,0.09697304918352719
close-to-peak,radius_re,2.0,2.25,2.125,4,86603,0.12464270282225223,0.8104538124351147,0.06490348474263305
close-to-peak,radius_re,2.25,2.5,2.375,3,36430,0.01566373309951396,0.9420558050904719,0.042280461810014165
close-to-peak,log_sigma_star,9.25,9.5,9.375,1,6902,0.0076789336424224865,0.12807881773399016,0.8642422486235873
close-to-peak,log_sigma_star,9.5,9.75,9.625,1,3104,0.0,0.10631443298969072,0.8936855670103093
close-to-peak,log_sigma_star,9.75,10.0,9.875,1,1175,0.0,0.006808510638297872,0.9931914893617021
close-to-peak,log_sigma_star,10.0,10.25,10.125,1,420,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.25,10.5,10.375,1,119,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.5,10.75,10.625,1,51,0.0,0.0,1.0
close-to-peak,radius_re,2.5,2.75,2.625,2,8718,0.007372072853425846,0.9681266261925412,0.024501300954032957
close-to-peak,radius_re,2.75,3.0,2.875,2,2343,0.0,1.0,0.0
close-to-peak,log_sigma_star,6.5,6.75,6.625,1,2090,0.7918660287081339,0.20813397129186603,0.0
close-to-peak,log_sigma_star,6.75,7.0,6.875,1,17548,0.5666172783223159,0.30858217460679277,0.12480054707089126
close-to-peak,radius_re,3.0,3.25,3.125,1,537,0.0,1.0,0.0
post-peak,log_sigma_star,7.25,7.5,7.375,11,122258,0.01781270585742278,0.9147746494617188,0.06741264468085834
post-peak,log_sigma_star,7.5,7.75,7.625,13,447605,0.04486457458347485,0.8999061775297181,0.055229247886807054
post-peak,log_sigma_star,7.75,8.0,7.875,13,840619,0.0539744634558092,0.8121522740297265,0.13387326251446424
post-peak,log_sigma_star,8.0,8.25,8.125,13,659916,0.09251286287637146,0.580409461962518,0.3270776751611107
post-peak,log_sigma_star,8.25,8.5,8.375,13,389692,0.2327160202194418,0.2655662828902574,0.5017176968903008
post-peak,log_sigma_star,8.5,8.75,8.625,13,200243,0.3114482891756395,0.12517591655017196,0.5633757942741885
post-peak,log_sigma_star,8.75,9.0,8.875,13,90178,0.3056073920188369,0.08397336851873531,0.6104192394624277
post-peak,log_sigma_star,9.0,9.25,9.125,12,38872,0.23394476798681854,0.07994106610165155,0.6861141659115298
post-peak,radius_re,0.0,0.25,0.125,13,73153,0.2470915626590868,0.059041404505514025,0.6938670328353992
post-peak,radius_re,0.25,0.5,0.375,13,219645,0.24813604618622526,0.15852485838058278,0.593339095433192
post-peak,radius_re,0.5,0.75,0.625,13,365132,0.24427930115928775,0.30224771154414765,0.45347298729656454
post-peak,radius_re,0.75,1.0,0.875,13,459799,0.14575409777033962,0.4374317486954811,0.41681415353417933
post-peak,radius_re,1.0,1.25,1.125,13,497062,0.07019844247771571,0.6321709395678614,0.2976306179544229
post-peak,radius_re,1.25,1.5,1.375,13,430527,0.04562681614419771,0.7530575077667913,0.20131567608901108
post-peak,radius_re,1.5,1.75,1.625,12,284772,0.026828953283394078,0.7893782835289381,0.18379276318766782
post-peak,radius_re,1.75,2.0,1.875,10,183035,0.0163422633031721,0.8009294926034969,0.18272824409333108
post-peak,log_sigma_star,6.75,7.0,6.875,1,116,0.0,1.0,0.0
post-peak,log_sigma_star,7.0,7.25,7.125,5,9341,0.0,0.8991643759262044,0.10083562407379576
post-peak,log_sigma_star,9.25,9.5,9.375,9,16317,0.0010748123300201513,0.07913567507238188,0.9197895125975979
post-peak,log_sigma_star,9.5,9.75,9.625,8,5858,0.0,0.047692262783058686,0.9523077372169413
post-peak,log_sigma_star,9.75,10.0,9.875,7,2435,0.0,0.009481908898000125,0.9905180911019998
post-peak,log_sigma_star,10.0,10.25,10.125,6,985,0.0,0.0013774104683195593,0.9986225895316805
post-peak,log_sigma_star,10.25,10.5,10.375,4,351,0.0,0.0,1.0
post-peak,radius_re,2.0,2.25,2.125,7,98674,0.005653654000942359,0.8069748567896788,0.1873714892093788
post-peak,radius_re,2.25,2.5,2.375,5,55705,0.011995163240628779,0.8259478237189061,0.16205701304046516
post-peak,radius_re,2.5,2.75,2.625,3,45719,0.0,0.8400149829447385,0.15998501705526147
post-peak,radius_re,2.75,3.0,2.875,2,38751,0.0,0.8532833922971701,0.14671660770282985
