stage,variable,bin_left,bin_right,center,N_galaxies,N_valid,f_SF,f_ND,f_NSF
close-to-peak,log_sigma_star,6.25,6.5,6.375,2,8110,0.21074214842968594,0.6492298459691939,0.14002800560112022
close-to-peak,log_sigma_star,6.5,6.75,6.625,2,26106,0.20039187744923406,0.7880299251870324,0.011578197363733523
close-to-peak,log_sigma_star,6.75,7.0,6.875,4,100303,0.07623237676232376,0.9021897810218978,0.021577842215778423
close-to-peak,log_sigma_star,7.0,7.25,7.125,5,244318,0.0585500111834034,0.8952778280682642,0.04617216074833239
close-to-peak,log_sigma_star,7.25,7.5,7.375,5,337517,0.11938661740574955,0.8004480431985241,0.08016533939572626
close-to-peak,log_sigma_star,7.5,7.75,7.625,5,353766,0.23790321047273202,0.6035946793372309,0.1585021101900371
close-to-peak,log_sigma_star,7.75,8.0,7.875,5,365382,0.3524651240922716,0.37962622422894415,0.2679086516787842
close-to-peak,log_sigma_star,8.0,8.25,8.125,5,296783,0.43755864008548573,0.1935224261158258,0.36891893379868845
close-to-peak,log_sigma_star,8.25,8.5,8.375,5,167901,0.5424899040285125,0.08854657759642078,0.3689635183750668
close-to-peak,log_sigma_star,8.5,8.75,8.625,5,96340,0.5945875193270547,0.0268774874650544,0.378534993207891
close-to-peak,log_sigma_star,8.75,9.0,8.875,5,55579,0.5424957419903219,0.004426319086509125,0.45307793892316894
close-to-peak,log_sigma_star,9.0,9.25,9.125,4,21244,0.3344259120575398,0.012919220610953306,0.6526548673315069
close-to-peak,radius_re,0.0,0.25,0.125,5,29687,0.5298090953708646,0.018791196514355936,0.4513997081147794
close-to-peak,radius_re,0.25,0.5,0.375,5,88951,0.44489410951057956,0.020826132485706132,0.5342797580037143
close-to-peak,radius_re,0.5,0.75,0.625,5,148434,0.46876537118889006,0.057957154758032405,0.47327747405307746
close-to-peak,radius_re,0.75,1.0,0.875,5,207783,0.39168934844106196,0.17418130080991298,0.4341293507490251
close-to-peak,radius_re,1.0,1.25,1.125,5,267067,0.3673074358288658,0.286895620250189,0.34579694392094523
close-to-peak,radius_re,1.25,1.5,1.375,5,324096,0.2715991114396036,0.46421111554374656,0.26418977301665
close-to-peak,radius_re,1.5,1.75,1.625,5,365613,0.19456081925386048,0.6344358954878592,0.17100328525828037
close-to-peak,radius_re,1.75,2.0,1.875,5,319483,0.1477017159400828,0.76025639544521,0.09204188861470726
close-to-peak,radius_re,2.0,2.25,2.125,5,196641,0.051429696750768285,0.8989475411900276,0.04962276205920409
close-to-peak,radius_re,2.25,2.5,2.375,5,93512,0.016026734017905685,0.9604288345667416,0.023544431415352784
close-to-peak,radius_re,2.5,2.75,2.625,4,33908,0.0015432098765432098,0.9825027233115469,0.01595406681190995
close-to-peak,radius_re,2.75,3.0,2.875,4,7577,0.0,1.0,0.0
close-to-peak,log_sigma_star,9.25,9.5,9.375,1,6902,0.0076789336424224865,0.12807881773399016,0.8642422486235873
close-to-peak,log_sigma_star,9.5,9.75,9.625,1,3104,0.0,0.10631443298969072,0.8936855670103093
close-to-peak,log_sigma_star,9.75,10.0,9.875,1,1175,0.0,0.006808510638297872,0.9931914893617021
close-to-peak,log_sigma_star,10.0,10.25,10.125,1,420,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.25,10.5,10.375,1,119,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.5,10.75,10.625,1,51,0.0,0.0,1.0
close-to-peak,log_sigma_star,6.0,6.25,6.125,1,3890,0.0,1.0,0.0
close-to-peak,radius_re,3.0,3.25,3.125,1,4219,0.0,1.0,0.0
close-to-peak,radius_re,3.25,3.5,3.375,1,1548,0.0,1.0,0.0
close-to-peak,radius_re,3.5,3.75,3.625,1,546,0.0,1.0,0.0
post-peak,log_sigma_star,6.75,7.0,6.875,7,71152,0.0,0.9980078957126136,0.0019921042873864902
post-peak,log_sigma_star,7.0,7.25,7.125,11,221171,0.0,0.9948122043260913,0.005187795673908782
post-peak,log_sigma_star,7.25,7.5,7.375,13,377106,0.002879896830055328,0.9565712431584334,0.04054886001151134
post-peak,log_sigma_star,7.5,7.75,7.625,13,656680,0.037151528779825777,0.9153176078194808,0.047530863400693305
post-peak,log_sigma_star,7.75,8.0,7.875,13,931015,0.05236229989414924,0.8180270146661743,0.12961068543967638
post-peak,log_sigma_star,8.0,8.25,8.125,13,672477,0.09266246057499684,0.5830210092647155,0.3243165301602877
post-peak,log_sigma_star,8.25,8.5,8.375,13,390153,0.23240225035783782,0.26570250295474057,0.5018952466874216
post-peak,log_sigma_star,8.5,8.75,8.625,13,200366,0.3111543041640455,0.12541472916131544,0.563430966674639
post-peak,log_sigma_star,8.75,9.0,8.875,13,90253,0.3050391076660411,0.08492327333068478,0.6100376190032741
post-peak,log_sigma_star,9.0,9.25,9.125,12,39006,0.23363820844028318,0.08341970952241555,0.6829420820373012
post-peak,radius_re,0.0,0.25,0.125,13,73278,0.2470894027153253,0.05902906196973413,0.6938815353149406
post-peak,radius_re,0.25,0.5,0.375,13,219663,0.24813950416456845,0.1585245400774924,0.5933359557579392
post-peak,radius_re,0.5,0.75,0.625,13,365912,0.24425913272732644,0.3024428519706319,0.45329801530204167
post-peak,radius_re,0.75,1.0,0.875,13,465012,0.14584969231336092,0.43735330192867505,0.416797005757964
post-peak,radius_re,1.0,1.25,1.125,13,522194,0.07244904169378014,0.6301002296107094,0.2974507286955105
post-peak,radius_re,1.25,1.5,1.375,13,517010,0.04129626374014635,0.7566795302368349,0.20202420602301854
post-peak,radius_re,1.5,1.75,1.625,12,419955,0.026490597284729026,0.7903285339675757,0.18318086874769512
post-peak,radius_re,1.75,2.0,1.875,12,301537,0.01354056105672148,0.8377170215693671,0.14874241737391153
post-peak,radius_re,2.0,2.25,2.125,10,199458,0.003295359014419322,0.8642058672783085,0.1324987737072723
post-peak,radius_re,2.25,2.5,2.375,10,145239,0.0019523289127802226,0.9182384325186941,0.07980923856852565
