stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF,N_galaxies,f_SF,f_ND,f_NSF
close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0,0,,,
close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0,0,,,
close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0,0,,,
close-to-peak,log_sigma_star,6.5,6.75,6.625,2090,1655,435,0,1,0.7918660287081339,0.20813397129186603,0.0
close-to-peak,log_sigma_star,6.75,7.0,6.875,17548,9943,5415,2190,1,0.5666172783223159,0.30858217460679277,0.12480054707089126
close-to-peak,log_sigma_star,7.0,7.25,7.125,86552,31713,40166,14673,5,0.36640401146131807,0.4640678436084666,0.16952814493021537
close-to-peak,log_sigma_star,7.25,7.5,7.375,206230,73368,95487,37375,5,0.35575813412209667,0.46301217087717594,0.18122969500072733
close-to-peak,log_sigma_star,7.5,7.75,7.625,322823,119554,136298,66971,5,0.3703391641859471,0.42220659618428674,0.20745423962976617
close-to-peak,log_sigma_star,7.75,8.0,7.875,359551,157800,104691,97060,5,0.43888071511412846,0.2911714888847479,0.2699477960011236
close-to-peak,log_sigma_star,8.0,8.25,8.125,296157,145663,38525,111969,5,0.49184385309143464,0.13008303028461254,0.3780731166239528
close-to-peak,log_sigma_star,8.25,8.5,8.375,167826,94920,9702,63204,5,0.5655857852776089,0.05780987451288835,0.3766043402095027
close-to-peak,log_sigma_star,8.5,8.75,8.625,96323,57939,860,37524,5,0.6015074281324294,0.00892829334634511,0.38956427852122544
close-to-peak,log_sigma_star,8.75,9.0,8.875,55579,26417,245,28917,5,0.4753054211122906,0.004408139765019162,0.5202864391226902
close-to-peak,log_sigma_star,9.0,9.25,9.125,21245,1797,1037,18411,5,0.08458460814309249,0.04881148505530713,0.8666039068016004
close-to-peak,log_sigma_star,9.25,9.5,9.375,6974,73,884,6017,4,0.010467450530542013,0.12675652423286493,0.862776025236593
close-to-peak,log_sigma_star,9.5,9.75,9.625,3109,0,330,2779,2,0.0,0.10614345448697331,0.8938565455130267
close-to-peak,log_sigma_star,9.75,10.0,9.875,1176,0,8,1168,2,0.0,0.006802721088435374,0.9931972789115646
close-to-peak,log_sigma_star,10.0,10.25,10.125,420,0,0,420,1,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.25,10.5,10.375,119,0,0,119,1,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.5,10.75,10.625,51,0,0,51,1,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.75,11.0,10.875,17,0,0,17,1,,,
close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0,0,,,
close-to-peak,radius_re,0.0,0.25,0.125,29687,13882,841,14964,5,0.4676120860982922,0.028328898170916564,0.5040590157307913
close-to-peak,radius_re,0.25,0.5,0.375,88933,45293,1773,41867,5,0.5092935130941271,0.019936356583045663,0.4707701303228273
close-to-peak,radius_re,0.5,0.75,0.625,148427,96170,3152,49105,5,0.6479279376393783,0.021236028485383387,0.33083603387523836
close-to-peak,radius_re,0.75,1.0,0.875,207553,116723,15003,75827,5,0.562376838686986,0.07228515126256908,0.365338010050445
close-to-peak,radius_re,1.0,1.25,1.125,264050,139039,41305,83706,5,0.5265631509183867,0.15642870668434009,0.31700814239727326
close-to-peak,radius_re,1.25,1.5,1.375,296484,128899,78234,89351,5,0.4347587053601543,0.2638725867163152,0.30136870792353043
close-to-peak,radius_re,1.5,1.75,1.625,279961,100644,100220,79097,5,0.3594929293723054,0.35797843271027036,0.2825286379174242
close-to-peak,radius_re,1.75,2.0,1.875,194038,65825,89817,38396,5,0.3392376750945691,0.4628835588905266,0.19787876601490428
close-to-peak,radius_re,2.0,2.25,2.125,86629,12852,60972,12805,5,0.14835678583384318,0.7038289718223689,0.14781424234378787
close-to-peak,radius_re,2.25,2.5,2.375,36430,1447,31462,3521,3,0.03972001097996157,0.8636288772989295,0.09665111172110898
close-to-peak,radius_re,2.5,2.75,2.625,8718,68,8424,226,2,0.0077999541179169535,0.9662766689607708,0.025923376921312226
close-to-peak,radius_re,2.75,3.0,2.875,2343,0,2343,0,2,0.0,1.0,0.0
close-to-peak,radius_re,3.0,3.25,3.125,537,0,537,0,1,0.0,1.0,0.0
close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0,0,,,
close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0,0,,,
close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0,0,,,
close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0,0,,,
close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0,0,,,
close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0,0,,,
close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0,0,,,
close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0,0,,,
close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0,0,,,
close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0,0,,,
close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0,0,,,
close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0,0,,,
close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0,0,,,
close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0,0,,,
close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0,0,,,
close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0,0,,,
close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0,0,,,
close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0,0,,,
close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0,0,,,
post-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0,0,,,
post-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0,0,,,
post-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0,0,,,
post-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0,0,,,
post-peak,log_sigma_star,6.75,7.0,6.875,116,0,116,0,1,0.0,1.0,0.0
post-peak,log_sigma_star,7.0,7.25,7.125,9341,0,8802,539,5,0.0,0.9422973985654641,0.05770260143453592
post-peak,log_sigma_star,7.25,7.5,7.375,122299,2373,112637,7289,12,0.019403265766686564,0.9209969010376209,0.05959983319569252
post-peak,log_sigma_star,7.5,7.75,7.625,447605,17977,400297,29331,13,0.04016264340210677,0.8943085979825962,0.06552875861529697
post-peak,log_sigma_star,7.75,8.0,7.875,840619,50895,681496,108228,13,0.06054467005861157,0.8107073477996571,0.12874798214173128
post-peak,log_sigma_star,8.0,8.25,8.125,659916,53966,400868,205082,13,0.08177707465798677,0.6074530697846393,0.31076985555737396
post-peak,log_sigma_star,8.25,8.5,8.375,389692,57612,128564,203516,13,0.1478398324830892,0.32991182780246964,0.5222483397144412
post-peak,log_sigma_star,8.5,8.75,8.625,200243,31563,35001,133679,13,0.15762348746273278,0.17479262695824574,0.6675838855790215
post-peak,log_sigma_star,8.75,9.0,8.875,90178,7066,12781,70331,13,0.07835614007851138,0.14173079908625164,0.7799130608352369
post-peak,log_sigma_star,9.0,9.25,9.125,38898,914,4614,33370,13,0.023497352048948532,0.11861792380070955,0.8578847241503419
post-peak,log_sigma_star,9.25,9.5,9.375,16361,60,1354,14947,13,0.0036672575025976407,0.08275777764195343,0.913574964855449
post-peak,log_sigma_star,9.5,9.75,9.625,5866,1,285,5580,10,0.00017047391749062393,0.04858506648482782,0.9512444595976816
post-peak,log_sigma_star,9.75,10.0,9.875,2457,0,28,2429,8,0.0,0.011396011396011397,0.9886039886039886
post-peak,log_sigma_star,10.0,10.25,10.125,1015,0,2,1013,8,0.0,0.0019704433497536944,0.9980295566502463
post-peak,log_sigma_star,10.25,10.5,10.375,396,0,0,396,7,0.0,0.0,1.0
post-peak,log_sigma_star,10.5,10.75,10.625,121,0,0,121,4,0.0,0.0,1.0
post-peak,log_sigma_star,10.75,11.0,10.875,35,0,0,35,3,,,
post-peak,log_sigma_star,11.0,11.25,11.125,1,0,0,1,1,,,
post-peak,radius_re,0.0,0.25,0.125,73153,8736,7557,56860,13,0.1194209396743811,0.10330403401090864,0.7772750263147102
post-peak,radius_re,0.25,0.5,0.375,219645,32345,51294,136006,13,0.14726035193152587,0.23353138018165676,0.6192082678868174
