stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF,N_galaxies,f_SF,f_ND,f_NSF
close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0,0,,,
close-to-peak,log_sigma_star,6.0,6.25,6.125,3890,0,3890,0,1,0.0,1.0,0.0
close-to-peak,log_sigma_star,6.25,6.5,6.375,8110,2107,4603,1400,2,0.2598027127003699,0.5675709001233046,0.17262638717632553
close-to-peak,log_sigma_star,6.5,6.75,6.625,26106,5625,20156,325,2,0.2154677085727419,0.7720830460430552,0.012449245384202865
close-to-peak,log_sigma_star,6.75,7.0,6.875,100303,15248,80739,4316,4,0.15201938127473755,0.8049509984746219,0.04302962025064056
close-to-peak,log_sigma_star,7.0,7.25,7.125,244318,38618,188519,17181,5,0.15806448972241097,0.7716132253865864,0.07032228489100271
close-to-peak,log_sigma_star,7.25,7.5,7.375,337517,80711,217906,38900,5,0.23913165855349508,0.6456148875464051,0.11525345390009985
close-to-peak,log_sigma_star,7.5,7.75,7.625,353766,122410,162956,68400,5,0.34601968532872013,0.46063216928704287,0.19334814538423703
close-to-peak,log_sigma_star,7.75,8.0,7.875,365382,159556,108198,97628,5,0.4366827046762019,0.29612296172225233,0.26719433360154576
close-to-peak,log_sigma_star,8.0,8.25,8.125,296783,145711,38863,112209,5,0.4909681484451603,0.13094752731793938,0.37808432423690036
close-to-peak,log_sigma_star,8.25,8.5,8.375,167901,94969,9702,63230,5,0.5656249813878417,0.057784051315954044,0.37659096729620434
close-to-peak,log_sigma_star,8.5,8.75,8.625,96340,57939,860,37541,5,0.6014012871081587,0.008926717874195557,0.3896719950176458
close-to-peak,log_sigma_star,8.75,9.0,8.875,55579,26417,245,28917,5,0.4753054211122906,0.004408139765019162,0.5202864391226902
close-to-peak,log_sigma_star,9.0,9.25,9.125,21245,1797,1037,18411,5,0.08458460814309249,0.04881148505530713,0.8666039068016004
close-to-peak,log_sigma_star,9.25,9.5,9.375,6974,73,884,6017,4,0.010467450530542013,0.12675652423286493,0.862776025236593
close-to-peak,log_sigma_star,9.5,9.75,9.625,3109,0,330,2779,2,0.0,0.10614345448697331,0.8938565455130267
close-to-peak,log_sigma_star,9.75,10.0,9.875,1176,0,8,1168,2,0.0,0.006802721088435374,0.9931972789115646
close-to-peak,log_sigma_star,10.0,10.25,10.125,420,0,0,420,1,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.25,10.5,10.375,119,0,0,119,1,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.5,10.75,10.625,51,0,0,51,1,0.0,0.0,1.0
close-to-peak,log_sigma_star,10.75,11.0,10.875,17,0,0,17,1,,,
close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0,0,,,
close-to-peak,radius_re,0.0,0.25,0.125,29687,13882,841,14964,5,0.4676120860982922,0.028328898170916564,0.5040590157307913
close-to-peak,radius_re,0.25,0.5,0.375,88951,45311,1773,41867,5,0.5093928117727737,0.019932322289800002,0.47067486593742625
close-to-peak,radius_re,0.5,0.75,0.625,148434,96177,3152,49105,5,0.6479445410081248,0.021235027015373838,0.33082043197650135
close-to-peak,radius_re,0.75,1.0,0.875,207783,116856,15003,75924,5,0.5623944211027851,0.0722051370901373,0.3654004418070776
close-to-peak,radius_re,1.0,1.25,1.125,267067,140407,42525,84135,5,0.5257369873477442,0.1592297064032621,0.31503330624899367
close-to-peak,radius_re,1.25,1.5,1.375,324096,131614,102111,90371,5,0.4060957247235387,0.31506405509478674,0.2788402201816746
close-to-peak,radius_re,1.5,1.75,1.625,365613,112547,171243,81823,5,0.30783095787075404,0.4683722952958456,0.22379674683340034
close-to-peak,radius_re,1.75,2.0,1.875,319483,76358,200930,42195,5,0.23900489227908842,0.6289223526760422,0.13207275504486937
close-to-peak,radius_re,2.0,2.25,2.125,196641,15698,166666,14277,5,0.07983075757344603,0.8475648516840334,0.07260439074252063
close-to-peak,radius_re,2.25,2.5,2.375,93512,2263,87584,3665,5,0.024200102660621097,0.9366070664727522,0.03919283086662674
close-to-peak,radius_re,2.5,2.75,2.625,33929,68,33158,703,5,0.0020041852102920805,0.9772760765127178,0.020719738276990186
close-to-peak,radius_re,2.75,3.0,2.875,7577,0,7577,0,4,0.0,1.0,0.0
close-to-peak,radius_re,3.0,3.25,3.125,4219,0,4219,0,1,0.0,1.0,0.0
close-to-peak,radius_re,3.25,3.5,3.375,1548,0,1548,0,1,0.0,1.0,0.0
close-to-peak,radius_re,3.5,3.75,3.625,546,0,546,0,1,0.0,1.0,0.0
close-to-peak,radius_re,3.75,4.0,3.875,20,0,20,0,1,,,
close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0,0,,,
close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0,0,,,
close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0,0,,,
close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0,0,,,
close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0,0,,,
close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0,0,,,
close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0,0,,,
close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0,0,,,
close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0,0,,,
close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0,0,,,
close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0,0,,,
close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0,0,,,
close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0,0,,,
close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0,0,,,
close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0,0,,,
close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0,0,,,
post-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0,0,,,
post-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0,0,,,
post-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0,0,,,
post-peak,log_sigma_star,6.5,6.75,6.625,27988,0,27988,0,3,0.0,1.0,0.0
post-peak,log_sigma_star,6.75,7.0,6.875,71152,0,70878,274,7,0.0,0.9961490892736676,0.0038509107263323588
post-peak,log_sigma_star,7.0,7.25,7.125,221171,0,220200,971,11,0.0,0.9956097318364523,0.0043902681635476625
post-peak,log_sigma_star,7.25,7.5,7.375,377106,3206,364323,9577,13,0.00850158841280701,0.9661023690951616,0.02539604249203142
post-peak,log_sigma_star,7.5,7.75,7.625,656680,21224,602562,32894,13,0.03232015593592008,0.9175884753609064,0.05009136870317354
post-peak,log_sigma_star,7.75,8.0,7.875,931015,55752,763454,111809,13,0.05988303088564631,0.8200233078951467,0.12009366121920699
post-peak,log_sigma_star,8.0,8.25,8.125,672477,54788,411386,206303,13,0.08147193138203983,0.6117473162650916,0.30678075235286856
post-peak,log_sigma_star,8.25,8.5,8.375,390153,57612,128809,203732,13,0.1476651467501211,0.3301499668078933,0.5221848864419856
post-peak,log_sigma_star,8.5,8.75,8.625,200366,31563,35053,133750,13,0.157526726091253,0.17494485092281126,0.6675284229859357
post-peak,log_sigma_star,8.75,9.0,8.875,90253,7066,12821,70366,13,0.07829102633707467,0.14205621973784804,0.7796527539250773
post-peak,log_sigma_star,9.0,9.25,9.125,39032,914,4694,33424,13,0.0234166837466694,0.12026029924164788,0.8563230170116827
post-peak,log_sigma_star,9.25,9.5,9.375,16429,60,1354,15015,13,0.0036520786414267455,0.08241524134153022,0.9139326800170431
post-peak,log_sigma_star,9.5,9.75,9.625,5902,1,285,5616,10,0.00016943409013893597,0.048288715689596744,0.9515418502202643
post-peak,log_sigma_star,9.75,10.0,9.875,2463,0,28,2435,8,0.0,0.011368250101502234,0.9886317498984978
post-peak,log_sigma_star,10.0,10.25,10.125,1018,0,2,1016,8,0.0,0.0019646365422396855,0.9980353634577603
post-peak,log_sigma_star,10.25,10.5,10.375,396,0,0,396,7,0.0,0.0,1.0
post-peak,log_sigma_star,10.5,10.75,10.625,121,0,0,121,4,0.0,0.0,1.0
post-peak,log_sigma_star,10.75,11.0,10.875,35,0,0,35,3,,,
post-peak,log_sigma_star,11.0,11.25,11.125,1,0,0,1,1,,,
post-peak,radius_re,0.0,0.25,0.125,73278,8736,7557,56985,13,0.11921722754441988,0.10312781462376157,0.7776549578318186
post-peak,radius_re,0.25,0.5,0.375,219663,32354,51298,136011,13,0.1472892567250743,0.23353045346735682,0.6191802898075689
post-peak,radius_re,0.5,0.75,0.625,365912,57981,151692,156239,13,0.15845613152889218,0.41455869170729576,0.4269851767638121
post-peak,radius_re,0.75,1.0,0.875,465012,53952,253168,157892,13,0.11602281231452091,0.5444332619373263,0.33954392574815273
post-peak,radius_re,1.0,1.25,1.125,522194,45547,373037,103610,13,0.08722237329421632,0.7143647763091878,0.1984128503965959
post-peak,radius_re,1.25,1.5,1.375,517010,15231,439544,62235,13,0.02945977834084447,0.8501653739772925,0.12037484768186302
post-peak,radius_re,1.5,1.75,1.625,419955,12416,357826,49713,12,0.029565072448238503,0.8520579585908014,0.1183769689609601
post-peak,radius_re,1.75,2.0,1.875,301537,4237,258526,38774,12,0.014051343616206304,0.8573607882283103,0.1285878681554834
post-peak,radius_re,2.0,2.25,2.125,199458,1071,171617,26770,10,0.005369551484523057,0.8604167293365019,0.134213719178975
post-peak,radius_re,2.25,2.5,2.375,145239,661,127175,17403,10,0.00455111918974931,0.8756256928235528,0.11982318798669779
post-peak,radius_re,2.5,2.75,2.625,117786,0,107152,10634,9,0.0,0.9097176234866623,0.09028237651333774
post-peak,radius_re,2.75,3.0,2.875,98737,0,92514,6223,8,0.0,0.9369739813848912,0.06302601861510883
post-peak,radius_re,3.0,3.25,3.125,82894,0,79970,2924,6,0.0,0.9647260356599995,0.035273964340000484
post-peak,radius_re,3.25,3.5,3.375,60184,0,59309,875,4,0.0,0.9854612521600425,0.014538747839957464
post-peak,radius_re,3.5,3.75,3.625,41248,0,40544,704,4,0.0,0.9829325058184639,0.017067494181536073
post-peak,radius_re,3.75,4.0,3.875,28882,0,28383,499,3,0.0,0.9827228031299772,0.01727719687002285
post-peak,radius_re,4.0,4.25,4.125,18793,0,18549,244,3,0.0,0.9870164422923429,0.012983557707657106
post-peak,radius_re,4.25,4.5,4.375,10701,0,10701,0,2,0.0,1.0,0.0
post-peak,radius_re,4.5,4.75,4.625,7104,0,7104,0,2,0.0,1.0,0.0
post-peak,radius_re,4.75,5.0,4.875,4608,0,4608,0,2,0.0,1.0,0.0
post-peak,radius_re,5.0,5.25,5.125,2381,0,2381,0,2,0.0,1.0,0.0
post-peak,radius_re,5.25,5.5,5.375,916,0,916,0,2,0.0,1.0,0.0
post-peak,radius_re,5.5,5.75,5.625,263,0,263,0,1,0.0,1.0,0.0
post-peak,radius_re,5.75,6.0,5.875,3,0,3,0,1,,,
post-peak,radius_re,6.0,6.25,6.125,0,0,0,0,0,,,
post-peak,radius_re,6.25,6.5,6.375,0,0,0,0,0,,,
post-peak,radius_re,6.5,6.75,6.625,0,0,0,0,0,,,
post-peak,radius_re,6.75,7.0,6.875,0,0,0,0,0,,,
post-peak,radius_re,7.0,7.25,7.125,0,0,0,0,0,,,
post-peak,radius_re,7.25,7.5,7.375,0,0,0,0,0,,,
post-peak,radius_re,7.5,7.75,7.625,0,0,0,0,0,,,
post-peak,radius_re,7.75,8.0,7.875,0,0,0,0,0,,,
pre-peak,log_sigma_star,5.75,6.0,5.875,6519,0,0,6519,1,0.0,0.0,1.0
pre-peak,log_sigma_star,6.0,6.25,6.125,15768,0,15768,0,1,0.0,1.0,0.0
pre-peak,log_sigma_star,6.25,6.5,6.375,75219,2966,69884,2369,4,0.03943152660896848,0.9290737712546032,0.0314947021364283
pre-peak,log_sigma_star,6.5,6.75,6.625,114958,19230,70980,24748,4,0.16727848431601106,0.6174428921867117,0.21527862349727728
pre-peak,log_sigma_star,6.75,7.0,6.875,169030,39392,99947,29691,6,0.23304738803762645,0.5912974028279003,0.17565520913447316
pre-peak,log_sigma_star,7.0,7.25,7.125,246035,88095,87853,70087,8,0.3580588127705408,0.3570752128762168,0.2848659743532424
pre-peak,log_sigma_star,7.25,7.5,7.375,383899,167030,137613,79256,8,0.4350883956457297,0.3584614703346453,0.20645013401962495
pre-peak,log_sigma_star,7.5,7.75,7.625,631280,300758,177594,152928,8,0.4764256748194145,0.28132365986566976,0.24225066531491574
pre-peak,log_sigma_star,7.75,8.0,7.875,849332,428505,159769,261058,8,0.5045200227943842,0.18811136281218652,0.30736861439342916
pre-peak,log_sigma_star,8.0,8.25,8.125,703661,368883,84746,250032,8,0.5242339706193749,0.1204358348693476,0.35533019451127745
pre-peak,log_sigma_star,8.25,8.5,8.375,371225,190603,23703,156919,8,0.5134433295171392,0.06385076436123645,0.42270590612162434
pre-peak,log_sigma_star,8.5,8.75,8.625,155818,83133,3452,69233,8,0.5335262934962585,0.02215405152164705,0.44431965498209447
pre-peak,log_sigma_star,8.75,9.0,8.875,57959,37994,139,19826,7,0.6555323590814196,0.0023982470366983558,0.342069393881882
pre-peak,log_sigma_star,9.0,9.25,9.125,20949,15017,73,5859,6,0.7168361258293952,0.0034846532054035994,0.2796792209652012
pre-peak,log_sigma_star,9.25,9.5,9.375,7531,4279,0,3252,6,0.5681848360111539,0.0,0.4318151639888461
pre-peak,log_sigma_star,9.5,9.75,9.625,2411,856,0,1555,6,0.3550394027374533,0.0,0.6449605972625466
