galaxy,notebook_product_id,mauve_infall_stage,preferred_re_source,ngvs_footprint_covered,ngvs_adopted,ngvs_nonadoption_reason,goldmine_nir_re_arcsec,source_filter,adopted_re_source,adopted_re_value_source,adopted_re_tracer,adopted_re_definition,adopted_re_arcsec,adopted_re_kpc,adopted_re_uncertainty_kpc,adopted_re_typical_uncertainty_dex,center_ra_deg,center_dec_deg,inclination_deg,intrinsic_axis_ratio_q0,axis_ratio_b_over_a,brown_pa_redshifted_deg,pa_deg_east_of_north,a_re_arcsec,b_re_arcsec,distance_mpc,kpc_per_arcsec,a_re_kpc,b_re_kpc,geometry_source,re_reference,geometry_reference,source_retrieval_date,notes
NGC4189,NGC4189,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,35.16,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,35.16,2.8125981,,0.05,183.44683333,13.42484722,42,0.2,0.75509845,70,70,35.16,26.549261,16.5,0.079994257,2.8125981,2.1237884,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4192,NGC4192,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,109.7,K-prime,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR K-prime,empirical half-light radius measured along the fitted ellipse semimajor axis,109.7,8.77537,,0.05,183.45120833,14.90054167,83,0.2,0.23293358,333,153,109.7,25.552813,16.5,0.079994257,8.77537,2.0440783,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4222,NGC4222,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,29.19,unknown,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR unknown,empirical half-light radius measured along the fitted ellipse semimajor axis,29.19,2.3350324,,0.05,184.09383333,13.30707222,90,0.2,0.2,238,58,29.19,5.838,16.5,0.079994257,2.3350324,0.46700647,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,GOLDMine live API (numeric value); original radius provenance unresolved,"SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter. Value is absent from Gavazzi+2000 Table 2; original filter is unresolved.
NGC4254,NGC4254,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,48.02,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,48.02,3.8413242,,0.05,184.70675000,14.41648889,39,0.2,0.78727226,243,63,48.02,37.804814,16.5,0.079994257,3.8413242,3.024168,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4294,NGC4294,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,33.73,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,33.73,2.6982063,,0.05,185.32412500,11.51110833,74,0.2,0.33606088,151,151,33.73,11.335333,16.5,0.079994257,2.6982063,0.90676158,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4321,NGC4321,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,111.76,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,111.76,8.9401582,,0.05,185.72887500,15.82230556,32,0.2,0.85464504,280,100,111.76,95.51513,16.5,0.079994257,8.9401582,7.6406619,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4351,NGC4351,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,29.14,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,29.14,2.3310327,,0.05,186.00650000,12.20502500,48,0.2,0.68543879,251,71,29.14,19.973686,16.5,0.079994257,2.3310327,1.5977802,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4383,NGC4383,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,13.66,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,13.66,1.0927216,,0.05,186.35633333,16.47000556,56,0.2,0.58325709,17,17,13.66,7.9672919,16.5,0.079994257,1.0927216,0.6373376,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4396,NGC4396,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,52.49,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,52.49,4.1988986,,0.05,186.49500000,15.67146667,83,0.2,0.23293358,304,124,52.49,12.226683,16.5,0.079994257,4.1988986,0.97806446,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
NGC4535,NGC4535,1,NGVS g-band curve-of-growth,True,False,NGVS covers only 35/40 parent targets; use one full-sample fallback policy,74.17,H,GOLDMine live HEMPRE,"GOLDMine live API HEMPRE, retrieved 2026-08-19",NIR H,empirical half-light radius measured along the fitted ellipse semimajor axis,74.17,5.9331741,,0.05,188.58475000,8.19775278,48,0.2,0.68543879,12,12,74.17,50.838995,16.5,0.079994257,5.9331741,4.0668277,SIMBAD basic-position centers (retrieved 2026-08-11); Brown et al. 2021 VERTICO SDSS-r inclination and PA,"GOLDMine live API (numeric value); Gavazzi et al. 2000 A&A 361, 863 (definition/filter)","SIMBAD; Brown et al. 2021 ApJS 257, 21",2026-08-19,Live GOLDMine HEMPRE adopted. Historical field name is not a guarantee of homogeneous H-band data; see source_filter.
