# FILE: MAUVE_galaxy_colors.dat
# MAUVE fixed galaxy color scheme generated/approved 2026-05-30
# Palette: MAUVE_GALAXY_GLASBEY_PACKAGE_40
# Source generation: glasbey.create_palette(palette_size=40, as_hex=True, lightness_bounds=(25, 88), chroma_bounds=(20, 90), optimize_palette=True)
# Component rows: 40 galaxies from new_redshifts.txt, ordered IC first then NGC by increasing numeric ID
# Special alias: NGC4567_8 uses the same color as NGC4567
# Reserved total-assembled color: black
# Packages in ICRAR env at creation: colorcet 3.2.1, glasbey 0.3.0, distinctipy 1.3.4
# order galaxy redshift color_hex r_float g_float b_float r_255 g_255 b_255 role
01 IC3392    0.0055660 #d21820 0.823529 0.094118 0.125490 210  24  32 component
02 NGC4064   0.0030250 #6175ff 0.380392 0.458824 1.000000  97 117 255 component
03 NGC4189   0.0069970 #008a00 0.000000 0.541176 0.000000   0 138   0 component
04 NGC4192  -0.0004740 #ff79fb 1.000000 0.474510 0.984314 255 121 251 component
05 NGC4216   0.0004370 #aafb00 0.666667 0.984314 0.000000 170 251   0 component
06 NGC4222   0.0007670 #713971 0.443137 0.223529 0.443137 113  57 113 component
07 NGC4254   0.0080260 #00dbc2 0.000000 0.858824 0.760784   0 219 194 component
08 NGC4293   0.0030030 #ff9e04 1.000000 0.619608 0.015686 255 158   4 component
09 NGC4294   0.0011840 #35595d 0.207843 0.349020 0.364706  53  89  93 component
10 NGC4298   0.0037490 #6d4904 0.427451 0.286275 0.015686 109  73   4 component
11 NGC4302   0.0036630 #aa657d 0.666667 0.396078 0.490196 170 101 125 component
12 NGC4321   0.0052400 #a2aaff 0.635294 0.666667 1.000000 162 170 255 component
13 NGC4330   0.0052140 #92aa65 0.572549 0.666667 0.396078 146 170 101 component
14 NGC4351   0.0077550 #a241ff 0.635294 0.254902 1.000000 162  65 255 component
15 NGC4380   0.0032120 #00ff96 0.000000 1.000000 0.588235   0 255 150 component
16 NGC4383   0.0057040 #c60079 0.776471 0.000000 0.474510 198   0 121 component
17 NGC4388   0.0084190 #ffaeca 1.000000 0.682353 0.792157 255 174 202 component
18 NGC4394   0.0030750 #697996 0.411765 0.474510 0.588235 105 121 150 component
19 NGC4396  -0.0004170 #a67d00 0.650980 0.490196 0.000000 166 125   0 component
20 NGC4402   0.0007910 #697955 0.411765 0.474510 0.333333 105 121  85 component
21 NGC4405   0.0057880 #ffe392 1.000000 0.890196 0.572549 255 227 146 component
22 NGC4419  -0.0008710 #ff6182 1.000000 0.380392 0.509804 255  97 130 component
23 NGC4424   0.0014580 #863135 0.525490 0.192157 0.207843 134  49  53 component
24 NGC4450   0.0065250 #a6e7ff 0.650980 0.905882 1.000000 166 231 255 component
25 NGC4457   0.0029420 #1cc600 0.109804 0.776471 0.000000  28 198   0 component
26 NGC4501   0.0076190 #35518e 0.207843 0.317647 0.556863  53  81 142 component
27 NGC4522   0.0077690 #ff5d00 1.000000 0.364706 0.000000 255  93   0 component
28 NGC4535   0.0065510 #a682be 0.650980 0.509804 0.745098 166 130 190 component
29 NGC4548   0.0016210 #04a6ef 0.015686 0.650980 0.937255   4 166 239 component
30 NGC4567   0.0074950 #04aa75 0.015686 0.666667 0.458824   4 170 117 component
31 NGC4568   0.0074460 #aa592d 0.666667 0.349020 0.176471 170  89  45 component
32 NGC4569  -0.0007840 #cac200 0.792157 0.760784 0.000000 202 194   0 component
33 NGC4579   0.0050600 #08612d 0.031373 0.380392 0.176471   8  97  45 component
34 NGC4580   0.0034530 #dfd2fb 0.874510 0.823529 0.984314 223 210 251 component
35 NGC4606   0.0055000 #ca9679 0.792157 0.588235 0.474510 202 150 121 component
36 NGC4607   0.0075350 #d200df 0.823529 0.000000 0.874510 210   0 223 component
37 NGC4654   0.0034560 #8eaaba 0.556863 0.666667 0.729412 142 170 186 component
38 NGC4689   0.0053500 #bae3c2 0.729412 0.890196 0.760784 186 227 194 component
39 NGC4694   0.0038690 #6500ff 0.396078 0.000000 1.000000 101   0 255 component
40 NGC4698   0.0033660 #008a8a 0.000000 0.541176 0.541176   0 138 138 component
alias NGC4567_8  0.0074705 #04aa75 0.015686 0.666667 0.458824   4 170 117 alias_of_NGC4567
reserved TOTAL_ASSEMBLED nan black 0.000000 0.000000 0.000000   0   0   0 reserved_total_sample
