Galaxy,MAUVE_stage,MAUVE_stage_label,DEF_K18,R_M87_K18_mpc,Ropt_K18_kpc,vrot_K18_kms,p_loc_K18,p_cfg_K18,p_def_K18,r_HI_iso_K18_kpc,in_K18_catalogue,K18_input_source,VCC_GoldMine_live,distance_GoldMine_live_mpc,Aradius_GoldMine_live_arcsec,inclination_GoldMine_live_deg,logMHI_GoldMine_live,W50_GoldMine_live_kms,WIDTHA_GoldMine_live_kms,GoldMine_live_audit_note,DEF_ModelA,R_M87_ModelA_mpc,Ropt_ModelA_kpc,vrot_ModelA_kms,modelA_computable,modelA_input_status,MHI_GoldMine_field_used,vrot_ModelA_derivation
NGC4189,1.0,pre-peak,,,,,,,,,False,not present in Koppen2018 Appendix E,89.0,32.0,135.6,43.865,9.401,254.0,254.0,"computed from GoldMine MHI, Aradius, distance, inclination, and WIDTHA",-0.09174103284241575,15.1007067806,10.518517625357406,179.60592751680193,True,recomputed from live GoldMine with Köppen equations,MHI,0.98*WIDTHA/(2*sin(incl)); factor validated on Appendix E
NGC4192,1.0,pre-peak,0.17,1.43,24.2,234.7,0.1,0.12,0.1,22.6,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.17,1.43,24.2,234.7,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4222,1.0,pre-peak,0.17,1.08,8.7,113.0,0.18,0.13,0.12,8.5,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.17,1.08,8.7,113.0,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4254,1.0,pre-peak,-0.12,1.05,15.2,271.4,0.19,0.92,,10.2,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,-0.12,1.05,15.2,271.4,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4294,1.0,pre-peak,0.05,0.74,9.8,101.1,0.38,0.08,0.04,10.0,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.05,0.74,9.8,101.1,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4321,1.0,pre-peak,0.32,1.17,22.5,268.8,0.16,0.27,0.27,17.5,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.32,1.17,22.5,268.8,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4351,1.0,pre-peak,0.67,3.35,8.6,60.6,0.02,0.09,0.23,5.6,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.67,3.35,8.6,60.6,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4383,1.0,pre-peak,-0.46,1.27,6.4,123.6,0.13,0.02,,19.1,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,-0.46,1.27,6.4,123.6,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4396,1.0,pre-peak,0.19,1.03,8.3,99.0,0.2,0.08,0.11,9.0,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.19,1.03,8.3,99.0,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4535,1.0,pre-peak,0.12,1.27,20.6,297.9,0.13,0.22,0.15,20.2,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.12,1.27,20.6,297.9,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4567,1.0,pre-peak,,,,,,,,,False,not present in Koppen2018 Appendix E,1673.0,17.0,175.2,50.203,8.69,,214.0,"computed from GoldMine MHI_GM, Aradius, distance, inclination, and WIDTHA",0.3969987304463487,0.5343713653,7.219845339086581,136.480117882422,True,recomputed from live GoldMine with Köppen equations,MHI_GM,0.98*WIDTHA/(2*sin(incl)); factor validated on Appendix E
