Galaxy,r_HI_iso_kpc,p_cfg_K18,p_def_K18,p_loc_K18,DEF_K18,Rproj_K18_mpc,Ropt_K18_kpc,vrot_K18_kms
IC3392,,,6.08,0.34,1.21,0.79,7.2,111.0
NGC4064,2.1,0.32,1.56,0.02,1.45,2.95,11.4,58.8
NGC4192,22.6,0.12,0.10,0.10,0.17,1.43,24.2,234.7
NGC4216,14.1,0.38,0.51,0.18,0.51,1.10,22.5,260.7
NGC4222,8.5,0.13,0.12,0.18,0.17,1.08,8.7,113.0
NGC4254,10.2,0.92,,0.19,,1.05,15.2,271.4
NGC4293,,,24.80,0.02,1.69,3.30,10.5,163.7
NGC4294,10.0,0.08,0.04,0.38,0.05,0.74,9.8,101.1
NGC4298,6.9,0.37,0.31,0.24,0.27,0.94,8.9,148.8
NGC4302,11.9,0.25,0.23,0.25,0.34,0.93,16.7,187.6
NGC4321,17.5,0.27,0.27,0.16,0.32,1.17,22.5,268.8
NGC4330,6.2,0.32,0.86,0.52,0.89,0.63,14.5,121.8
NGC4351,5.6,0.09,0.23,0.02,0.67,3.35,8.6,60.6
NGC4380,5.0,0.70,1.98,0.00,0.91,6.10,11.8,151.3
NGC4383,19.1,0.02,,0.13,,1.27,6.4,123.6
NGC4388,7.1,0.59,1.59,1.27,0.77,0.37,12.6,182.3
NGC4396,9.0,0.08,0.11,0.20,0.19,1.03,8.3,99.0
NGC4402,6.7,0.28,0.62,1.13,0.61,0.40,9.8,122.5
NGC4405,2.1,1.35,5.95,0.16,1.02,1.17,4.7,102.3
NGC4419,2.7,3.01,15.30,0.30,1.24,0.84,8.7,195.7
NGC4424,3.2,0.07,0.06,0.05,0.66,1.98,9.6,34.5
NGC4450,6.8,0.82,2.03,0.02,0.75,3.40,12.3,207.2
NGC4501,14.4,0.43,0.68,0.55,0.41,0.61,17.9,296.0
NGC4522,6.6,1.85,0.52,0.22,0.65,0.98,10.0,105.7
NGC4535,20.2,0.22,0.15,0.13,0.12,1.27,20.6,297.9
NGC4548,10.7,0.36,1.39,0.41,0.73,0.71,14.8,206.4
NGC4569,9.4,0.49,1.69,0.80,1.05,0.49,26.5,215.9
NGC4579,9.4,0.86,3.05,0.70,0.81,0.53,15.6,278.6
NGC4580,2.0,2.39,10.92,0.00,1.23,5.81,6.9,138.5
NGC4606,1.5,0.67,3.75,0.02,1.76,3.03,14.8,76.7
NGC4607,4.7,0.30,1.21,0.36,0.97,0.77,9.8,91.5
NGC4654,17.0,0.07,,0.23,,0.97,12.3,165.8
NGC4689,6.8,0.36,0.83,0.13,0.81,1.29,14.5,137.3
NGC4694,3.4,0.07,0.06,0.01,0.46,3.75,6.2,34.7
NGC4698,20.2,0.09,0.34,0.07,0.25,1.73,14.0,236.6
